"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.625,0.25,0.984375
"vitro",64,0.375,-0.25,0.498046875
"vivo",28,0.5,0,0.52734375
"vitro",28,0.40625,-0.1875,0.48046875
"vivo",21,0.75,0.5,0.7265625
"vitro",21,0.75,0.5,0.7109375
"vivo",94,0.71875,0.4375,0.775390625
"vitro",94,0.8125,0.625,0.908203125
"vivo",41,0.59375,0.1875,0.640625
"vitro",41,0.59375,0.1875,0.7109375
"vivo",12,0.4375,-0.125,0.4921875
"vitro",12,0.84375,0.6875,0.8125
"vivo",53,0.71875,0.4375,0.8828125
"vitro",53,0.6875,0.375,0.74609375
"vivo",22,0.75,0.5,0.9140625
"vitro",22,0.59375,0.1875,0.703125
"vivo",17,0.71875,0.4375,0.828125
"vitro",17,0.625,0.25,0.6015625
"vivo",62,0.875,0.75,0.875
"vitro",62,0.5625,0.125,0.58984375
