"feature","importance","dataset","seed"
"ENSBTAG00000021697.ENSBTAG00000002804",2.89025643641035,"vivo",64
"ENSBTAG00000014906.ENSBTAG00000011515",38.0525324940781,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000011515",10.4898368765518,"vivo",64
"ENSBTAG00000010562.ENSBTAG00000011515",48.298330793464,"vivo",64
"ENSBTAG00000017866.ENSBTAG00000014031",76.707278121478,"vivo",64
"ENSBTAG00000010452.ENSBTAG00000011515",14.1587728437635,"vivo",64
"ENSBTAG00000011851.ENSBTAG00000019866",100,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000007173",2.81646081915486,"vivo",64
"ENSBTAG00000005691.ENSBTAG00000011578",54.7239594330113,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011515",8.41089356741723,"vivo",64
"ENSBTAG00000000793.ENSBTAG00000019289",45.187608709209,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000018993",34.2523523116385,"vivo",64
"ENSBTAG00000015089.ENSBTAG00000023144",14.9982659501838,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000015361",37.7047152085073,"vivo",64
"ENSBTAG00000039355.ENSBTAG00000011515",59.1661977035711,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000005990",0,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000018474",11.7138791898439,"vitro",64
"ENSBTAG00000020645.ENSBTAG00000014600",0,"vitro",64
"ENSBTAG00000013103.ENSBTAG00000010682",72.4972999947983,"vitro",64
"ENSBTAG00000014113.ENSBTAG00000019428",1.70966904621569,"vitro",64
"ENSBTAG00000025257.ENSBTAG00000019428",4.90461477523164,"vitro",64
"ENSBTAG00000014113.ENSBTAG00000003220",1.67760833511619,"vitro",64
"ENSBTAG00000007773.ENSBTAG00000010347",1.69619610993043,"vitro",64
"ENSBTAG00000013155.ENSBTAG00000008165",5.92531517853821,"vitro",64
"ENSBTAG00000003300.ENSBTAG00000019929",9.5582277796623,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000026676",17.8113849023062,"vitro",64
"ENSBTAG00000013155.ENSBTAG00000008373",1.894578951556,"vitro",64
"ENSBTAG00000005250.ENSBTAG00000006240",2.26310554739938,"vitro",64
"ENSBTAG00000021217.ENSBTAG00000010682",100,"vitro",64
"ENSBTAG00000020638.ENSBTAG00000000782",0.842188256779358,"vitro",64
"ENSBTAG00000016800.ENSBTAG00000007338",54.7035806414612,"vitro",64
"ENSBTAG00000021697.ENSBTAG00000002804",11.5151659179192,"vivo",28
"ENSBTAG00000014906.ENSBTAG00000011515",6.3551606502703,"vivo",28
"ENSBTAG00000014583.ENSBTAG00000011515",14.2188780480321,"vivo",28
"ENSBTAG00000010562.ENSBTAG00000011515",16.3443721996855,"vivo",28
"ENSBTAG00000017866.ENSBTAG00000014031",47.6172068601293,"vivo",28
"ENSBTAG00000010452.ENSBTAG00000011515",23.0445212111194,"vivo",28
"ENSBTAG00000011851.ENSBTAG00000019866",10.9960248442403,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000007173",7.66680706773924,"vivo",28
"ENSBTAG00000005691.ENSBTAG00000011578",6.13271475863657,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000011515",8.32172983733882,"vivo",28
"ENSBTAG00000000793.ENSBTAG00000019289",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000018993",100,"vivo",28
"ENSBTAG00000015089.ENSBTAG00000023144",24.2506211104099,"vivo",28
"ENSBTAG00000017745.ENSBTAG00000015361",1.00712019885438,"vivo",28
"ENSBTAG00000039355.ENSBTAG00000011515",0.137433798765331,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000005990",2.18517346997344,"vivo",28
"ENSBTAG00000017745.ENSBTAG00000018474",3.92119051478462,"vitro",28
"ENSBTAG00000020645.ENSBTAG00000014600",4.05069085264165,"vitro",28
"ENSBTAG00000013103.ENSBTAG00000010682",3.57132697731639,"vitro",28
"ENSBTAG00000014113.ENSBTAG00000019428",2.10189136230068,"vitro",28
"ENSBTAG00000025257.ENSBTAG00000019428",7.9792565157373,"vitro",28
"ENSBTAG00000014113.ENSBTAG00000003220",0.292314594113421,"vitro",28
"ENSBTAG00000007773.ENSBTAG00000010347",100,"vitro",28
"ENSBTAG00000013155.ENSBTAG00000008165",17.8689314325378,"vitro",28
"ENSBTAG00000003300.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000000575.ENSBTAG00000026676",5.72302197057912,"vitro",28
"ENSBTAG00000013155.ENSBTAG00000008373",13.9417295456597,"vitro",28
"ENSBTAG00000005250.ENSBTAG00000006240",7.58331356995957,"vitro",28
"ENSBTAG00000021217.ENSBTAG00000010682",12.7386167544072,"vitro",28
