"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000020645.ENSBTAG00000014600",36.241362428991,42.1776846117083
"vitro","ENSBTAG00000017745.ENSBTAG00000018474",32.8921103309937,39.92903714534
"vitro","ENSBTAG00000013155.ENSBTAG00000008165",32.1743663578334,32.8368645045836
"vitro","ENSBTAG00000000575.ENSBTAG00000026676",26.6409605874716,20.380780523372
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",26.3540049207751,28.6202401070407
"vitro","ENSBTAG00000021217.ENSBTAG00000010682",25.6049463194396,29.2049567659686
"vitro","ENSBTAG00000025257.ENSBTAG00000019428",25.1324084809335,33.1115572423964
"vitro","ENSBTAG00000014113.ENSBTAG00000019428",23.6940395363891,40.4173842037005
"vitro","ENSBTAG00000013155.ENSBTAG00000008373",21.9885133041209,26.7613528341325
"vitro","ENSBTAG00000003300.ENSBTAG00000019929",21.4501289613879,30.1415174103851
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",20.314277462074,30.3125745376925
"vitro","ENSBTAG00000016800.ENSBTAG00000007338",19.4857789728604,19.8844452642285
"vitro","ENSBTAG00000014113.ENSBTAG00000003220",17.6905505106752,26.3930918890399
"vitro","ENSBTAG00000020638.ENSBTAG00000000782",14.7367387061756,9.64731736336217
"vitro","ENSBTAG00000005250.ENSBTAG00000006240",12.7536759212598,15.2692576767158
"vivo","ENSBTAG00000014906.ENSBTAG00000011515",45.069714410208,33.7105565569161
"vivo","ENSBTAG00000021697.ENSBTAG00000002804",40.0281464640266,46.4040507678673
"vivo","ENSBTAG00000011851.ENSBTAG00000019866",38.5953197825753,37.4286517765999
"vivo","ENSBTAG00000017866.ENSBTAG00000014031",37.9646695510706,28.8775032255202
"vivo","ENSBTAG00000010562.ENSBTAG00000011515",37.1242387516639,27.4640783728264
"vivo","ENSBTAG00000007773.ENSBTAG00000018993",34.351636189956,28.4497342624148
"vivo","ENSBTAG00000000793.ENSBTAG00000019289",32.4989250601223,32.5962040743128
"vivo","ENSBTAG00000017745.ENSBTAG00000015361",26.8219837190078,21.9263869446217
"vivo","ENSBTAG00000005691.ENSBTAG00000011578",26.5777115676052,33.3024690668768
"vivo","ENSBTAG00000015089.ENSBTAG00000023144",26.3662379820022,32.8023541892464
"vivo","ENSBTAG00000010452.ENSBTAG00000011515",23.4361022974972,29.9452584421064
"vivo","ENSBTAG00000021697.ENSBTAG00000007173",21.6732155820515,33.1277892030116
"vivo","ENSBTAG00000039355.ENSBTAG00000011515",17.6021525954781,21.0711061165692
"vivo","ENSBTAG00000014583.ENSBTAG00000011515",15.7818571963973,13.3185474057989
"vivo","ENSBTAG00000021697.ENSBTAG00000005990",13.9299075556681,20.4207887722424
"vivo","ENSBTAG00000025644.ENSBTAG00000011515",13.6813852422143,11.6251689731839
