"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.625,0.25,0.734375
"vitro",64,0.5,0,0.5283203125
"vivo",28,0.5,0,0.6298828125
"vitro",28,0.59375,0.1875,0.68359375
"vivo",21,0.5625,0.125,0.6982421875
"vitro",21,0.78125,0.5625,0.7900390625
"vivo",94,0.625,0.25,0.8056640625
"vitro",94,0.890625,0.78125,0.982421875
"vivo",41,0.5,0,0.3798828125
"vitro",41,0.625,0.25,0.8037109375
"vivo",12,0.703125,0.40625,0.84765625
"vitro",12,0.703125,0.40625,0.7900390625
"vivo",53,0.6875,0.375,0.83203125
"vitro",53,0.578125,0.15625,0.6630859375
"vivo",22,0.875,0.75,0.8642578125
"vitro",22,0.640625,0.28125,0.7626953125
"vivo",17,0.671875,0.34375,0.7177734375
"vitro",17,0.703125,0.40625,0.68359375
"vivo",62,0.75,0.5,0.7060546875
"vitro",62,0.515625,0.03125,0.6015625
