"feature","shap_importance","dataset","seed"
"ENSBTAG00000014583.ENSBTAG00000010986",0.060543243649039,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000010986",0.0531539047883788,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000015910",0.0995724494108544,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000019929",0.0869688223195762,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000002804",0.0121475947821858,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000005990",0.0130233884994987,"vivo",64
"ENSBTAG00000012817.ENSBTAG00000007909",0.00583645123720986,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000013745",0.060064168317596,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000019929",0.0124771397020125,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000014966",0.00738337355732212,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000003418",0.0450101828353798,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000026676",0.0101259425727582,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000007173",0.0122133127906912,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000018993",0.0461559052160017,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000018052",0.0114532315038102,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000011154",0.00694011977187568,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000017060",0.0429801656685947,"vivo",64
"ENSBTAG00000020638.ENSBTAG00000000782",0.00161455872028224,"vivo",64
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",64
"ENSBTAG00000000470.ENSBTAG00000019929",0.001195,"vitro",64
"ENSBTAG00000004630.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000015043.ENSBTAG00000022799",0.00485,"vitro",64
"ENSBTAG00000022120.ENSBTAG00000019929",0.00705,"vitro",64
"ENSBTAG00000000016.ENSBTAG00000016455",0,"vitro",64
"ENSBTAG00000031998.ENSBTAG00000015708",0.487975000000001,"vitro",64
"ENSBTAG00000021316.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000001462",0.001985,"vitro",64
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",64
"ENSBTAG00000020645.ENSBTAG00000021527",0,"vitro",64
