"feature","importance","dataset","seed"
"ENSBTAG00000014583.ENSBTAG00000011515",45.4846124436867,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011515",37.5363621922707,"vivo",64
"ENSBTAG00000010452.ENSBTAG00000011515",63.579129873123,"vivo",64
"ENSBTAG00000014906.ENSBTAG00000011515",46.6287114753636,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000015361",51.2793813997965,"vivo",64
"ENSBTAG00000010562.ENSBTAG00000011515",29.3783375260704,"vivo",64
"ENSBTAG00000014737.ENSBTAG00000037649",22.8678715784983,"vivo",64
"ENSBTAG00000001941.ENSBTAG00000023144",18.5529418998098,"vivo",64
"ENSBTAG00000003329.ENSBTAG00000002081",100,"vivo",64
"ENSBTAG00000015089.ENSBTAG00000023144",18.1108309924108,"vivo",64
"ENSBTAG00000017246.ENSBTAG00000010444",6.82453350552037,"vivo",64
"ENSBTAG00000026236.ENSBTAG00000019929",21.0857454772671,"vivo",64
"ENSBTAG00000012519.ENSBTAG00000031753",56.0895820255908,"vivo",64
"ENSBTAG00000001292.ENSBTAG00000032007",0,"vivo",64
"ENSBTAG00000008300.ENSBTAG00000008165",0,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000015296",0,"vitro",64
"ENSBTAG00000005947.ENSBTAG00000015910",0,"vitro",64
"ENSBTAG00000021945.ENSBTAG00000011741",1.21606113559897,"vitro",64
"ENSBTAG00000013103.ENSBTAG00000010682",100,"vitro",64
"ENSBTAG00000021466.ENSBTAG00000010682",98.3477217599958,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",64
"ENSBTAG00000000476.ENSBTAG00000003781",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000012897",0,"vitro",64
"ENSBTAG00000015991.ENSBTAG00000024015",0,"vitro",64
"ENSBTAG00000005339.ENSBTAG00000000782",0,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000020679",0,"vitro",64
"ENSBTAG00000007773.ENSBTAG00000010347",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000018993",0,"vitro",64
"ENSBTAG00000014583.ENSBTAG00000011515",39.815039724255,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000011515",40.9363759671395,"vivo",28
"ENSBTAG00000010452.ENSBTAG00000011515",45.4184566620456,"vivo",28
"ENSBTAG00000014906.ENSBTAG00000011515",43.7856145650756,"vivo",28
"ENSBTAG00000017745.ENSBTAG00000015361",2.39401225063121,"vivo",28
"ENSBTAG00000010562.ENSBTAG00000011515",29.0974391623726,"vivo",28
"ENSBTAG00000014737.ENSBTAG00000037649",0,"vivo",28
"ENSBTAG00000001941.ENSBTAG00000023144",67.847956175121,"vivo",28
"ENSBTAG00000003329.ENSBTAG00000002081",4.77562673461576,"vivo",28
"ENSBTAG00000015089.ENSBTAG00000023144",53.7608136376803,"vivo",28
"ENSBTAG00000017246.ENSBTAG00000010444",3.28054752282352,"vivo",28
"ENSBTAG00000026236.ENSBTAG00000019929",17.1989563515206,"vivo",28
"ENSBTAG00000012519.ENSBTAG00000031753",40.1977781917095,"vivo",28
"ENSBTAG00000001292.ENSBTAG00000032007",100,"vivo",28
"ENSBTAG00000008300.ENSBTAG00000008165",7.75895350571487,"vitro",28
"ENSBTAG00000000575.ENSBTAG00000015296",21.5506709741478,"vitro",28
"ENSBTAG00000005947.ENSBTAG00000015910",30.8069177561276,"vitro",28
"ENSBTAG00000021945.ENSBTAG00000011741",1.42985649052489,"vitro",28
"ENSBTAG00000013103.ENSBTAG00000010682",0.380420845029263,"vitro",28
"ENSBTAG00000021466.ENSBTAG00000010682",0.315928761066324,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",28
"ENSBTAG00000000476.ENSBTAG00000003781",7.33816718359824,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000011741",14.5826972416849,"vitro",28
"ENSBTAG00000000575.ENSBTAG00000012897",11.1266826941178,"vitro",28
"ENSBTAG00000015991.ENSBTAG00000024015",17.9194186796914,"vitro",28
"ENSBTAG00000005339.ENSBTAG00000000782",2.68832352210293,"vitro",28
"ENSBTAG00000000575.ENSBTAG00000020679",10.5059684109011,"vitro",28
"ENSBTAG00000007773.ENSBTAG00000010347",100,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000018993",0.988093219292082,"vitro",28
"ENSBTAG00000014583.ENSBTAG00000011515",100,"vivo",21
"ENSBTAG00000025644.ENSBTAG00000011515",94.3981919144575,"vivo",21
"ENSBTAG00000010452.ENSBTAG00000011515",91.6284686087433,"vivo",21
"ENSBTAG00000014906.ENSBTAG00000011515",96.2583115531582,"vivo",21
"ENSBTAG00000017745.ENSBTAG00000015361",0,"vivo",21
"ENSBTAG00000010562.ENSBTAG00000011515",89.7004266001478,"vivo",21
"ENSBTAG00000014737.ENSBTAG00000037649",0,"vivo",21
"ENSBTAG00000001941.ENSBTAG00000023144",0,"vivo",21
"ENSBTAG00000003329.ENSBTAG00000002081",0,"vivo",21
"ENSBTAG00000015089.ENSBTAG00000023144",0,"vivo",21
"ENSBTAG00000017246.ENSBTAG00000010444",0,"vivo",21
"ENSBTAG00000026236.ENSBTAG00000019929",0,"vivo",21
