"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000005947.ENSBTAG00000015910",37.7313424015309,43.2357430194438
"vitro","ENSBTAG00000000575.ENSBTAG00000015296",30.4781853569761,39.2443596938476
"vitro","ENSBTAG00000008300.ENSBTAG00000008165",29.6616571955367,40.2209101038717
"vitro","ENSBTAG00000000575.ENSBTAG00000020679",26.4938213605828,28.37231193634
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",25.4975360784704,33.6575110250131
"vitro","ENSBTAG00000000575.ENSBTAG00000012897",25.1174564803955,27.2681490668182
"vitro","ENSBTAG00000021466.ENSBTAG00000010682",24.8283276788163,32.2483988335083
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",24.0898563476486,32.9985892471855
"vitro","ENSBTAG00000000476.ENSBTAG00000003781",23.8824480423043,29.7049725134766
"vitro","ENSBTAG00000005339.ENSBTAG00000000782",22.9149303401147,26.6189119320031
"vitro","ENSBTAG00000008300.ENSBTAG00000018993",22.7698410409229,39.8071529953275
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",19.5015354492207,29.8204614860534
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",17.6424651976523,27.4076248142765
"vitro","ENSBTAG00000015991.ENSBTAG00000024015",15.35879178472,31.6035325720701
"vitro","ENSBTAG00000021945.ENSBTAG00000011741",13.0595397054031,21.7056036302873
"vivo","ENSBTAG00000010452.ENSBTAG00000011515",45.9210188256282,31.4371274967259
"vivo","ENSBTAG00000025644.ENSBTAG00000011515",44.1181106795862,30.0596526620333
"vivo","ENSBTAG00000014583.ENSBTAG00000011515",43.4256379087349,28.4196850481691
"vivo","ENSBTAG00000014906.ENSBTAG00000011515",41.5982112510703,29.4383048138375
"vivo","ENSBTAG00000010562.ENSBTAG00000011515",40.6785451340221,30.9309632658628
"vivo","ENSBTAG00000017745.ENSBTAG00000015361",38.3953142974025,37.7676760723761
"vivo","ENSBTAG00000001941.ENSBTAG00000023144",29.2971101801285,33.1890091377928
"vivo","ENSBTAG00000014737.ENSBTAG00000037649",27.6491891597812,39.373748668819
"vivo","ENSBTAG00000015089.ENSBTAG00000023144",26.7135686061542,34.2081632571941
"vivo","ENSBTAG00000003329.ENSBTAG00000002081",24.2206767837879,40.229100278101
"vivo","ENSBTAG00000026236.ENSBTAG00000019929",22.5688907033316,30.7812924098772
"vivo","ENSBTAG00000017246.ENSBTAG00000010444",18.7859907577514,28.2655432088641
"vivo","ENSBTAG00000012519.ENSBTAG00000031753",16.3037965239076,21.923019100738
"vivo","ENSBTAG00000001292.ENSBTAG00000032007",13.6889363377333,31.7216751643184
