"feature","shap_importance","dataset","seed"
"ENSBTAG00000014583.ENSBTAG00000011515",0.0493390134592328,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011515",0.0383236708898356,"vivo",64
"ENSBTAG00000010452.ENSBTAG00000011515",0.0620366788928306,"vivo",64
"ENSBTAG00000014906.ENSBTAG00000011515",0.0415359119889232,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000015361",0.0556283856481171,"vivo",64
"ENSBTAG00000010562.ENSBTAG00000011515",0.0327233130378118,"vivo",64
"ENSBTAG00000014737.ENSBTAG00000037649",0.0360100084842664,"vivo",64
"ENSBTAG00000001941.ENSBTAG00000023144",0.0163740335511466,"vivo",64
"ENSBTAG00000003329.ENSBTAG00000002081",0.0828948042325622,"vivo",64
"ENSBTAG00000015089.ENSBTAG00000023144",0.0164292249228004,"vivo",64
"ENSBTAG00000017246.ENSBTAG00000010444",0.00963868336267408,"vivo",64
"ENSBTAG00000026236.ENSBTAG00000019929",0.0155963952740348,"vivo",64
"ENSBTAG00000012519.ENSBTAG00000031753",0.0732466003996668,"vivo",64
"ENSBTAG00000001292.ENSBTAG00000032007",0.00278944487297706,"vivo",64
"ENSBTAG00000008300.ENSBTAG00000008165",0,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000015296",0,"vitro",64
"ENSBTAG00000005947.ENSBTAG00000015910",0,"vitro",64
"ENSBTAG00000021945.ENSBTAG00000011741",0.00312,"vitro",64
"ENSBTAG00000013103.ENSBTAG00000010682",0.241405,"vitro",64
"ENSBTAG00000021466.ENSBTAG00000010682",0.24175,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",64
"ENSBTAG00000000476.ENSBTAG00000003781",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000012897",0,"vitro",64
"ENSBTAG00000015991.ENSBTAG00000024015",0,"vitro",64
"ENSBTAG00000005339.ENSBTAG00000000782",0,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000020679",0,"vitro",64
"ENSBTAG00000007773.ENSBTAG00000010347",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000018993",0,"vitro",64
"ENSBTAG00000014583.ENSBTAG00000011515",0.0564544815234475,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000011515",0.0576212179407775,"vivo",28
"ENSBTAG00000010452.ENSBTAG00000011515",0.0602086997380265,"vivo",28
"ENSBTAG00000014906.ENSBTAG00000011515",0.0556908420197871,"vivo",28
"ENSBTAG00000017745.ENSBTAG00000015361",0.00443593964563007,"vivo",28
"ENSBTAG00000010562.ENSBTAG00000011515",0.0414498456869426,"vivo",28
"ENSBTAG00000014737.ENSBTAG00000037649",0.0019669164398225,"vivo",28
"ENSBTAG00000001941.ENSBTAG00000023144",0.0468339844534944,"vivo",28
"ENSBTAG00000003329.ENSBTAG00000002081",0.00754965659581667,"vivo",28
