"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.59375,0.1875,0.6904296875
"vitro",64,0.453125,-0.09375,0.5126953125
"vivo",28,0.484375,-0.03125,0.61181640625
"vitro",28,0.4375,-0.125,0.595703125
"vivo",21,0.578125,0.15625,0.6484375
"vitro",21,0.71875,0.4375,0.6767578125
"vivo",94,0.75,0.5,0.8212890625
"vitro",94,0.765625,0.53125,0.8828125
"vivo",41,0.5625,0.125,0.61669921875
"vitro",41,0.609375,0.21875,0.6875
"vivo",12,0.765625,0.53125,0.76513671875
"vitro",12,0.8125,0.625,0.845703125
"vivo",53,0.796875,0.59375,0.794921875
"vitro",53,0.546875,0.09375,0.62890625
"vivo",22,0.875,0.75,0.8896484375
"vitro",22,0.625,0.25,0.7041015625
"vivo",17,0.6875,0.375,0.6953125
"vitro",17,0.46875,-0.0625,0.5068359375
"vivo",62,0.734375,0.46875,0.79833984375
"vitro",62,0.4375,-0.125,0.544921875
