"feature","shap_importance","dataset","seed"
"ENSBTAG00000009761.ENSBTAG00000002144",0,"vivo",64
"ENSBTAG00000009761.ENSBTAG00000012314",0.000320407317306411,"vivo",64
"ENSBTAG00000005481.ENSBTAG00000003166",0,"vivo",64
"ENSBTAG00000012444.ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000012444.ENSBTAG00000015127",0,"vivo",64
"ENSBTAG00000010663.ENSBTAG00000013745",0.00017693795234108,"vivo",64
"ENSBTAG00000010663.ENSBTAG00000019929",0.000342916479518696,"vivo",64
"ENSBTAG00000010663.ENSBTAG00000015910",0.000332380609921692,"vivo",64
"ENSBTAG00000001141.ENSBTAG00000013745",0.000147294328636053,"vivo",64
"ENSBTAG00000001141.ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000001141.ENSBTAG00000022799",4.99449779911965e-05,"vivo",64
"ENSBTAG00000019694.ENSBTAG00000013745",0,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000017266",0,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000019929",2.85439617226206e-05,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000015910",2.87350402257725e-05,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000013755",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000002144",0.000463104927792366,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000017981",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000008483",0.00133297745051724,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000016948",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000019903",2.2727175389803e-05,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000020704",8.64916956655669e-05,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000017489",0.000325030750706365,"vivo",64
"ENSBTAG00000013191.ENSBTAG00000015910",2.36039878940019e-05,"vivo",64
"ENSBTAG00000014556.ENSBTAG00000026676",4.20543100145761e-05,"vivo",64
"ENSBTAG00000013201.ENSBTAG00000020319",8.33023398848416e-06,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000013745",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000020148",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000011034.ENSBTAG00000020148",0,"vivo",64
"ENSBTAG00000011034.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000021811.ENSBTAG00000020148",0,"vivo",64
"ENSBTAG00000021811.ENSBTAG00000003777",0.000733473033109957,"vivo",64
"ENSBTAG00000011810.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000002473.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000015978.ENSBTAG00000039292",8.73332360709362e-05,"vivo",64
"ENSBTAG00000015978.ENSBTAG00000013290",0,"vivo",64
"ENSBTAG00000015978.ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000019993.ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000019993.ENSBTAG00000027516",0.000186455665148877,"vivo",64
"ENSBTAG00000009212.ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000019770.ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000012398.ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000012398.ENSBTAG00000014357",5.99901930111667e-05,"vivo",64
"ENSBTAG00000012398.ENSBTAG00000008008",0,"vivo",64
"ENSBTAG00000020556.ENSBTAG00000018517",0,"vivo",64
"ENSBTAG00000023600.ENSBTAG00000005910",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000012314",0.000773883486552641,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000005903",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000000736",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000014269",0.000414514058134517,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000014611",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000018517",6.77563488598555e-05,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000039292",0.000226315619029291,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000015228",0,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000015996",0,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000004334",0,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000020979",0,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000020054",0.000111531407471841,"vivo",64
"ENSBTAG00000018134.ENSBTAG00000011628",9.61474867724868e-05,"vivo",64
"ENSBTAG00000018134.ENSBTAG00000010444",0,"vivo",64
"ENSBTAG00000007725.ENSBTAG00000012687",0.000363123185786909,"vivo",64
"ENSBTAG00000045582.ENSBTAG00000002144",0.000219908367329351,"vivo",64
"ENSBTAG00000045582.ENSBTAG00000012314",0.000269537836502122,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000003848",0,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000017846",0,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000023731",0,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000018999",0,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000002144",0.000128657869077312,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000017981",0,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000007175",0,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000047138",0,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000012314",0.00114213372075848,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000016948",0.00127582421486467,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000019903",0.000874543296537102,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000020704",0.00416538656300194,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000017489",0,"vivo",64
"ENSBTAG00000026236.ENSBTAG00000019929",0.000617867514558653,"vivo",64
"ENSBTAG00000015789.ENSBTAG00000011628",0.000188342247790865,"vivo",64
"ENSBTAG00000015789.ENSBTAG00000006732",0.000137623853889382,"vivo",64
"ENSBTAG00000005250.ENSBTAG00000008008",0,"vivo",64
"ENSBTAG00000005250.ENSBTAG00000006240",0,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000011909",0.0003165161694377,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000018105",0,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000000231",0.000447077602207415,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000002081",0.00292645930660195,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000006420",0.00148858405620192,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000008997",0.000545144318075353,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000000231",0.000136296712751912,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000002081",0,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000006420",0,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000011909",0.00102413012836449,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000018114",0.000966434210035876,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000018105",0.000380766732954991,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000000231",0.000802995862825339,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000002081",0.0103794171910919,"vivo",64
