"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000017745.ENSBTAG00000018474",0.0150872999348616,0.0224006831882588
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",0.00986737766870738,0.0184811551917185
"vitro","ENSBTAG00000020645.ENSBTAG00000014600",0.00897147276254418,0.0122072320280131
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",0.00722865558824808,0.0201160405546861
"vitro","ENSBTAG00000003300.ENSBTAG00000019929",0.0072099862916241,0.0206588924149781
"vitro","ENSBTAG00000014113.ENSBTAG00000019428",0.00709347359331368,0.0151131981380501
"vitro","ENSBTAG00000014113.ENSBTAG00000003220",0.00662564781887085,0.0105036788870652
"vitro","ENSBTAG00000025257.ENSBTAG00000019428",0.00660541669895704,0.00830753641227096
"vitro","ENSBTAG00000013155.ENSBTAG00000008165",0.00658797900292298,0.0104257168624962
"vitro","ENSBTAG00000015509.ENSBTAG00000012687",0.00535619033701385,0.0119586995899082
"vitro","ENSBTAG00000000575.ENSBTAG00000026676",0.00532392850065037,0.00683377899592986
"vitro","ENSBTAG00000013155.ENSBTAG00000008373",0.00482432575769064,0.0100640077469194
"vitro","ENSBTAG00000021217.ENSBTAG00000010682",0.00457275656265172,0.0123290748434852
"vitro","ENSBTAG00000012829.ENSBTAG00000017745",0.00452496810595792,0.00643624876338689
"vitro","ENSBTAG00000005250.ENSBTAG00000006240",0.0044180479202001,0.00817167323611866
"vitro","ENSBTAG00000007773.ENSBTAG00000015910",0.00414576995299801,0.0117280405022348
"vitro","ENSBTAG00000014113.ENSBTAG00000001338",0.00387175751331735,0.00792646355131906
"vitro","ENSBTAG00000016800.ENSBTAG00000007338",0.00357771285730037,0.00418117059979465
"vitro","ENSBTAG00000013103.ENSBTAG00000019929",0.00342286850257911,0.010475201901173
"vitro","ENSBTAG00000020638.ENSBTAG00000000782",0.00340474684393539,0.00549087908571122
"vitro","ENSBTAG00000004086.ENSBTAG00000019712",0.00336861310690963,0.00990668160158778
"vitro","ENSBTAG00000025257.ENSBTAG00000001338",0.00336251779444581,0.0064870749442677
"vitro","ENSBTAG00000020457.ENSBTAG00000012599",0.00335748385043142,0.00735391690817675
"vitro","ENSBTAG00000004261.ENSBTAG00000017060",0.00325580908438583,0.00516201595831747
"vitro","ENSBTAG00000000575.ENSBTAG00000015296",0.00320652064450942,0.0070603281516924
"vitro","ENSBTAG00000010303.ENSBTAG00000017060",0.0031314242919999,0.00338533992909637
"vitro","ENSBTAG00000021466.ENSBTAG00000010682",0.00310579493533203,0.00880685630559097
"vitro","ENSBTAG00000021697.ENSBTAG00000007173",0.00307983976921939,0.00523497006748419
"vitro","ENSBTAG00000017280.ENSBTAG00000005397",0.00304327683684731,0.00622817799021868
"vitro","ENSBTAG00000005250.ENSBTAG00000008008",0.00296397112124828,0.00539856876915256
"vitro","ENSBTAG00000008096.ENSBTAG00000019733",0.00290211144788942,0.00383324767475204
"vitro","ENSBTAG00000014737.ENSBTAG00000000782",0.00275380053807815,0.00209578637774059
"vitro","ENSBTAG00000020645.ENSBTAG00000012848",0.00274760727744541,0.00395679798387828
"vitro","ENSBTAG00000007244.ENSBTAG00000019929",0.0026608275022565,0.00346151196100384
"vitro","ENSBTAG00000012817.ENSBTAG00000022799",0.00265994335222703,0.00468639338386973
"vitro","ENSBTAG00000014465.ENSBTAG00000013125",0.00264382147553269,0.00358832456793008
"vitro","ENSBTAG00000015991.ENSBTAG00000024015",0.00263681418014428,0.00683933601438065
"vitro","ENSBTAG00000000575.ENSBTAG00000015127",0.00258116970111692,0.00465089041963439
"vitro","ENSBTAG00000020645.ENSBTAG00000011628",0.0025154611875857,0.00668358514579861
"vitro","ENSBTAG00000017060.ENSBTAG00000010303",0.00248323300795813,0.00193872726444678
"vitro","ENSBTAG00000012004.ENSBTAG00000019832",0.00245052501749287,0.00460933405940227
"vitro","ENSBTAG00000000073.ENSBTAG00000014611",0.00244601877348496,0.00543879556399161
"vitro","ENSBTAG00000000277.ENSBTAG00000011238",0.0024355863316671,0.00619114127356307
"vitro","ENSBTAG00000004148.ENSBTAG00000003255",0.00239077653282602,0.00564459066315355
"vitro","ENSBTAG00000007338.ENSBTAG00000017593",0.00232268469886133,0.00541370549642876
"vitro","ENSBTAG00000031998.ENSBTAG00000015708",0.00231354050981818,0.00178558277345692
"vitro","ENSBTAG00000017549.ENSBTAG00000008197",0.00214137122986215,0.00396129750798566
"vitro","ENSBTAG00000005710.ENSBTAG00000014064",0.00206902473226643,0.00365036952955827
"vitro","ENSBTAG00000000575.ENSBTAG00000015910",0.00203562515429974,0.00403968247871098
"vitro","ENSBTAG00000014113.ENSBTAG00000014162",0.00202775729600828,0.00522891138518089
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",0.00200748987048231,0.00241492220785691
"vitro","ENSBTAG00000010303.ENSBTAG00000007103",0.00196690217093185,0.00226999325432284
"vitro","ENSBTAG00000008026.ENSBTAG00000007175",0.00196557081251972,0.00530924612163015
"vitro","ENSBTAG00000017060.ENSBTAG00000007103",0.00191556566815499,0.00288932304640473
"vitro","ENSBTAG00000012164.ENSBTAG00000010498",0.00186915875259724,0.00281446445065032
"vitro","ENSBTAG00000017246.ENSBTAG00000010444",0.00186453682296194,0.0025198559359376
"vitro","ENSBTAG00000007773.ENSBTAG00000017060",0.00185099588863725,0.002707974657819
"vitro","ENSBTAG00000001725.ENSBTAG00000001338",0.00182177069142551,0.0037847795327041
"vitro","ENSBTAG00000003806.ENSBTAG00000016455",0.00178653152548841,0.00522367125437241
"vitro","ENSBTAG00000000575.ENSBTAG00000012897",0.00175308417910613,0.00101086562755977
"vitro","ENSBTAG00000021945.ENSBTAG00000011741",0.00174636014829033,0.00254855930720973
"vitro","ENSBTAG00000032436.ENSBTAG00000010444",0.00172515999880991,0.00269209398785876
"vitro","ENSBTAG00000020645.ENSBTAG00000014944",0.00171172772738699,0.00260342291753518
"vitro","ENSBTAG00000025644.ENSBTAG00000004588",0.00170301566924617,0.00369061771309761
"vitro","ENSBTAG00000010738.ENSBTAG00000019428",0.00169648782161158,0.00219879638263895
"vitro","ENSBTAG00000000575.ENSBTAG00000012119",0.00169191274264969,0.00410598870706487
"vitro","ENSBTAG00000020645.ENSBTAG00000006208",0.00167984687276273,0.00254982228009523
"vitro","ENSBTAG00000010726.ENSBTAG00000025101",0.00167938955698875,0.00419019733613195
"vitro","ENSBTAG00000025257.ENSBTAG00000014162",0.00167322345101999,0.00455890948174802
"vitro","ENSBTAG00000021326.ENSBTAG00000014798",0.00164628823870399,0.00276511926263961
"vitro","ENSBTAG00000008817.ENSBTAG00000017266",0.00164074777044542,0.00246369856385374
"vitro","ENSBTAG00000017473.ENSBTAG00000018169",0.00163475993987263,0.00308111000009215
"vitro","ENSBTAG00000017745.ENSBTAG00000015361",0.00162133310708581,0.00287189911216919
"vitro","ENSBTAG00000002006.ENSBTAG00000015127",0.00161940745791624,0.00268443549650863
"vitro","ENSBTAG00000005710.ENSBTAG00000015457",0.00158293249026897,0.00431570357703048
"vitro","ENSBTAG00000025644.ENSBTAG00000010986",0.00156474495078319,0.00230413871679179
"vitro","ENSBTAG00000005947.ENSBTAG00000013125",0.0015578556008058,0.00174689469060733
"vitro","ENSBTAG00000011851.ENSBTAG00000012771",0.00154341674440587,0.00279414500270778
"vitro","ENSBTAG00000017745.ENSBTAG00000010423",0.00153965047257844,0.00244539199148271
"vitro","ENSBTAG00000031444.ENSBTAG00000006360",0.00153693444272468,0.00412313344654388
"vitro","ENSBTAG00000009565.ENSBTAG00000002804",0.00153068106741537,0.00403362266882504
"vitro","ENSBTAG00000011585.ENSBTAG00000015046",0.00152837668264262,0.00411772437381217
"vitro","ENSBTAG00000000575.ENSBTAG00000020679",0.00151927472500227,0.00122621900367759
"vitro","ENSBTAG00000015978.ENSBTAG00000011628",0.00150506511305627,0.00279985998354203
"vitro","ENSBTAG00000007773.ENSBTAG00000003418",0.00149940781221637,0.0033723322518601
"vitro","ENSBTAG00000025644.ENSBTAG00000020667",0.00145383221626698,0.00173318190120196
"vitro","ENSBTAG00000019267.ENSBTAG00000011578",0.00145269323701999,0.00151394525086898
"vitro","ENSBTAG00000003253.ENSBTAG00000007665",0.00143904254721335,0.00270134429838777
"vitro","ENSBTAG00000005691.ENSBTAG00000015127",0.00141994437295585,0.00158743426505637
"vitro","ENSBTAG00000020645.ENSBTAG00000017489",0.00140252131314045,0.00380200787225514
"vitro","ENSBTAG00000017745.ENSBTAG00000016933",0.00139643717729176,0.00220348102378829
"vitro","ENSBTAG00000008452.ENSBTAG00000013909",0.00139071092702699,0.00288614205844853
"vitro","ENSBTAG00000012004.ENSBTAG00000008997",0.00138885078704128,0.00230203121086204
"vitro","ENSBTAG00000005077.ENSBTAG00000015910",0.00132593849698077,0.00266447888135751
"vitro","ENSBTAG00000018103.ENSBTAG00000011154",0.00131693155943258,0.00399786376848738
"vitro","ENSBTAG00000013201.ENSBTAG00000020319",0.00129152207773396,0.00280762674883705
"vitro","ENSBTAG00000023652.ENSBTAG00000005828",0.00127169836103288,0.00211050427752442
"vitro","ENSBTAG00000014737.ENSBTAG00000015910",0.00126930077140846,0.00134590623215552
"vitro","ENSBTAG00000005260.ENSBTAG00000015910",0.00126007842659433,0.00280791619519397
"vitro","ENSBTAG00000019269.ENSBTAG00000015910",0.00125935930215999,0.00185114153466801
"vitro","ENSBTAG00000008300.ENSBTAG00000013125",0.00122915899175451,0.00193774939914092
"vitro","ENSBTAG00000000442.ENSBTAG00000007348",0.00116778076661007,0.00187476960861698
"vitro","ENSBTAG00000000476.ENSBTAG00000003781",0.00115092013737744,0.00253569491653071
"vitro","ENSBTAG00000012817.ENSBTAG00000007909",0.00114592669342363,0.00217711573322251
"vitro","ENSBTAG00000016800.ENSBTAG00000000782",0.0011441201894069,0.00195346930951221
"vitro","ENSBTAG00000008300.ENSBTAG00000033669",0.00114099987599877,0.00215154614998696
"vitro","ENSBTAG00000007273.ENSBTAG00000032719",0.00113401799380571,0.00328803749658157
"vitro","ENSBTAG00000010161.ENSBTAG00000014162",0.00112842434113856,0.00175322966208921
"vitro","ENSBTAG00000014075.ENSBTAG00000012887",0.00111029572753865,0.00153624665090349
"vitro","ENSBTAG00000009761.ENSBTAG00000012314",0.00110281676049393,0.00156503976127949
"vitro","ENSBTAG00000005077.ENSBTAG00000015127",0.00108293680721735,0.000964154343807254
"vitro","ENSBTAG00000007737.ENSBTAG00000006378",0.00105891676582006,0.00231938489859332
"vitro","ENSBTAG00000017312.ENSBTAG00000017136",0.00105781513503162,0.00147977414891687
"vitro","ENSBTAG00000020645.ENSBTAG00000020199",0.00105691035042758,0.0013047034379964
"vitro","ENSBTAG00000020645.ENSBTAG00000005990",0.0010538855478677,0.00186152428682992
"vitro","ENSBTAG00000012228.ENSBTAG00000014966",0.0010461166813141,0.00280129657187519
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",0.00103879649777025,0.00208534138412807
"vitro","ENSBTAG00000025644.ENSBTAG00000014600",0.00103480827939386,0.00115238495745575
"vitro","ENSBTAG00000011034.ENSBTAG00000003777",0.00102746090910354,0.00193520814166284
"vitro","ENSBTAG00000008121.ENSBTAG00000015127",0.00102315928616973,0.00285743156854036
"vitro","ENSBTAG00000013155.ENSBTAG00000015910",0.00100957830905167,0.00108006688824221
