"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000020645.ENSBTAG00000014600",43.9752890032412,43.9534643387763
"vitro","ENSBTAG00000017745.ENSBTAG00000018474",41.8100458008233,40.9078253853072
"vitro","ENSBTAG00000012829.ENSBTAG00000017745",27.1232003072715,24.647035620435
"vitro","ENSBTAG00000025257.ENSBTAG00000019428",26.615923051611,32.8802256467167
"vitro","ENSBTAG00000013155.ENSBTAG00000008165",26.0371737208484,27.835990023941
"vitro","ENSBTAG00000000575.ENSBTAG00000026676",25.7425820810252,22.9906594688142
"vitro","ENSBTAG00000014113.ENSBTAG00000019428",24.236717249394,40.1859814346422
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",23.0700598618113,25.0429376890632
"vitro","ENSBTAG00000003300.ENSBTAG00000019929",22.4908969936797,30.1607636798025
"vitro","ENSBTAG00000013155.ENSBTAG00000008373",21.3318262975541,22.9605578672631
"vitro","ENSBTAG00000021217.ENSBTAG00000010682",21.1180766889071,25.8680282097607
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",20.1974540637752,29.5241008288638
"vitro","ENSBTAG00000015509.ENSBTAG00000012687",18.7692694243332,30.9365081715536
"vitro","ENSBTAG00000014113.ENSBTAG00000003220",15.9020140945273,19.4716056808743
"vitro","ENSBTAG00000020638.ENSBTAG00000000782",15.5339247466874,8.33219305318231
"vitro","ENSBTAG00000005250.ENSBTAG00000006240",14.9154595029037,19.8168263181715
"vitro","ENSBTAG00000016800.ENSBTAG00000007338",14.8644289819165,12.6808806783688
"vitro","ENSBTAG00000014113.ENSBTAG00000001338",12.9296474923705,20.647801138304
"vitro","ENSBTAG00000007773.ENSBTAG00000015910",11.6351098014584,16.7544072207374
"vitro","ENSBTAG00000013103.ENSBTAG00000019929",10.2510893357879,18.9975027454673
"vivo","ENSBTAG00000014906.ENSBTAG00000011515",41.5298473951659,31.554302103116
"vivo","ENSBTAG00000017866.ENSBTAG00000014031",41.4522936022163,37.4321958956421
"vivo","ENSBTAG00000021697.ENSBTAG00000002804",39.4820954649803,44.7627133859057
"vivo","ENSBTAG00000010562.ENSBTAG00000011515",37.4719968697037,28.8079686863288
"vivo","ENSBTAG00000011851.ENSBTAG00000019866",37.0624232516179,38.7842859545594
"vivo","ENSBTAG00000007773.ENSBTAG00000015910",31.726590149683,30.2068526686767
"vivo","ENSBTAG00000017745.ENSBTAG00000015361",30.4076515150378,25.1373676613643
"vivo","ENSBTAG00000015089.ENSBTAG00000023144",28.2701484817806,34.695172142585
"vivo","ENSBTAG00000000793.ENSBTAG00000019289",27.5686433809407,31.9883054053397
"vivo","ENSBTAG00000010452.ENSBTAG00000011515",27.1089332090356,30.9723611291428
"vivo","ENSBTAG00000007773.ENSBTAG00000010347",27.0498107811788,25.4581817886463
"vivo","ENSBTAG00000005691.ENSBTAG00000011578",26.496079927258,27.3937215887161
"vivo","ENSBTAG00000014583.ENSBTAG00000011515",25.7291279156675,23.2400320976589
"vivo","ENSBTAG00000000575.ENSBTAG00000015296",24.774648619417,26.0668197355964
"vivo","ENSBTAG00000007773.ENSBTAG00000018993",22.8333426891968,28.9571314036473
"vivo","ENSBTAG00000002317.ENSBTAG00000026676",21.9427996248728,19.8388333401547
"vivo","ENSBTAG00000021697.ENSBTAG00000007173",19.4829811245282,33.3004760223509
"vivo","ENSBTAG00000025644.ENSBTAG00000011515",18.8902826239108,12.7339442912396
"vivo","ENSBTAG00000039355.ENSBTAG00000011515",18.0436590518765,20.8117305136241
"vivo","ENSBTAG00000021697.ENSBTAG00000005990",13.0415375751798,18.6997635831199
