"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.59375,0.1875,0.7080078125
"vitro",64,0.453125,-0.09375,0.49072265625
"vivo",28,0.5,0,0.54833984375
"vitro",28,0.609375,0.21875,0.55615234375
"vivo",21,0.546875,0.09375,0.669921875
"vitro",21,0.75,0.5,0.8173828125
"vivo",94,0.625,0.25,0.8642578125
"vitro",94,0.90625,0.8125,0.9677734375
"vivo",41,0.4375,-0.125,0.4033203125
"vitro",41,0.6875,0.375,0.7412109375
"vivo",12,0.6875,0.375,0.8359375
"vitro",12,0.859375,0.71875,0.9443359375
"vivo",53,0.6875,0.375,0.81640625
"vitro",53,0.671875,0.34375,0.6875
"vivo",22,0.875,0.75,0.884765625
"vitro",22,0.734375,0.46875,0.8203125
"vivo",17,0.734375,0.46875,0.728515625
"vitro",17,0.703125,0.40625,0.6953125
"vivo",62,0.734375,0.46875,0.75390625
"vitro",62,0.515625,0.03125,0.431640625
