"feature","shap_importance","dataset","seed"
"ENSBTAG00000021697.ENSBTAG00000002804",0.00574015394455826,"vivo",64
"ENSBTAG00000014906.ENSBTAG00000011515",0.0296435387649916,"vivo",64
"ENSBTAG00000010562.ENSBTAG00000011515",0.0485804826401447,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000011515",0.0154086649498081,"vivo",64
"ENSBTAG00000010452.ENSBTAG00000011515",0.0142140253838499,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000007173",0.00226616156895686,"vivo",64
"ENSBTAG00000017866.ENSBTAG00000014031",0.100869849267976,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000018993",0.012019576945994,"vivo",64
"ENSBTAG00000011851.ENSBTAG00000019866",0.12185698948916,"vivo",64
"ENSBTAG00000005691.ENSBTAG00000011578",0.0517554338267125,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011515",0.0114600063877502,"vivo",64
"ENSBTAG00000000793.ENSBTAG00000019289",0.0367372970253969,"vivo",64
"ENSBTAG00000000575.ENSBTAG00000015296",0.00847413661515287,"vivo",64
"ENSBTAG00000015089.ENSBTAG00000023144",0.00653546087885509,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000015361",0.0414978250254801,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000005990",0.000957975581429221,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000015910",0.030276319306805,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000026676",0.00917856321417076,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000010347",0.029261465089964,"vivo",64
"ENSBTAG00000039355.ENSBTAG00000011515",0.0305938555804585,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000018474",0.000864383825337372,"vitro",64
"ENSBTAG00000013103.ENSBTAG00000010682",0.079823572131966,"vitro",64
"ENSBTAG00000020645.ENSBTAG00000014600",0.000157661780621339,"vitro",64
"ENSBTAG00000007773.ENSBTAG00000010347",0.00816374509886198,"vitro",64
"ENSBTAG00000003300.ENSBTAG00000019929",0.00245626786788042,"vitro",64
"ENSBTAG00000014113.ENSBTAG00000019428",0.000661500704763655,"vitro",64
"ENSBTAG00000014113.ENSBTAG00000003220",0.000395473582467918,"vitro",64
"ENSBTAG00000025257.ENSBTAG00000019428",0.00318147590300061,"vitro",64
"ENSBTAG00000013155.ENSBTAG00000008165",0.000937977065491678,"vitro",64
"ENSBTAG00000015509.ENSBTAG00000012687",0.194660043147469,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000026676",0.0150612154540577,"vitro",64
"ENSBTAG00000013155.ENSBTAG00000008373",0.00282327929576729,"vitro",64
"ENSBTAG00000021217.ENSBTAG00000010682",0.162502204836807,"vitro",64
"ENSBTAG00000012829.ENSBTAG00000017745",0.0467358543250349,"vitro",64
"ENSBTAG00000005250.ENSBTAG00000006240",0.00139001604730992,"vitro",64
"ENSBTAG00000007773.ENSBTAG00000015910",0.00531684136961518,"vitro",64
"ENSBTAG00000014113.ENSBTAG00000001338",0.000357574894677238,"vitro",64
"ENSBTAG00000016800.ENSBTAG00000007338",0.0207883038316721,"vitro",64
"ENSBTAG00000013103.ENSBTAG00000019929",0.00982490570062224,"vitro",64
"ENSBTAG00000020638.ENSBTAG00000000782",0.0108510810573704,"vitro",64
"ENSBTAG00000021697.ENSBTAG00000002804",0.00676208086994485,"vivo",28
"ENSBTAG00000014906.ENSBTAG00000011515",0.00992678217366335,"vivo",28
"ENSBTAG00000010562.ENSBTAG00000011515",0.0176609685769991,"vivo",28
"ENSBTAG00000014583.ENSBTAG00000011515",0.0824085024538919,"vivo",28
"ENSBTAG00000010452.ENSBTAG00000011515",0.0570825118971745,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000007173",0.00438244050163577,"vivo",28
"ENSBTAG00000017866.ENSBTAG00000014031",0.0844286403736286,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000018993",0.0930964904640792,"vivo",28
"ENSBTAG00000011851.ENSBTAG00000019866",0.0105633038264722,"vivo",28
"ENSBTAG00000005691.ENSBTAG00000011578",0.0235454956541235,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000011515",0.0411390650123739,"vivo",28
"ENSBTAG00000000793.ENSBTAG00000019289",0.000503560711150093,"vivo",28
"ENSBTAG00000000575.ENSBTAG00000015296",0.00361541950181008,"vivo",28
"ENSBTAG00000015089.ENSBTAG00000023144",0.0209394096977796,"vivo",28
"ENSBTAG00000017745.ENSBTAG00000015361",0.0101604538843391,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000005990",0.00516384360798392,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000015910",0.0763681560959594,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000026676",0.000792908519219751,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000010347",0.0666936149667436,"vivo",28
"ENSBTAG00000039355.ENSBTAG00000011515",0.00331088556285303,"vivo",28
"ENSBTAG00000017745.ENSBTAG00000018474",0.0237588548504332,"vitro",28
"ENSBTAG00000013103.ENSBTAG00000010682",0.00871566465866804,"vitro",28
"ENSBTAG00000020645.ENSBTAG00000014600",0.00985269568929871,"vitro",28
"ENSBTAG00000007773.ENSBTAG00000010347",0.11182101374309,"vitro",28
"ENSBTAG00000003300.ENSBTAG00000019929",0.00200282176218749,"vitro",28
"ENSBTAG00000014113.ENSBTAG00000019428",0.00821465685873623,"vitro",28
"ENSBTAG00000014113.ENSBTAG00000003220",0.00682595766340049,"vitro",28
"ENSBTAG00000025257.ENSBTAG00000019428",0.0176519524246097,"vitro",28
"ENSBTAG00000013155.ENSBTAG00000008165",0.0280738282823716,"vitro",28
"ENSBTAG00000015509.ENSBTAG00000012687",0.128946263090972,"vitro",28
"ENSBTAG00000000575.ENSBTAG00000026676",0.00646115379803191,"vitro",28
"ENSBTAG00000013155.ENSBTAG00000008373",0.0206348921623918,"vitro",28
"ENSBTAG00000021217.ENSBTAG00000010682",0.012268058467742,"vitro",28
"ENSBTAG00000012829.ENSBTAG00000017745",0.00782326464471892,"vitro",28
"ENSBTAG00000005250.ENSBTAG00000006240",0.0166791724956084,"vitro",28
"ENSBTAG00000007773.ENSBTAG00000015910",0.0799149300421748,"vitro",28
"ENSBTAG00000014113.ENSBTAG00000001338",0.012060562416976,"vitro",28
"ENSBTAG00000016800.ENSBTAG00000007338",0.00331418359329411,"vitro",28
"ENSBTAG00000013103.ENSBTAG00000019929",0.0048622748821197,"vitro",28
"ENSBTAG00000020638.ENSBTAG00000000782",0.00796883228793881,"vitro",28
"ENSBTAG00000021697.ENSBTAG00000002804",0.00220770597543358,"vivo",21
"ENSBTAG00000014906.ENSBTAG00000011515",0.0578995871187158,"vivo",21
"ENSBTAG00000010562.ENSBTAG00000011515",0.0529170947170201,"vivo",21
"ENSBTAG00000014583.ENSBTAG00000011515",0.0481559932131718,"vivo",21
"ENSBTAG00000010452.ENSBTAG00000011515",0.0213472089882124,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000007173",0.00222323900504855,"vivo",21
"ENSBTAG00000017866.ENSBTAG00000014031",0.00960786585504475,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000018993",0.0138001921706803,"vivo",21
"ENSBTAG00000011851.ENSBTAG00000019866",0.0197203001530587,"vivo",21
"ENSBTAG00000005691.ENSBTAG00000011578",0.0100115333940971,"vivo",21
"ENSBTAG00000025644.ENSBTAG00000011515",0.0254737690167273,"vivo",21
"ENSBTAG00000000793.ENSBTAG00000019289",0.0542503600880959,"vivo",21
"ENSBTAG00000000575.ENSBTAG00000015296",0.0694643629684847,"vivo",21
"ENSBTAG00000015089.ENSBTAG00000023144",0.00122492827653508,"vivo",21
"ENSBTAG00000017745.ENSBTAG00000015361",0.018988359083897,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000005990",0.00840015120541803,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000015910",0.0561536378844076,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000026676",0.0102156178978839,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000010347",0.0432991291648847,"vivo",21
"ENSBTAG00000039355.ENSBTAG00000011515",0.0344580787683411,"vivo",21
"ENSBTAG00000017745.ENSBTAG00000018474",0.0227022085836626,"vitro",21
"ENSBTAG00000013103.ENSBTAG00000010682",0.0863704489645954,"vitro",21
"ENSBTAG00000020645.ENSBTAG00000014600",0.0948463430713049,"vitro",21
"ENSBTAG00000007773.ENSBTAG00000010347",0.0052438462125787,"vitro",21
"ENSBTAG00000003300.ENSBTAG00000019929",0.0510700947536399,"vitro",21
"ENSBTAG00000014113.ENSBTAG00000019428",0.00632926170167209,"vitro",21
"ENSBTAG00000014113.ENSBTAG00000003220",0.00460670132013449,"vitro",21
"ENSBTAG00000025257.ENSBTAG00000019428",0.0076070392313927,"vitro",21
"ENSBTAG00000013155.ENSBTAG00000008165",0.0179090509550311,"vitro",21
"ENSBTAG00000015509.ENSBTAG00000012687",0.00741085342612602,"vitro",21
