"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000017745.ENSBTAG00000018474",0.0614849569063194,0.062136272912031
"vitro","ENSBTAG00000020645.ENSBTAG00000014600",0.0433873615706671,0.0410412099314967
"vitro","ENSBTAG00000015509.ENSBTAG00000012687",0.0403302794902025,0.0662587436727248
"vitro","ENSBTAG00000021217.ENSBTAG00000010682",0.0342271079200944,0.0482964910652128
"vitro","ENSBTAG00000012829.ENSBTAG00000017745",0.0340490668405466,0.0262202875373161
"vitro","ENSBTAG00000014113.ENSBTAG00000019428",0.0335212112119299,0.0578291690706074
"vitro","ENSBTAG00000000575.ENSBTAG00000026676",0.0314259652506243,0.0276785023293792
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",0.0301596515679946,0.030340783254077
"vitro","ENSBTAG00000025257.ENSBTAG00000019428",0.0273201720269408,0.0287865205421341
"vitro","ENSBTAG00000013155.ENSBTAG00000008165",0.0261340372538838,0.0204950973618343
"vitro","ENSBTAG00000003300.ENSBTAG00000019929",0.0259589329200218,0.0293221268391479
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",0.0257380115597501,0.0322472060666551
"vitro","ENSBTAG00000013155.ENSBTAG00000008373",0.0209064001206677,0.0197771653341897
"vitro","ENSBTAG00000016800.ENSBTAG00000007338",0.0192101487565008,0.015417286507963
"vitro","ENSBTAG00000020638.ENSBTAG00000000782",0.0185994621781784,0.00984817371347281
"vitro","ENSBTAG00000014113.ENSBTAG00000003220",0.0175898134146661,0.0184710394939353
"vitro","ENSBTAG00000014113.ENSBTAG00000001338",0.0171383899244386,0.0211614377554599
"vitro","ENSBTAG00000005250.ENSBTAG00000006240",0.0163558933114811,0.0161193572777553
"vitro","ENSBTAG00000007773.ENSBTAG00000015910",0.0161685939923648,0.0231696736679787
"vitro","ENSBTAG00000013103.ENSBTAG00000019929",0.0119581882891989,0.0186946404297855
"vivo","ENSBTAG00000021697.ENSBTAG00000002804",0.0482410588838512,0.0644837109136909
"vivo","ENSBTAG00000011851.ENSBTAG00000019866",0.0457165294356681,0.0517525518812844
"vivo","ENSBTAG00000010562.ENSBTAG00000011515",0.0446103889868631,0.0337821064077662
"vivo","ENSBTAG00000017866.ENSBTAG00000014031",0.0418471542412493,0.0359894914016678
"vivo","ENSBTAG00000005691.ENSBTAG00000011578",0.0328412710009443,0.0420277595802219
"vivo","ENSBTAG00000014906.ENSBTAG00000011515",0.0322319922534405,0.0181903185005674
"vivo","ENSBTAG00000007773.ENSBTAG00000018993",0.0317571434365156,0.0351295537759865
"vivo","ENSBTAG00000000793.ENSBTAG00000019289",0.0308314647789386,0.0331458829995306
"vivo","ENSBTAG00000007773.ENSBTAG00000015910",0.0298402587429114,0.0228003365333624
"vivo","ENSBTAG00000010452.ENSBTAG00000011515",0.0297841728798374,0.0292081756991457
"vivo","ENSBTAG00000014583.ENSBTAG00000011515",0.0294512585319782,0.0248660946792897
"vivo","ENSBTAG00000017745.ENSBTAG00000015361",0.0288502465781129,0.0245718949286895
"vivo","ENSBTAG00000002317.ENSBTAG00000026676",0.0283484908791954,0.0234158561211066
"vivo","ENSBTAG00000007773.ENSBTAG00000010347",0.025326351461447,0.0192288140276053
"vivo","ENSBTAG00000021697.ENSBTAG00000007173",0.0244640736285604,0.0390498928522496
"vivo","ENSBTAG00000015089.ENSBTAG00000023144",0.0219728904781955,0.02554269723917
"vivo","ENSBTAG00000000575.ENSBTAG00000015296",0.0215404582452719,0.0270537115789361
"vivo","ENSBTAG00000025644.ENSBTAG00000011515",0.020496511810708,0.0140380910773261
"vivo","ENSBTAG00000039355.ENSBTAG00000011515",0.0154012348841265,0.014031638338107
"vivo","ENSBTAG00000021697.ENSBTAG00000005990",0.0143659867521625,0.0193750219701278
