"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000025644-ENSBTAG00000010986",18.491342058758,30.5596254355742
"vitro","ENSBTAG00000014737-ENSBTAG00000015910",17.8921944249248,27.8416666664188
"vitro","ENSBTAG00000000073-ENSBTAG00000014611",13.4449422397972,24.9465279956908
"vitro","ENSBTAG00000014583-ENSBTAG00000010986",13.0063730835789,23.8575857462651
"vitro","ENSBTAG00000045582-ENSBTAG00000002144",11.0349461257871,22.7403921268692
"vitro","ENSBTAG00000014737-ENSBTAG00000000782",10.2694535996771,17.6011925376596
"vitro","ENSBTAG00000008300-ENSBTAG00000001462",10.052457686844,20.591600497531
"vitro","ENSBTAG00000015978-ENSBTAG00000011628",8.40094964724333,16.5489594849956
"vitro","ENSBTAG00000015978-ENSBTAG00000013290",7.7237436890004,16.2853229752732
"vitro","ENSBTAG00000008300-ENSBTAG00000033669",7.57297275568764,13.6592352029119
"vitro","ENSBTAG00000008300-ENSBTAG00000015910",7.51441804325063,16.272224042319
"vitro","ENSBTAG00000031998-ENSBTAG00000015708",7.48021388858013,17.464920898578
"vitro","ENSBTAG00000015978-ENSBTAG00000039292",7.40415464673561,15.6703723554404
"vitro","ENSBTAG00000005250-ENSBTAG00000008008",7.3592488861288,15.3486360315793
"vitro","ENSBTAG00000045582-ENSBTAG00000012314",7.31958598000511,16.2530576428581
"vitro","ENSBTAG00000017745-ENSBTAG00000016933",7.1673360410806,20.8456111325103
"vitro","ENSBTAG00000020645-ENSBTAG00000011628",7.13428745597062,17.964228695183
"vitro","ENSBTAG00000022120-ENSBTAG00000019929",7.13111774118985,15.8083188303635
"vitro","ENSBTAG00000020645-ENSBTAG00000021527",6.94424063559982,14.7843357460481
"vitro","ENSBTAG00000017745-ENSBTAG00000010423",6.81379868312813,18.5485647558457
"vitro","ENSBTAG00000014737-ENSBTAG00000011971",6.78307783366052,18.604791709365
"vitro","ENSBTAG00000031998-ENSBTAG00000039292",6.59176580489938,12.3072380556866
"vitro","ENSBTAG00000017280-ENSBTAG00000037735",6.47688683827772,14.7092028250192
"vitro","ENSBTAG00000017745-ENSBTAG00000015361",6.41483576914489,17.5381509982439
"vitro","ENSBTAG00000025775-ENSBTAG00000016948",6.40273475765013,14.1803939828288
"vitro","ENSBTAG00000005850-ENSBTAG00000022799",6.30794904344481,15.9198586263196
"vitro","ENSBTAG00000008300-ENSBTAG00000017266",6.24351882518513,17.1074361025766
"vitro","ENSBTAG00000008237-ENSBTAG00000005273",6.21362591883885,18.1753305306218
"vitro","ENSBTAG00000000442-ENSBTAG00000007348",5.94004351356944,18.6811653200646
"vitro","ENSBTAG00000000016-ENSBTAG00000016455",5.91675000678949,17.8603443027933
"vitro","ENSBTAG00000014737-ENSBTAG00000001462",5.91656600948626,11.9707775245719
"vitro","ENSBTAG00000017745-ENSBTAG00000018474",5.862295371087,16.6943485385642
"vitro","ENSBTAG00000001321-ENSBTAG00000013205",5.74479967857462,18.7896579810813
"vitro","ENSBTAG00000017280-ENSBTAG00000005397",5.73434062693823,14.5606133400168
"vitro","ENSBTAG00000020645-ENSBTAG00000005990",5.65384805132576,15.3307548607213
"vitro","ENSBTAG00000017280-ENSBTAG00000047793",5.57453035363137,15.8375889648792
"vitro","ENSBTAG00000020645-ENSBTAG00000014944",5.52502258607944,15.3680410568646
"vitro","ENSBTAG00000000016-ENSBTAG00000015312",5.44831652252652,17.5812237663829
"vitro","ENSBTAG00000021316-ENSBTAG00000015910",5.34295370305965,16.1211566639747
"vitro","ENSBTAG00000007244-ENSBTAG00000015910",5.30106171092204,18.8017698814237
"vitro","ENSBTAG00000014737-ENSBTAG00000000802",5.11155705982161,12.6230099410805
"vitro","ENSBTAG00000020645-ENSBTAG00000011461",4.9972641491233,14.0331713685987
"vitro","ENSBTAG00000020645-ENSBTAG00000039292",4.97183040467576,10.9617374376181
"vitro","ENSBTAG00000010123-ENSBTAG00000018517",4.93515135705971,14.8601725841804
"vitro","ENSBTAG00000010738-ENSBTAG00000019428",4.89998577343398,13.450902409314
"vitro","ENSBTAG00000020645-ENSBTAG00000012848",4.86071966580652,11.3964951892081
"vitro","ENSBTAG00000015991-ENSBTAG00000021190",4.85609400808866,12.7467870274029
"vitro","ENSBTAG00000014906-ENSBTAG00000008008",4.82249002584589,16.9876538109839
"vitro","ENSBTAG00000021316-ENSBTAG00000019929",4.73456441920173,13.1068906685246
"vitro","ENSBTAG00000010303-ENSBTAG00000007103",4.7202582255844,9.5364657393249
"vitro","ENSBTAG00000004630-ENSBTAG00000015910",4.62442425979094,15.6539110089288
"vitro","ENSBTAG00000013155-ENSBTAG00000015910",4.60456642999254,14.6344491058034
