"dataset","seed","accuracy","kappa","auc"
"vivo",893,0.75,0.5,0.8671875
"vitro",893,0.65625,0.3125,0.8515625
"vivo",42,0.625,0.25,0.640625
"vitro",42,0.6875,0.375,0.66015625
"vivo",833,0.5,0,0.8125
"vitro",833,0.78125,0.5625,0.8203125
"vivo",964,0.375,-0.25,0.703125
"vitro",964,0.8125,0.625,0.95703125
"vivo",845,0.71875,0.4375,0.818359375
"vitro",845,0.6875,0.375,0.82421875
"vivo",447,0.75,0.5,0.70703125
"vitro",447,0.78125,0.5625,0.96484375
"vivo",915,0.625,0.25,0.7421875
"vitro",915,0.71875,0.4375,0.81640625
"vivo",53,0.8125,0.625,0.83984375
"vitro",53,0.6875,0.375,0.6875
"vivo",755,0.5625,0.125,0.517578125
"vitro",755,0.59375,0.1875,0.62890625
"vivo",124,0.6875,0.375,0.90625
"vitro",124,0.5625,0.125,0.509765625
"vivo",80,0.5,0,0.6796875
"vitro",80,0.71875,0.4375,0.90625
"vivo",332,0.375,-0.25,0.5
"vitro",332,0.53125,0.0625,0.4140625
"vivo",484,0.625,0.25,0.689453125
"vitro",484,0.625,0.25,0.7265625
"vivo",490,0.46875,-0.0625,0.578125
"vitro",490,0.53125,0.0625,0.67578125
"vivo",545,0.5,0,0.50390625
"vitro",545,0.71875,0.4375,0.8203125
"vivo",785,0.5625,0.125,0.642578125
"vitro",785,0.375,-0.25,0.58984375
"vivo",948,0.3125,-0.375,0.859375
"vitro",948,0.78125,0.5625,0.8515625
"vivo",530,0.46875,-0.0625,0.80078125
"vitro",530,0.625,0.25,0.732421875
"vivo",443,0.59375,0.1875,0.84375
"vitro",443,0.46875,-0.0625,0.658203125
"vivo",301,0.5,0,0.63671875
"vitro",301,0.4375,-0.125,0.55078125
"vivo",106,0.71875,0.4375,0.87890625
"vitro",106,0.46875,-0.0625,0.443359375
"vivo",653,0.625,0.25,0.529296875
"vitro",653,0.5625,0.125,0.7109375
"vivo",97,0.375,-0.25,0.71484375
"vitro",97,0.625,0.25,0.701171875
"vivo",910,0.5,0,0.5390625
"vitro",910,0.75,0.5,0.91015625
"vivo",537,0.59375,0.1875,0.55078125
"vitro",537,0.78125,0.5625,0.796875
"vivo",539,0.34375,-0.3125,0.666015625
"vitro",539,0.625,0.25,0.671875
"vivo",393,0.625,0.25,0.66015625
"vitro",393,0.71875,0.4375,0.84765625
"vivo",101,0.8125,0.625,0.853515625
"vitro",101,0.5,0,0.6484375
"vivo",102,0.84375,0.6875,0.75
"vitro",102,0.65625,0.3125,0.79296875
"vivo",868,0.5,0,0.509765625
"vitro",868,0.71875,0.4375,0.98828125
"vivo",494,0.5,0,0.43359375
"vitro",494,0.71875,0.4375,0.8515625
"vivo",872,0.5625,0.125,0.63671875
"vitro",872,0.5,0,0.595703125
"vivo",802,0.875,0.75,0.919921875
"vitro",802,0.25,-0.5,0.7890625
"vivo",437,0.5625,0.125,0.599609375
"vitro",437,0.625,0.25,0.65625
"vivo",192,0.75,0.5,0.80078125
"vitro",192,0.625,0.25,0.62109375
"vivo",905,0.71875,0.4375,0.69921875
"vitro",905,0.65625,0.3125,0.71875
"vivo",246,0.625,0.25,0.69921875
"vitro",246,0.65625,0.3125,0.75390625
"vivo",6,0.71875,0.4375,0.830078125
"vitro",6,0.53125,0.0625,0.76171875
"vivo",874,0.65625,0.3125,0.76953125
"vitro",874,0.90625,0.8125,0.921875
"vivo",766,0.5,0,0.580078125
"vitro",766,0.75,0.5,0.90625
"vivo",730,0.5625,0.125,0.625
"vitro",730,0.71875,0.4375,0.66015625
"vivo",991,0.625,0.25,0.75390625
"vitro",991,0.75,0.5,0.73046875
"vivo",303,0.375,-0.25,0.626953125
"vitro",303,0.6875,0.375,1
"vivo",697,0.375,-0.25,0.73828125
"vitro",697,0.5625,0.125,0.56640625
"vivo",895,0.71875,0.4375,0.7890625
"vitro",895,0.625,0.25,0.771484375
"vivo",370,0.84375,0.6875,0.939453125
"vitro",370,0.625,0.25,0.80078125
"vivo",129,0.75,0.5,0.76953125
"vitro",129,0.78125,0.5625,0.8359375
"vivo",259,0.5,0,0.47265625
"vitro",259,0.4375,-0.125,0.517578125
"vivo",903,0.8125,0.625,0.765625
"vitro",903,0.6875,0.375,0.80859375
"vivo",19,0.75,0.5,0.64453125
"vitro",19,0.59375,0.1875,0.48046875
"vivo",567,0.625,0.25,0.69921875
"vitro",567,0.6875,0.375,0.703125
"vivo",70,0.71875,0.4375,0.779296875
"vitro",70,0.75,0.5,0.84375
"vivo",608,0.75,0.5,0.828125
"vitro",608,0.59375,0.1875,0.66015625
"vivo",319,0.71875,0.4375,0.7109375
"vitro",319,0.46875,-0.0625,0.49609375
"vivo",857,0.625,0.25,0.5859375
"vitro",857,0.5625,0.125,0.57421875
"vivo",306,0.5625,0.125,0.734375
"vitro",306,0.5,0,0.53515625
"vivo",503,0.75,0.5,0.74609375
"vitro",503,0.5625,0.125,0.65234375
"vivo",901,0.875,0.75,0.984375
"vitro",901,0.71875,0.4375,0.6640625
"vivo",25,0.625,0.25,0.7578125
"vitro",25,0.5625,0.125,0.5859375
"vivo",526,0.6875,0.375,0.7890625
"vitro",526,0.4375,-0.125,0.59375
"vivo",485,0.4375,-0.125,0.486328125
"vitro",485,0.5625,0.125,0.71875
"vivo",331,1,1,1
"vitro",331,0.6875,0.375,0.806640625
"vivo",48,0.6875,0.375,0.7265625
"vitro",48,0.65625,0.3125,0.861328125
"vivo",969,0.625,0.25,0.93359375
"vitro",969,0.65625,0.3125,0.6953125
"vivo",249,0.625,0.25,0.51171875
"vitro",249,0.6875,0.375,0.8828125
"vivo",562,0.625,0.25,0.7890625
"vitro",562,0.6875,0.375,0.703125
"vivo",62,0.6875,0.375,0.65625
"vitro",62,0.625,0.25,0.6875
"vivo",451,0.375,-0.25,0.59375
"vitro",451,0.75,0.5,0.8359375
"vivo",859,0.5625,0.125,0.6953125
"vitro",859,0.84375,0.6875,0.8359375
"vivo",519,0.75,0.5,0.970703125
"vitro",519,0.9375,0.875,0.9921875
"vivo",976,0.8125,0.625,0.75390625
"vitro",976,0.84375,0.6875,0.9296875
"vivo",90,0.625,0.25,0.5625
"vitro",90,0.75,0.5,0.765625
"vivo",993,0.8125,0.625,0.916015625
"vitro",993,0.8125,0.625,0.88671875
"vivo",11,0.625,0.25,0.72265625
"vitro",11,0.75,0.5,0.904296875
"vivo",320,0.5625,0.125,0.67578125
"vitro",320,0.5,0,0.541015625
"vivo",405,0.625,0.25,0.55859375
"vitro",405,0.6875,0.375,0.79296875
"vivo",406,0.875,0.75,0.8125
"vitro",406,0.46875,-0.0625,0.55078125
"vivo",847,0.625,0.25,0.625
"vitro",847,0.875,0.75,0.888671875
"vivo",67,0.5625,0.125,0.72265625
"vitro",67,0.71875,0.4375,0.923828125
"vivo",718,0.40625,-0.1875,0.66796875
"vitro",718,0.78125,0.5625,0.953125
"vivo",601,0.5,0,0.607421875
"vitro",601,0.4375,-0.125,0.66796875
"vivo",762,0.625,0.25,0.654296875
"vitro",762,0.46875,-0.0625,0.66015625
"vivo",875,0.6875,0.375,0.69140625
"vitro",875,0.6875,0.375,0.912109375
"vivo",817,0.65625,0.3125,0.87109375
"vitro",817,0.625,0.25,0.77734375
"vivo",672,0.84375,0.6875,0.90234375
"vitro",672,0.40625,-0.1875,0.7734375
"vivo",576,0.625,0.25,0.673828125
"vitro",576,0.6875,0.375,0.7734375
"vivo",45,0.71875,0.4375,0.6171875
"vitro",45,0.53125,0.0625,0.7265625
"vivo",171,0.5,0,0.654296875
"vitro",171,0.625,0.25,0.5546875
"vivo",435,0.875,0.75,0.99609375
"vitro",435,0.59375,0.1875,0.71875
"vivo",145,0.625,0.25,0.69921875
"vitro",145,0.25,-0.5,0.63671875
"vivo",524,0.5625,0.125,1
"vitro",524,0.625,0.25,0.705078125
"vivo",125,0.65625,0.3125,0.541015625
"vitro",125,0.5625,0.125,0.5625
"vivo",94,0.71875,0.4375,0.79296875
"vitro",94,0.625,0.25,0.875
"vivo",60,0.5,0,0.46875
"vitro",60,0.75,0.5,0.8828125
"vivo",272,0.625,0.25,0.78515625
"vitro",272,0.75,0.5,0.79296875
"vivo",607,0.5,0,0.76953125
"vitro",607,0.5,0,0.75390625
"vivo",396,0.71875,0.4375,0.67578125
"vitro",396,0.46875,-0.0625,0.52734375
"vivo",941,0.96875,0.9375,1
"vitro",941,0.78125,0.5625,0.78125
"vivo",759,0.625,0.25,0.6328125
"vitro",759,0.40625,-0.1875,0.666015625
"vivo",385,0.375,-0.25,0.84375
"vitro",385,0.78125,0.5625,0.880859375
