"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000015043.ENSBTAG00000022799",20.8142010216047,37.8266104144481
"vitro","ENSBTAG00000000283.ENSBTAG00000012771",17.873153776618,37.1948763803436
"vitro","ENSBTAG00000031998.ENSBTAG00000015708",17.587118239324,28.7928083032944
"vitro","ENSBTAG00000022120.ENSBTAG00000019929",17.577533902857,30.9634674029844
"vitro","ENSBTAG00000000470.ENSBTAG00000019929",17.350822971115,35.6411669309053
"vitro","ENSBTAG00000004630.ENSBTAG00000019929",16.7938652591431,34.0302785465139
"vitro","ENSBTAG00000001292.ENSBTAG00000034385",15.5100219845311,23.7339829301241
"vitro","ENSBTAG00000000016.ENSBTAG00000016455",15.4720161372913,31.0761266959423
"vitro","ENSBTAG00000021316.ENSBTAG00000019929",15.0519577377143,30.6700110099232
"vitro","ENSBTAG00000012817.ENSBTAG00000022799",14.3995166351836,31.5342928070552
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",14.3631579669831,30.5748619071563
"vitro","ENSBTAG00000020645.ENSBTAG00000021527",13.6367910842515,19.1588828703323
"vitro","ENSBTAG00000014737.ENSBTAG00000015910",13.4320106635963,24.740332048573
"vitro","ENSBTAG00000020645.ENSBTAG00000014944",13.3964070756637,22.2492607901553
"vitro","ENSBTAG00000015043.ENSBTAG00000007909",12.8605546205556,31.5394285995113
"vitro","ENSBTAG00000025644.ENSBTAG00000010986",12.1911805871716,17.9183924487158
"vitro","ENSBTAG00000017280.ENSBTAG00000037735",11.9651097986773,29.8280927060729
"vitro","ENSBTAG00000009357.ENSBTAG00000012771",11.9336346748229,25.3970721482545
"vitro","ENSBTAG00000013066.ENSBTAG00000002402",11.7090270660589,31.2172310372237
"vitro","ENSBTAG00000007737.ENSBTAG00000019832",10.8462347300252,31.3581142131185
"vitro","ENSBTAG00000026236.ENSBTAG00000019929",10.7174058886888,24.4867324708293
"vitro","ENSBTAG00000008300.ENSBTAG00000015910",10.6537731479138,20.6029018722646
"vitro","ENSBTAG00000020406.ENSBTAG00000021527",10.5385020330017,31.455735835805
"vitro","ENSBTAG00000010123.ENSBTAG00000018517",10.4962061522836,31.4620770549641
"vitro","ENSBTAG00000020645.ENSBTAG00000011628",10.4748996843937,18.383804807004
"vitro","ENSBTAG00000013760.ENSBTAG00000019929",10.3533414620419,29.8792571838724
