"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.46875,-0.0625,0.572265625
"vitro",64,0.5625,0.125,0.5390625
"vivo",28,0.34375,-0.3125,0.6875
"vitro",28,0.53125,0.0625,0.630859375
"vivo",21,0.375,-0.25,0.5625
"vitro",21,0.8125,0.625,0.75390625
"vivo",94,0.71875,0.4375,0.79296875
"vitro",94,0.625,0.25,0.875
"vivo",41,0.5,0,0.72265625
"vitro",41,0.6875,0.375,0.76953125
"vivo",12,0.5,0,0.6484375
"vitro",12,0.78125,0.5625,0.921875
"vivo",53,0.8125,0.625,0.83984375
"vitro",53,0.6875,0.375,0.6875
"vivo",22,0.75,0.5,0.89453125
"vitro",22,0.625,0.25,0.724609375
"vivo",17,0.3125,-0.375,0.7734375
"vitro",17,0.46875,-0.0625,0.4609375
"vivo",62,0.6875,0.375,0.65625
"vitro",62,0.625,0.25,0.6875
