"feature","shap_importance","dataset","seed"
"ENSBTAG00000009761.ENSBTAG00000002144",0.000283763724788161,"vivo",64
"ENSBTAG00000009761.ENSBTAG00000012314",0.000240871249772397,"vivo",64
"ENSBTAG00000005481.ENSBTAG00000003166",0,"vivo",64
"ENSBTAG00000012444.ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000012444.ENSBTAG00000015127",0,"vivo",64
"ENSBTAG00000010663.ENSBTAG00000013745",0.00435514987244898,"vivo",64
"ENSBTAG00000010663.ENSBTAG00000019929",0.00321259258002847,"vivo",64
"ENSBTAG00000010663.ENSBTAG00000015910",0.00531614306478405,"vivo",64
"ENSBTAG00000001141.ENSBTAG00000013745",0.00106624179770447,"vivo",64
"ENSBTAG00000001141.ENSBTAG00000015910",0.000533080495090532,"vivo",64
"ENSBTAG00000001141.ENSBTAG00000022799",0,"vivo",64
"ENSBTAG00000019694.ENSBTAG00000013745",0,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000017266",0,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000015910",0.000114795918367347,"vivo",64
"ENSBTAG00000017455.ENSBTAG00000013755",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000002144",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000017981",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000008483",0.000357269967952669,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000016948",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000019903",3.50868355816903e-05,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000020704",0,"vivo",64
"ENSBTAG00000021048.ENSBTAG00000017489",0,"vivo",64
"ENSBTAG00000013191.ENSBTAG00000015910",0.001259361946533,"vivo",64
"ENSBTAG00000014556.ENSBTAG00000026676",0,"vivo",64
"ENSBTAG00000013201.ENSBTAG00000020319",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000013745",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000020148",0,"vivo",64
"ENSBTAG00000014051.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000011034.ENSBTAG00000020148",0.000100340136054422,"vivo",64
"ENSBTAG00000011034.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000021811.ENSBTAG00000020148",0,"vivo",64
"ENSBTAG00000021811.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000011810.ENSBTAG00000003777",0,"vivo",64
"ENSBTAG00000002473.ENSBTAG00000003777",0.000252795267042987,"vivo",64
"ENSBTAG00000015978.ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000015978.ENSBTAG00000013290",0.00162246877524434,"vivo",64
"ENSBTAG00000015978.ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000019993.ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000019993.ENSBTAG00000027516",0.000179246262458472,"vivo",64
"ENSBTAG00000009212.ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000019770.ENSBTAG00000012314",1.6156462585034e-05,"vivo",64
"ENSBTAG00000012398.ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000012398.ENSBTAG00000014357",0,"vivo",64
"ENSBTAG00000012398.ENSBTAG00000008008",0,"vivo",64
"ENSBTAG00000020556.ENSBTAG00000018517",0.000180049068807851,"vivo",64
"ENSBTAG00000023600.ENSBTAG00000005910",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000005903",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000000736",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000014269",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000014611",0,"vivo",64
"ENSBTAG00000010123.ENSBTAG00000018517",0,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000039292",0.000415836013726745,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000015228",0,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000015996",0,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000004334",0,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000020979",0,"vivo",64
"ENSBTAG00000017753.ENSBTAG00000020054",0.000468078177754827,"vivo",64
"ENSBTAG00000018134.ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000018134.ENSBTAG00000010444",0,"vivo",64
"ENSBTAG00000007725.ENSBTAG00000012687",0.000178571428571429,"vivo",64
"ENSBTAG00000045582.ENSBTAG00000002144",0,"vivo",64
"ENSBTAG00000045582.ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000003848",0,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000017846",0,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000023731",4.31047418967587e-05,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000018999",0,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000002144",0.00115200901750714,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000017981",3.63839285714286e-05,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000007175",0.000457550617764836,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000047138",0,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000012314",0.00160474586060839,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000016948",0.00148035471764463,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000019903",0.000846292998331408,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000020704",0.00158790157609908,"vivo",64
"ENSBTAG00000008027.ENSBTAG00000017489",0.000107355025343471,"vivo",64
"ENSBTAG00000026236.ENSBTAG00000019929",0.000221376158221909,"vivo",64
"ENSBTAG00000015789.ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000015789.ENSBTAG00000006732",0,"vivo",64
"ENSBTAG00000005250.ENSBTAG00000008008",0.000197351813946366,"vivo",64
"ENSBTAG00000005250.ENSBTAG00000006240",0.000106831395348837,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000011909",0.000648484736005362,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000018105",0.000232891526175688,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000000231",0.00126392402261394,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000002081",0.000239875637755102,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000006420",0.000335841836734694,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000008997",0.00093309102096123,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000000231",0,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000002081",0,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000006420",6.77821976248126e-05,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000011909",0,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000018114",0,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000018105",0,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000000231",9.8639455782313e-05,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000002081",0,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000006420",0,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000008997",0,"vivo",64
"ENSBTAG00000004237.ENSBTAG00000011628",0.000149218849674032,"vivo",64
"ENSBTAG00000004237.ENSBTAG00000010444",0,"vivo",64
"ENSBTAG00000007153.ENSBTAG00000012219",4.8469387755102e-05,"vivo",64
"ENSBTAG00000006276.ENSBTAG00000047138",0,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000039292",0.000163895330859617,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000005397",0,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000047793",0.00023391760550374,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000017060",0.000113369360902256,"vivo",64
"ENSBTAG00000037533.ENSBTAG00000037735",0,"vivo",64
"ENSBTAG00000009876.ENSBTAG00000006420",0,"vivo",64
"ENSBTAG00000009876.ENSBTAG00000020736",0,"vivo",64
"ENSBTAG00000012210.ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000012210.ENSBTAG00000037735",0,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000020661",0,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000014600",0.000291827401692384,"vivo",64
