"feature","importance","dataset","seed"
"ENSBTAG00000012817.ENSBTAG00000007909",11.0371786227508,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000010986",62.6235719886646,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000010986",51.2804900343637,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000015910",100,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000019929",94.5475107359064,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000002804",9.20994227949813,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000003418",15.9343431082459,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000005990",8.98549913492486,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000019929",6.98138058472017,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000013745",67.9489435096461,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000018993",17.2033032721544,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000015910",20.6355401604192,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000014966",6.96385975400006,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000026676",6.31503308799942,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000010347",14.8013468086239,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000017060",18.7384011499041,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000018052",9.39665513500285,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000007173",6.02919910495718,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000011154",8.27227793445166,"vivo",64
"ENSBTAG00000020638.ENSBTAG00000000782",0,"vivo",64
"ENSBTAG00000020406.ENSBTAG00000021527",0,"vitro",64
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",64
"ENSBTAG00000000016.ENSBTAG00000016455",0,"vitro",64
"ENSBTAG00000004630.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000000470.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000022120.ENSBTAG00000019929",0.620033893833148,"vitro",64
"ENSBTAG00000009761.ENSBTAG00000012314",0,"vitro",64
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",64
"ENSBTAG00000015043.ENSBTAG00000022799",1.87836781912464,"vitro",64
"ENSBTAG00000010123.ENSBTAG00000018517",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000001462",0.21006058268979,"vitro",64
"ENSBTAG00000021316.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000031998.ENSBTAG00000015708",100,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",64
"ENSBTAG00000020556.ENSBTAG00000018517",0,"vitro",64
"ENSBTAG00000007737.ENSBTAG00000019832",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000015910",0,"vitro",64
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",64
"ENSBTAG00000020645.ENSBTAG00000021527",0,"vitro",64
"ENSBTAG00000026236.ENSBTAG00000019929",1.01140280554343,"vitro",64
"ENSBTAG00000012817.ENSBTAG00000007909",0,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000010986",0,"vivo",28
"ENSBTAG00000014583.ENSBTAG00000010986",0,"vivo",28
"ENSBTAG00000002278.ENSBTAG00000015910",0,"vivo",28
"ENSBTAG00000002278.ENSBTAG00000019929",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000002804",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000003418",100,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000005990",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000019929",0,"vivo",28
"ENSBTAG00000002278.ENSBTAG00000013745",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000018993",91.8961209881361,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000015910",90.7124083234818,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000014966",0,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000026676",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000010347",81.6777041942605,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000017060",89.7280215470903,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000018052",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000007173",0,"vivo",28
"ENSBTAG00000002317.ENSBTAG00000011154",0,"vivo",28
"ENSBTAG00000020638.ENSBTAG00000000782",0,"vivo",28
"ENSBTAG00000020406.ENSBTAG00000021527",100,"vitro",28
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",28
"ENSBTAG00000000016.ENSBTAG00000016455",0,"vitro",28
"ENSBTAG00000004630.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000000470.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000022120.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000009761.ENSBTAG00000012314",24.0131020259614,"vitro",28
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",28
"ENSBTAG00000015043.ENSBTAG00000022799",0,"vitro",28
"ENSBTAG00000010123.ENSBTAG00000018517",0,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",28
"ENSBTAG00000021316.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000031998.ENSBTAG00000015708",0,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",28
"ENSBTAG00000020556.ENSBTAG00000018517",0,"vitro",28
"ENSBTAG00000007737.ENSBTAG00000019832",0,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000015910",0,"vitro",28
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",28
"ENSBTAG00000020645.ENSBTAG00000021527",0,"vitro",28
"ENSBTAG00000026236.ENSBTAG00000019929",0,"vitro",28
"ENSBTAG00000012817.ENSBTAG00000007909",7.13791620018294,"vivo",21
"ENSBTAG00000025644.ENSBTAG00000010986",1.10076295257948,"vivo",21
"ENSBTAG00000014583.ENSBTAG00000010986",2.30432491982587,"vivo",21
"ENSBTAG00000002278.ENSBTAG00000015910",69.3891874732996,"vivo",21
"ENSBTAG00000002278.ENSBTAG00000019929",100,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000002804",0.113115891648052,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000003418",5.93881002557661,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000005990",0.0399053068151297,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000019929",0,"vivo",21
"ENSBTAG00000002278.ENSBTAG00000013745",78.5050851263912,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000018993",7.23628239353976,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000015910",5.87773683786683,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000014966",22.3898464601716,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000026676",18.6623013977802,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000010347",6.31485018010932,"vivo",21
"ENSBTAG00000007773.ENSBTAG00000017060",7.57963878076017,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000018052",22.1442854728242,"vivo",21
"ENSBTAG00000021697.ENSBTAG00000007173",0.132519909857175,"vivo",21
"ENSBTAG00000002317.ENSBTAG00000011154",20.5441496647742,"vivo",21
"ENSBTAG00000020638.ENSBTAG00000000782",10.2678278982481,"vivo",21
"ENSBTAG00000020406.ENSBTAG00000021527",0,"vitro",21
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",21
"ENSBTAG00000000016.ENSBTAG00000016455",1.9937261496669,"vitro",21
"ENSBTAG00000004630.ENSBTAG00000019929",70.3754608369446,"vitro",21
"ENSBTAG00000000470.ENSBTAG00000019929",76.6832675764828,"vitro",21
"ENSBTAG00000022120.ENSBTAG00000019929",80.4217062285751,"vitro",21
"ENSBTAG00000009761.ENSBTAG00000012314",0,"vitro",21
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",21
"ENSBTAG00000015043.ENSBTAG00000022799",0,"vitro",21
"ENSBTAG00000010123.ENSBTAG00000018517",0,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",21
"ENSBTAG00000021316.ENSBTAG00000019929",100,"vitro",21
"ENSBTAG00000031998.ENSBTAG00000015708",0.996054588965785,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",21
"ENSBTAG00000020556.ENSBTAG00000018517",0,"vitro",21
"ENSBTAG00000007737.ENSBTAG00000019832",0,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000015910",0,"vitro",21
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",21
"ENSBTAG00000020645.ENSBTAG00000021527",84.6597891468857,"vitro",21
"ENSBTAG00000026236.ENSBTAG00000019929",80.5251924196365,"vitro",21
"ENSBTAG00000012817.ENSBTAG00000007909",7.26440542825593,"vivo",94
"ENSBTAG00000025644.ENSBTAG00000010986",81.0777293427421,"vivo",94
"ENSBTAG00000014583.ENSBTAG00000010986",100,"vivo",94
"ENSBTAG00000002278.ENSBTAG00000015910",4.39739620869655,"vivo",94
"ENSBTAG00000002278.ENSBTAG00000019929",5.63810057740403,"vivo",94
"ENSBTAG00000021697.ENSBTAG00000002804",0.424229109751234,"vivo",94
"ENSBTAG00000007773.ENSBTAG00000003418",1.44121905353244,"vivo",94
"ENSBTAG00000021697.ENSBTAG00000005990",0.216279494421002,"vivo",94
"ENSBTAG00000021697.ENSBTAG00000019929",0,"vivo",94
"ENSBTAG00000002278.ENSBTAG00000013745",3.24668363064054,"vivo",94
"ENSBTAG00000007773.ENSBTAG00000018993",2.98680666186301,"vivo",94
"ENSBTAG00000007773.ENSBTAG00000015910",1.83873397402875,"vivo",94
"ENSBTAG00000002317.ENSBTAG00000014966",9.20526880398918,"vivo",94
"ENSBTAG00000002317.ENSBTAG00000026676",10.423926269569,"vivo",94
"ENSBTAG00000007773.ENSBTAG00000010347",1.44236281927202,"vivo",94
"ENSBTAG00000007773.ENSBTAG00000017060",1.44206803384862,"vivo",94
"ENSBTAG00000002317.ENSBTAG00000018052",13.4891969059594,"vivo",94
"ENSBTAG00000021697.ENSBTAG00000007173",0.0903707899784823,"vivo",94
"ENSBTAG00000002317.ENSBTAG00000011154",10.7224989038197,"vivo",94
"ENSBTAG00000020638.ENSBTAG00000000782",4.43796038651697,"vivo",94
"ENSBTAG00000020406.ENSBTAG00000021527",2.05043209071879,"vitro",94
"ENSBTAG00000000283.ENSBTAG00000012771",0.745819231296952,"vitro",94
"ENSBTAG00000000016.ENSBTAG00000016455",21.0619354472181,"vitro",94
"ENSBTAG00000004630.ENSBTAG00000019929",0.317341308026478,"vitro",94
"ENSBTAG00000000470.ENSBTAG00000019929",5.93812300697976,"vitro",94
"ENSBTAG00000022120.ENSBTAG00000019929",0,"vitro",94
"ENSBTAG00000009761.ENSBTAG00000012314",13.8020770313831,"vitro",94
"ENSBTAG00000009357.ENSBTAG00000012771",31.5267329533569,"vitro",94
"ENSBTAG00000015043.ENSBTAG00000022799",52.1188137006185,"vitro",94
"ENSBTAG00000010123.ENSBTAG00000018517",15.9202201032124,"vitro",94
"ENSBTAG00000008300.ENSBTAG00000001462",97.1915912101816,"vitro",94
"ENSBTAG00000021316.ENSBTAG00000019929",39.6038920120014,"vitro",94
"ENSBTAG00000031998.ENSBTAG00000015708",64.793827490925,"vitro",94
"ENSBTAG00000008300.ENSBTAG00000011741",8.05919404663893,"vitro",94
"ENSBTAG00000020556.ENSBTAG00000018517",0.763320395845741,"vitro",94
"ENSBTAG00000007737.ENSBTAG00000019832",17.6754479187466,"vitro",94
"ENSBTAG00000008300.ENSBTAG00000015910",50.7957153371001,"vitro",94
"ENSBTAG00000017280.ENSBTAG00000037735",1.42435169706627,"vitro",94
"ENSBTAG00000020645.ENSBTAG00000021527",100,"vitro",94
"ENSBTAG00000026236.ENSBTAG00000019929",2.85934921334391,"vitro",94
"ENSBTAG00000012817.ENSBTAG00000007909",32.9258188752674,"vivo",41
"ENSBTAG00000025644.ENSBTAG00000010986",11.6592253938042,"vivo",41
"ENSBTAG00000014583.ENSBTAG00000010986",12.5702486172434,"vivo",41
"ENSBTAG00000002278.ENSBTAG00000015910",37.1979718010718,"vivo",41
"ENSBTAG00000002278.ENSBTAG00000019929",33.819057127853,"vivo",41
"ENSBTAG00000021697.ENSBTAG00000002804",77.1770831497316,"vivo",41
"ENSBTAG00000007773.ENSBTAG00000003418",19.3279133328067,"vivo",41
"ENSBTAG00000021697.ENSBTAG00000005990",92.1703529651422,"vivo",41
"ENSBTAG00000021697.ENSBTAG00000019929",100,"vivo",41
"ENSBTAG00000002278.ENSBTAG00000013745",26.2502084917701,"vivo",41
"ENSBTAG00000007773.ENSBTAG00000018993",14.4672058930271,"vivo",41
"ENSBTAG00000007773.ENSBTAG00000015910",23.3641964169963,"vivo",41
"ENSBTAG00000002317.ENSBTAG00000014966",2.98703529311729,"vivo",41
"ENSBTAG00000002317.ENSBTAG00000026676",0,"vivo",41
"ENSBTAG00000007773.ENSBTAG00000010347",23.3790439923049,"vivo",41
"ENSBTAG00000007773.ENSBTAG00000017060",11.888854628548,"vivo",41
"ENSBTAG00000002317.ENSBTAG00000018052",7.12882949380732,"vivo",41
"ENSBTAG00000021697.ENSBTAG00000007173",79.0227082187693,"vivo",41
"ENSBTAG00000002317.ENSBTAG00000011154",5.90336605875666,"vivo",41
"ENSBTAG00000020638.ENSBTAG00000000782",13.4063529004463,"vivo",41
"ENSBTAG00000020406.ENSBTAG00000021527",1.95001690992639,"vitro",41
"ENSBTAG00000000283.ENSBTAG00000012771",0.204019612782498,"vitro",41
"ENSBTAG00000000016.ENSBTAG00000016455",0,"vitro",41
"ENSBTAG00000004630.ENSBTAG00000019929",12.0211831210151,"vitro",41
"ENSBTAG00000000470.ENSBTAG00000019929",13.3991245125811,"vitro",41
"ENSBTAG00000022120.ENSBTAG00000019929",1.51889088536839,"vitro",41
"ENSBTAG00000009761.ENSBTAG00000012314",4.70533644352862,"vitro",41
"ENSBTAG00000009357.ENSBTAG00000012771",1.11732502310051,"vitro",41
"ENSBTAG00000015043.ENSBTAG00000022799",68.1812824578532,"vitro",41
"ENSBTAG00000010123.ENSBTAG00000018517",2.9398005120255,"vitro",41
"ENSBTAG00000008300.ENSBTAG00000001462",12.1439143310101,"vitro",41
"ENSBTAG00000021316.ENSBTAG00000019929",11.8786448085,"vitro",41
"ENSBTAG00000031998.ENSBTAG00000015708",28.5871266373505,"vitro",41
"ENSBTAG00000008300.ENSBTAG00000011741",1.1059741896007,"vitro",41
"ENSBTAG00000020556.ENSBTAG00000018517",0.491785234216136,"vitro",41
"ENSBTAG00000007737.ENSBTAG00000019832",5.73233672733005,"vitro",41
"ENSBTAG00000008300.ENSBTAG00000015910",8.79078373667966,"vitro",41
"ENSBTAG00000017280.ENSBTAG00000037735",2.66531119749372,"vitro",41
"ENSBTAG00000020645.ENSBTAG00000021527",100,"vitro",41
"ENSBTAG00000026236.ENSBTAG00000019929",0.946945884640797,"vitro",41
"ENSBTAG00000012817.ENSBTAG00000007909",100,"vivo",12
"ENSBTAG00000025644.ENSBTAG00000010986",0.24533697665695,"vivo",12
"ENSBTAG00000014583.ENSBTAG00000010986",0.253133885723541,"vivo",12
"ENSBTAG00000002278.ENSBTAG00000015910",0,"vivo",12
"ENSBTAG00000002278.ENSBTAG00000019929",0,"vivo",12
"ENSBTAG00000021697.ENSBTAG00000002804",0,"vivo",12
"ENSBTAG00000007773.ENSBTAG00000003418",0.0122429706334243,"vivo",12
"ENSBTAG00000021697.ENSBTAG00000005990",0.0117219245971924,"vivo",12
"ENSBTAG00000021697.ENSBTAG00000019929",0,"vivo",12
"ENSBTAG00000002278.ENSBTAG00000013745",0.057889392930077,"vivo",12
"ENSBTAG00000007773.ENSBTAG00000018993",0,"vivo",12
"ENSBTAG00000007773.ENSBTAG00000015910",0.0598346485317029,"vivo",12
"ENSBTAG00000002317.ENSBTAG00000014966",0,"vivo",12
"ENSBTAG00000002317.ENSBTAG00000026676",0.00697717681259667,"vivo",12
"ENSBTAG00000007773.ENSBTAG00000010347",0.277754096597918,"vivo",12
"ENSBTAG00000007773.ENSBTAG00000017060",0,"vivo",12
"ENSBTAG00000002317.ENSBTAG00000018052",0,"vivo",12
"ENSBTAG00000021697.ENSBTAG00000007173",0,"vivo",12
"ENSBTAG00000002317.ENSBTAG00000011154",0.00697717681259667,"vivo",12
"ENSBTAG00000020638.ENSBTAG00000000782",0,"vivo",12
"ENSBTAG00000020406.ENSBTAG00000021527",0,"vitro",12
"ENSBTAG00000000283.ENSBTAG00000012771",85.7126193207224,"vitro",12
"ENSBTAG00000000016.ENSBTAG00000016455",70.1226743394833,"vitro",12
"ENSBTAG00000004630.ENSBTAG00000019929",0,"vitro",12
"ENSBTAG00000000470.ENSBTAG00000019929",0,"vitro",12
"ENSBTAG00000022120.ENSBTAG00000019929",1.1839726267084,"vitro",12
"ENSBTAG00000009761.ENSBTAG00000012314",0,"vitro",12
"ENSBTAG00000009357.ENSBTAG00000012771",78.6807162159535,"vitro",12
"ENSBTAG00000015043.ENSBTAG00000022799",0,"vitro",12
"ENSBTAG00000010123.ENSBTAG00000018517",100,"vitro",12
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",12
"ENSBTAG00000021316.ENSBTAG00000019929",1.20730213659428,"vitro",12
"ENSBTAG00000031998.ENSBTAG00000015708",0,"vitro",12
"ENSBTAG00000008300.ENSBTAG00000011741",95.4799074596108,"vitro",12
"ENSBTAG00000020556.ENSBTAG00000018517",90.2715943775881,"vitro",12
"ENSBTAG00000007737.ENSBTAG00000019832",0,"vitro",12
"ENSBTAG00000008300.ENSBTAG00000015910",38.0348776172794,"vitro",12
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",12
"ENSBTAG00000020645.ENSBTAG00000021527",34.716254836013,"vitro",12
"ENSBTAG00000026236.ENSBTAG00000019929",0,"vitro",12
"ENSBTAG00000012817.ENSBTAG00000007909",9.70104854246753,"vivo",53
"ENSBTAG00000025644.ENSBTAG00000010986",100,"vivo",53
"ENSBTAG00000014583.ENSBTAG00000010986",87.7071982063269,"vivo",53
"ENSBTAG00000002278.ENSBTAG00000015910",85.6794904002645,"vivo",53
"ENSBTAG00000002278.ENSBTAG00000019929",86.4503300364313,"vivo",53
"ENSBTAG00000021697.ENSBTAG00000002804",6.82554073454242,"vivo",53
"ENSBTAG00000007773.ENSBTAG00000003418",10.9917973297512,"vivo",53
"ENSBTAG00000021697.ENSBTAG00000005990",3.92076929184067,"vivo",53
"ENSBTAG00000021697.ENSBTAG00000019929",4.29202965117505,"vivo",53
"ENSBTAG00000002278.ENSBTAG00000013745",63.4812908852523,"vivo",53
"ENSBTAG00000007773.ENSBTAG00000018993",15.5630648388996,"vivo",53
"ENSBTAG00000007773.ENSBTAG00000015910",15.9736726422085,"vivo",53
"ENSBTAG00000002317.ENSBTAG00000014966",4.76059775318365,"vivo",53
"ENSBTAG00000002317.ENSBTAG00000026676",3.61424524358495,"vivo",53
"ENSBTAG00000007773.ENSBTAG00000010347",11.2660852535177,"vivo",53
"ENSBTAG00000007773.ENSBTAG00000017060",9.90271294213901,"vivo",53
"ENSBTAG00000002317.ENSBTAG00000018052",6.8841482176368,"vivo",53
"ENSBTAG00000021697.ENSBTAG00000007173",4.93067926422457,"vivo",53
"ENSBTAG00000002317.ENSBTAG00000011154",8.1749793211492,"vivo",53
"ENSBTAG00000020638.ENSBTAG00000000782",0,"vivo",53
"ENSBTAG00000020406.ENSBTAG00000021527",0,"vitro",53
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",53
"ENSBTAG00000000016.ENSBTAG00000016455",0,"vitro",53
"ENSBTAG00000004630.ENSBTAG00000019929",0,"vitro",53
"ENSBTAG00000000470.ENSBTAG00000019929",0,"vitro",53
"ENSBTAG00000022120.ENSBTAG00000019929",0,"vitro",53
"ENSBTAG00000009761.ENSBTAG00000012314",0,"vitro",53
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",53
"ENSBTAG00000015043.ENSBTAG00000022799",0,"vitro",53
"ENSBTAG00000010123.ENSBTAG00000018517",0,"vitro",53
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",53
"ENSBTAG00000021316.ENSBTAG00000019929",0,"vitro",53
"ENSBTAG00000031998.ENSBTAG00000015708",0,"vitro",53
"ENSBTAG00000008300.ENSBTAG00000011741",0.405480709345396,"vitro",53
"ENSBTAG00000020556.ENSBTAG00000018517",0,"vitro",53
"ENSBTAG00000007737.ENSBTAG00000019832",100,"vitro",53
"ENSBTAG00000008300.ENSBTAG00000015910",0,"vitro",53
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",53
"ENSBTAG00000020645.ENSBTAG00000021527",0,"vitro",53
"ENSBTAG00000026236.ENSBTAG00000019929",0,"vitro",53
"ENSBTAG00000012817.ENSBTAG00000007909",23.2195361296098,"vivo",22
"ENSBTAG00000025644.ENSBTAG00000010986",12.4811287315599,"vivo",22
"ENSBTAG00000014583.ENSBTAG00000010986",14.6574885260315,"vivo",22
"ENSBTAG00000002278.ENSBTAG00000015910",4.80729210601942,"vivo",22
"ENSBTAG00000002278.ENSBTAG00000019929",1.09153459708381,"vivo",22
"ENSBTAG00000021697.ENSBTAG00000002804",28.9953979313758,"vivo",22
"ENSBTAG00000007773.ENSBTAG00000003418",0.80266105598223,"vivo",22
"ENSBTAG00000021697.ENSBTAG00000005990",23.2600537516425,"vivo",22
"ENSBTAG00000021697.ENSBTAG00000019929",35.0379905600364,"vivo",22
"ENSBTAG00000002278.ENSBTAG00000013745",0,"vivo",22
"ENSBTAG00000007773.ENSBTAG00000018993",2.33125537036946,"vivo",22
"ENSBTAG00000007773.ENSBTAG00000015910",0.446935144170858,"vivo",22
"ENSBTAG00000002317.ENSBTAG00000014966",90.88102649521,"vivo",22
"ENSBTAG00000002317.ENSBTAG00000026676",93.4419731794691,"vivo",22
"ENSBTAG00000007773.ENSBTAG00000010347",1.13959266189656,"vivo",22
"ENSBTAG00000007773.ENSBTAG00000017060",0.896290467381059,"vivo",22
