"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000020645.ENSBTAG00000021527",37.0056617506616,43.301898205937
"vitro","ENSBTAG00000031998.ENSBTAG00000015708",28.0303286713807,35.6882014605359
"vitro","ENSBTAG00000021316.ENSBTAG00000019929",27.1538339417802,38.3618789107922
"vitro","ENSBTAG00000015043.ENSBTAG00000022799",22.8641183552864,36.7917169837094
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",22.5507301482299,40.5012302641176
"vitro","ENSBTAG00000000470.ENSBTAG00000019929",21.8662309494749,36.0595649928082
"vitro","ENSBTAG00000008300.ENSBTAG00000015910",17.9298066571839,25.3137212338413
"vitro","ENSBTAG00000004630.ENSBTAG00000019929",17.6235202803463,32.7510413608833
"vitro","ENSBTAG00000000283.ENSBTAG00000012771",17.20277303858,34.9169166499413
"vitro","ENSBTAG00000007737.ENSBTAG00000019832",15.9660645240739,31.7390582423303
"vitro","ENSBTAG00000000016.ENSBTAG00000016455",15.2858593280533,26.6945170107779
"vitro","ENSBTAG00000009357.ENSBTAG00000012771",14.6124510588318,26.2310767296509
"vitro","ENSBTAG00000022120.ENSBTAG00000019929",13.6872167692642,28.3238560639081
"vitro","ENSBTAG00000010123.ENSBTAG00000018517",12.0147234509485,31.3053367100511
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",11.5098690915856,29.7190901760152
"vitro","ENSBTAG00000020406.ENSBTAG00000021527",11.2260233740863,31.240049742755
"vitro","ENSBTAG00000017280.ENSBTAG00000037735",9.81744692054531,29.4474910655255
"vitro","ENSBTAG00000026236.ENSBTAG00000019929",9.58779314394592,25.0112515773123
"vitro","ENSBTAG00000020556.ENSBTAG00000018517",9.18383907665527,28.4925982815134
"vitro","ENSBTAG00000009761.ENSBTAG00000012314",6.7004345400382,9.16777030434318
"vivo","ENSBTAG00000002278.ENSBTAG00000019929",38.3393607147954,42.2320306539747
"vivo","ENSBTAG00000002278.ENSBTAG00000015910",36.7061057319927,38.0825104073026
"vivo","ENSBTAG00000025644.ENSBTAG00000010986",33.7421739056139,39.0079583418904
"vivo","ENSBTAG00000014583.ENSBTAG00000010986",33.3440331089274,39.0588922776336
"vivo","ENSBTAG00000002278.ENSBTAG00000013745",30.1281936754883,31.9349800471026
"vivo","ENSBTAG00000002317.ENSBTAG00000018052",27.8229145243055,37.4142085224258
"vivo","ENSBTAG00000021697.ENSBTAG00000019929",24.7357248236399,40.0878859914495
"vivo","ENSBTAG00000002317.ENSBTAG00000014966",24.6571955631251,35.6540821328419
"vivo","ENSBTAG00000002317.ENSBTAG00000026676",24.1077275605971,37.4787748243022
"vivo","ENSBTAG00000002317.ENSBTAG00000011154",23.4715660773681,31.2145651219487
"vivo","ENSBTAG00000021697.ENSBTAG00000002804",23.4322909148178,35.857677499838
"vivo","ENSBTAG00000012817.ENSBTAG00000007909",23.0525377208023,29.3047578202058
"vivo","ENSBTAG00000021697.ENSBTAG00000005990",22.8364563361812,39.2563947046636
"vivo","ENSBTAG00000021697.ENSBTAG00000007173",19.8975899138863,31.0732920285687
"vivo","ENSBTAG00000007773.ENSBTAG00000015910",19.6318772531381,26.9084748978656
"vivo","ENSBTAG00000007773.ENSBTAG00000003418",18.3826268250975,30.0237178523981
"vivo","ENSBTAG00000007773.ENSBTAG00000010347",17.9337153093238,24.4940801253381
"vivo","ENSBTAG00000007773.ENSBTAG00000018993",17.3231820036131,27.0269288317903
"vivo","ENSBTAG00000007773.ENSBTAG00000017060",16.0752726903136,26.9593237201013
"vivo","ENSBTAG00000020638.ENSBTAG00000000782",14.8047527069561,30.3906810155793
