"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.375,-0.25,0.45703125
"vitro",64,0.5625,0.125,0.4375
"vivo",28,0.34375,-0.3125,0.6875
"vitro",28,0.53125,0.0625,0.59765625
"vivo",21,0.625,0.25,0.56640625
"vitro",21,0.875,0.75,0.84765625
"vivo",94,0.625,0.25,0.79296875
"vitro",94,0.96875,0.9375,1
"vivo",41,0.71875,0.4375,0.8125
"vitro",41,0.875,0.75,0.86328125
"vivo",12,0.5,0,0.671875
"vitro",12,0.75,0.5,0.888671875
"vivo",53,0.65625,0.3125,0.7890625
"vitro",53,0.46875,-0.0625,0.52734375
"vivo",22,0.9375,0.875,1
"vitro",22,0.71875,0.4375,0.7109375
"vivo",17,0.625,0.25,0.8125
"vitro",17,0.59375,0.1875,0.625
"vivo",62,0.8125,0.625,0.91015625
"vitro",62,0.6875,0.375,0.796875
