"feature","shap_importance","dataset","seed"
"ENSBTAG00000012817.ENSBTAG00000007909",0.00538570400329123,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000010986",0.0569276738116103,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000010986",0.053311633376227,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000015910",0.091607940459429,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000019929",0.091661200727478,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000002804",0.0114690907621957,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000003418",0.0275700864629822,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000005990",0.0129322972502549,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000019929",0.0114834270690913,"vivo",64
"ENSBTAG00000002278.ENSBTAG00000013745",0.0680297784836104,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000018993",0.0290719486599062,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000015910",0.0327258521428035,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000014966",0.00963087990449189,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000026676",0.00775532717385757,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000010347",0.0248894888408355,"vivo",64
"ENSBTAG00000007773.ENSBTAG00000017060",0.029011010248001,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000018052",0.0101777612894743,"vivo",64
"ENSBTAG00000021697.ENSBTAG00000007173",0.00960437679037127,"vivo",64
"ENSBTAG00000002317.ENSBTAG00000011154",0.00815942114591476,"vivo",64
"ENSBTAG00000020638.ENSBTAG00000000782",0.00144798363805594,"vivo",64
"ENSBTAG00000020406.ENSBTAG00000021527",0,"vitro",64
"ENSBTAG00000000283.ENSBTAG00000012771",0,"vitro",64
"ENSBTAG00000000016.ENSBTAG00000016455",0,"vitro",64
"ENSBTAG00000004630.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000000470.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000022120.ENSBTAG00000019929",0.003525,"vitro",64
"ENSBTAG00000009761.ENSBTAG00000012314",0,"vitro",64
"ENSBTAG00000009357.ENSBTAG00000012771",0,"vitro",64
"ENSBTAG00000015043.ENSBTAG00000022799",0.00873,"vitro",64
"ENSBTAG00000010123.ENSBTAG00000018517",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000001462",0.00098,"vitro",64
"ENSBTAG00000021316.ENSBTAG00000019929",0,"vitro",64
"ENSBTAG00000031998.ENSBTAG00000015708",0.483717500000001,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",64
"ENSBTAG00000020556.ENSBTAG00000018517",0,"vitro",64
"ENSBTAG00000007737.ENSBTAG00000019832",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000015910",0,"vitro",64
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vitro",64
"ENSBTAG00000020645.ENSBTAG00000021527",0,"vitro",64
"ENSBTAG00000026236.ENSBTAG00000019929",0.005715,"vitro",64
"ENSBTAG00000012817.ENSBTAG00000007909",0,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000010986",0,"vivo",28
"ENSBTAG00000014583.ENSBTAG00000010986",0,"vivo",28
"ENSBTAG00000002278.ENSBTAG00000015910",0,"vivo",28
"ENSBTAG00000002278.ENSBTAG00000019929",0,"vivo",28
"ENSBTAG00000021697.ENSBTAG00000002804",0,"vivo",28
"ENSBTAG00000007773.ENSBTAG00000003418",0.10775,"vivo",28
