"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000031998.ENSBTAG00000015708",0.0684999456109382,0.14822085389607
"vitro","ENSBTAG00000007737.ENSBTAG00000019832",0.0572329816051906,0.156534501321896
"vitro","ENSBTAG00000020645.ENSBTAG00000021527",0.050107743733305,0.0628803406287564
"vitro","ENSBTAG00000020406.ENSBTAG00000021527",0.0407860833485699,0.123574673787524
"vitro","ENSBTAG00000015043.ENSBTAG00000022799",0.0300159806601623,0.0501324591805863
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",0.0276115865984591,0.0435327584143125
"vitro","ENSBTAG00000021316.ENSBTAG00000019929",0.0265773068791704,0.0373167674355168
"vitro","ENSBTAG00000000470.ENSBTAG00000019929",0.0242335516489741,0.0343951041794745
"vitro","ENSBTAG00000008300.ENSBTAG00000015910",0.0218176109918273,0.0299031644267394
"vitro","ENSBTAG00000017280.ENSBTAG00000037735",0.0181072604121269,0.0513592811997072
"vitro","ENSBTAG00000004630.ENSBTAG00000019929",0.0175994959137704,0.0312480915140909
"vitro","ENSBTAG00000009761.ENSBTAG00000012314",0.016532742355657,0.0304255855129801
"vitro","ENSBTAG00000000283.ENSBTAG00000012771",0.0158910821926356,0.0310629945658778
"vitro","ENSBTAG00000022120.ENSBTAG00000019929",0.0147109366594108,0.026859763768177
"vitro","ENSBTAG00000000016.ENSBTAG00000016455",0.0137321977341636,0.0227309206766847
"vitro","ENSBTAG00000009357.ENSBTAG00000012771",0.0129879011092575,0.022039562178695
"vitro","ENSBTAG00000026236.ENSBTAG00000019929",0.0107885451289633,0.0247938447585469
"vitro","ENSBTAG00000010123.ENSBTAG00000018517",0.0105640685229388,0.0263055442869665
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",0.0102019986542241,0.024331772256141
"vitro","ENSBTAG00000020556.ENSBTAG00000018517",0.0082238659753221,0.0237486263889898
"vivo","ENSBTAG00000012817.ENSBTAG00000007909",0.0646308618601574,0.149827710335122
"vivo","ENSBTAG00000002278.ENSBTAG00000019929",0.0366843455418659,0.0404629346419165
"vivo","ENSBTAG00000014583.ENSBTAG00000010986",0.0363986150093064,0.0493437314388613
"vivo","ENSBTAG00000025644.ENSBTAG00000010986",0.0360537400262452,0.0451481608523361
"vivo","ENSBTAG00000002278.ENSBTAG00000015910",0.034290840616104,0.0344095650686169
"vivo","ENSBTAG00000002278.ENSBTAG00000013745",0.0290038846393056,0.0294344415831254
"vivo","ENSBTAG00000021697.ENSBTAG00000019929",0.0232529836649462,0.0316624252365547
"vivo","ENSBTAG00000021697.ENSBTAG00000005990",0.0223943027664603,0.0311896229557032
"vivo","ENSBTAG00000002317.ENSBTAG00000018052",0.0223275374891339,0.0225146364240678
"vivo","ENSBTAG00000007773.ENSBTAG00000015910",0.0222119450558274,0.029554067934428
"vivo","ENSBTAG00000021697.ENSBTAG00000002804",0.0218557882878758,0.0293449215459885
"vivo","ENSBTAG00000007773.ENSBTAG00000018993",0.0218332124438266,0.0294608567580697
"vivo","ENSBTAG00000002317.ENSBTAG00000014966",0.0206441805390888,0.0208212654547511
"vivo","ENSBTAG00000007773.ENSBTAG00000003418",0.0205036355645036,0.0317622071144125
"vivo","ENSBTAG00000007773.ENSBTAG00000017060",0.020089410510839,0.0287219055854928
"vivo","ENSBTAG00000021697.ENSBTAG00000007173",0.0198251022060151,0.0256979622075077
"vivo","ENSBTAG00000002317.ENSBTAG00000026676",0.0197569629537151,0.0225397362899465
"vivo","ENSBTAG00000007773.ENSBTAG00000010347",0.0195395936951265,0.0254057654010236
"vivo","ENSBTAG00000002317.ENSBTAG00000011154",0.0191341106222677,0.0192376711904771
"vivo","ENSBTAG00000020638.ENSBTAG00000000782",0.0186609050526085,0.0182514923040037
