"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000008300.ENSBTAG00000008165",0.01895327064315,0.049465887843434
"vitro","ENSBTAG00000004148.ENSBTAG00000003255",0.0140296670849605,0.0431170927432272
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",0.0138589327314203,0.0365667504549051
"vitro","ENSBTAG00000021466.ENSBTAG00000010682",0.0136063833359923,0.0373175499242678
"vitro","ENSBTAG00000000575.ENSBTAG00000015296",0.00802718885860138,0.0164249531820924
"vitro","ENSBTAG00000021945.ENSBTAG00000011741",0.00730940243945471,0.0164780818363606
"vitro","ENSBTAG00000005947.ENSBTAG00000015910",0.00714654447017051,0.0127183381598497
"vitro","ENSBTAG00000015991.ENSBTAG00000024015",0.00714526217175113,0.0217981768330109
"vitro","ENSBTAG00000021217.ENSBTAG00000010682",0.00698842066803796,0.0199473210449378
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",0.00638537463828406,0.0142283069630501
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",0.00637614652565351,0.0131969814415669
"vitro","ENSBTAG00000000476.ENSBTAG00000003781",0.00627766223609691,0.014880863837274
"vitro","ENSBTAG00000000575.ENSBTAG00000012897",0.00571020846434827,0.00640517696238926
"vitro","ENSBTAG00000005339.ENSBTAG00000000782",0.00570210546704668,0.0131154758304301
"vitro","ENSBTAG00000000575.ENSBTAG00000020679",0.00567651878483333,0.0082454493210188
"vitro","ENSBTAG00000007773.ENSBTAG00000010347",0.00512818775715838,0.0136422230580038
"vitro","ENSBTAG00000008300.ENSBTAG00000018993",0.00486868640873016,0.0151555513367008
"vitro","ENSBTAG00000009208.ENSBTAG00000044190",0.00455262965183119,0.0137791671809286
"vitro","ENSBTAG00000008300.ENSBTAG00000017489",0.00452239141246685,0.0106222158327335
"vitro","ENSBTAG00000005947.ENSBTAG00000015739",0.00447480249384237,0.0129020491271116
"vitro","ENSBTAG00000012817.ENSBTAG00000022799",0.0043949496873451,0.0124488881283216
"vitro","ENSBTAG00000020457.ENSBTAG00000008997",0.00431082959658092,0.0120001733629339
"vitro","ENSBTAG00000007773.ENSBTAG00000003418",0.0042759853795318,0.0122558811629664
"vitro","ENSBTAG00000017753.ENSBTAG00000039292",0.00421696069167248,0.0128903461356586
"vitro","ENSBTAG00000012066.ENSBTAG00000013569",0.00408110387358793,0.00969276882314347
"vitro","ENSBTAG00000017753.ENSBTAG00000014420",0.0039752026936396,0.0119329375084829
"vitro","ENSBTAG00000005339.ENSBTAG00000011971",0.0039220359707991,0.0116291312323246
"vitro","ENSBTAG00000014113.ENSBTAG00000003220",0.00391787700303728,0.0105835828245136
"vitro","ENSBTAG00000007773.ENSBTAG00000015910",0.00383208604984312,0.0105282936461243
"vitro","ENSBTAG00000017753.ENSBTAG00000015228",0.00370845206137435,0.00726822071612242
"vitro","ENSBTAG00000014113.ENSBTAG00000014162",0.00356894881415559,0.00954111456562619
"vitro","ENSBTAG00000040584.ENSBTAG00000021923",0.00343397555583766,0.0101100704760037
"vitro","ENSBTAG00000025644.ENSBTAG00000020667",0.0033971660075342,0.00779953474312219
"vitro","ENSBTAG00000005339.ENSBTAG00000019866",0.00329556259527047,0.0101358427008788
"vitro","ENSBTAG00000005339.ENSBTAG00000003166",0.00320326005718619,0.0101181482323026
"vitro","ENSBTAG00000020457.ENSBTAG00000001060",0.00315934525490508,0.00956061377219101
"vitro","ENSBTAG00000021316.ENSBTAG00000015910",0.00314657565455224,0.00796978789804582
"vitro","ENSBTAG00000014113.ENSBTAG00000001338",0.00304338283166762,0.00614980788092119
"vitro","ENSBTAG00000005710.ENSBTAG00000015457",0.0028764464371615,0.00447244543048755
"vitro","ENSBTAG00000014737.ENSBTAG00000001462",0.00272136293455906,0.00612003037773813
"vitro","ENSBTAG00000005339.ENSBTAG00000015910",0.00260690163819605,0.00630087940439204
"vitro","ENSBTAG00000021457.ENSBTAG00000023147",0.00260611102484472,0.00819265980627919
"vitro","ENSBTAG00000008300.ENSBTAG00000014357",0.00260231148161452,0.00787271513196064
"vitro","ENSBTAG00000020457.ENSBTAG00000019832",0.0025981370314325,0.00537622541383796
"vitro","ENSBTAG00000021697.ENSBTAG00000007173",0.00255035919027901,0.00424442853032695
"vitro","ENSBTAG00000021302.ENSBTAG00000015910",0.0025245232726607,0.00639375827041401
"vitro","ENSBTAG00000020645.ENSBTAG00000020199",0.00250682919712956,0.00527118904185556
"vitro","ENSBTAG00000020457.ENSBTAG00000015910",0.0024967507013244,0.0050617457305313
"vitro","ENSBTAG00000005198.ENSBTAG00000015457",0.00245684745469315,0.00540099747933966
"vitro","ENSBTAG00000000575.ENSBTAG00000026676",0.00244983630725892,0.00346156549922188
"vitro","ENSBTAG00000019336.ENSBTAG00000002107",0.0024275962886272,0.00600153566317842
"vitro","ENSBTAG00000020457.ENSBTAG00000013843",0.00240716243226295,0.00605829265272746
"vitro","ENSBTAG00000007446.ENSBTAG00000008733",0.00237160607478011,0.00744624810541055
"vitro","ENSBTAG00000000575.ENSBTAG00000015910",0.0023293572800012,0.00294936412185718
"vitro","ENSBTAG00000005947.ENSBTAG00000013125",0.00221081099859862,0.00365183452911165
"vitro","ENSBTAG00000025257.ENSBTAG00000014162",0.00207499308743917,0.00590745047569383
"vitro","ENSBTAG00000011741.ENSBTAG00000015910",0.00197466589320695,0.00569159624079512
"vitro","ENSBTAG00000014583.ENSBTAG00000020667",0.00196824290562213,0.0031433111326923
"vitro","ENSBTAG00000001941.ENSBTAG00000011409",0.00185457849954909,0.0032234588147167
"vitro","ENSBTAG00000013155.ENSBTAG00000008165",0.00176103085945163,0.00306739389750539
"vitro","ENSBTAG00000019866.ENSBTAG00000000782",0.00171451896804375,0.00462423106998423
"vitro","ENSBTAG00000005947.ENSBTAG00000017060",0.00170962066534103,0.00300440524028897
"vitro","ENSBTAG00000012829.ENSBTAG00000017745",0.00167264810561276,0.00334425332516856
"vitro","ENSBTAG00000025257.ENSBTAG00000001338",0.00164117083847883,0.00337562995934509
"vitro","ENSBTAG00000016800.ENSBTAG00000000782",0.00159272653951111,0.00282629940534584
"vitro","ENSBTAG00000012829.ENSBTAG00000016933",0.00155272709130599,0.00491015419317515
"vitro","ENSBTAG00000012164.ENSBTAG00000010498",0.00151256447441527,0.00424851521994595
"vitro","ENSBTAG00000003300.ENSBTAG00000002804",0.00149430205236451,0.00260087979109361
"vitro","ENSBTAG00000020457.ENSBTAG00000012599",0.0014867539032537,0.0046803801392011
"vitro","ENSBTAG00000005339.ENSBTAG00000000570",0.00148046108064108,0.00376159083059156
"vitro","ENSBTAG00000017753.ENSBTAG00000020979",0.00147653034215323,0.00261020594727422
"vitro","ENSBTAG00000011238.ENSBTAG00000002951",0.00147293444895007,0.00301711254157089
"vitro","ENSBTAG00000001725.ENSBTAG00000001338",0.00146451152860778,0.00293766205696247
"vitro","ENSBTAG00000003835.ENSBTAG00000006420",0.00145968353174603,0.00428130154271685
"vitro","ENSBTAG00000017745.ENSBTAG00000010423",0.00143660487875257,0.00260655539438261
"vitro","ENSBTAG00000000575.ENSBTAG00000012119",0.00142489593567496,0.00399132343400868
"vitro","ENSBTAG00000022635.ENSBTAG00000009757",0.00142024835059633,0.00441662641981215
"vitro","ENSBTAG00000007737.ENSBTAG00000022799",0.00141091419103935,0.00419161673980952
"vitro","ENSBTAG00000011238.ENSBTAG00000017256",0.00132202997253685,0.0031348934924416
"vitro","ENSBTAG00000010312.ENSBTAG00000020199",0.00130802385628057,0.00227896159631743
"vitro","ENSBTAG00000003837.ENSBTAG00000011761",0.00128598572324237,0.00360767284686903
"vitro","ENSBTAG00000020342.ENSBTAG00000035084",0.00127092307371868,0.0038761398453697
