"feature","importance","dataset","seed"
"ENSBTAG00000014583.ENSBTAG00000011515",58.5209944889345,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011515",54.6371821451215,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000015361",100,"vivo",64
"ENSBTAG00000014906.ENSBTAG00000011515",68.5810179467202,"vivo",64
"ENSBTAG00000010452.ENSBTAG00000011515",89.9956022916598,"vivo",64
"ENSBTAG00000010562.ENSBTAG00000011515",50.7204061266693,"vivo",64
"ENSBTAG00000014737.ENSBTAG00000037649",53.2219201355323,"vivo",64
"ENSBTAG00000015089.ENSBTAG00000023144",58.6663405839499,"vivo",64
"ENSBTAG00000001941.ENSBTAG00000023144",69.412524014507,"vivo",64
"ENSBTAG00000001492.ENSBTAG00000007213",0,"vivo",64
"ENSBTAG00000008300.ENSBTAG00000008165",11.2036271753254,"vitro",64
"ENSBTAG00000004148.ENSBTAG00000003255",0,"vitro",64
"ENSBTAG00000013103.ENSBTAG00000010682",98.0607987496222,"vitro",64
"ENSBTAG00000021466.ENSBTAG00000010682",100,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000015296",16.570714895026,"vitro",64
"ENSBTAG00000021945.ENSBTAG00000011741",6.58480016804561,"vitro",64
"ENSBTAG00000005947.ENSBTAG00000015910",5.01128558435206,"vitro",64
"ENSBTAG00000015991.ENSBTAG00000024015",0.961025306565752,"vitro",64
"ENSBTAG00000021217.ENSBTAG00000010682",51.4272662125911,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000011741",0.755918071189525,"vitro",64
"ENSBTAG00000014583.ENSBTAG00000011515",47.4814756196014,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000011515",54.3817009293175,"vivo",28
"ENSBTAG00000017745.ENSBTAG00000015361",9.01004303294138,"vivo",28
"ENSBTAG00000014906.ENSBTAG00000011515",53.4007642990915,"vivo",28
"ENSBTAG00000010452.ENSBTAG00000011515",78.532749163063,"vivo",28
"ENSBTAG00000010562.ENSBTAG00000011515",45.2590470813188,"vivo",28
"ENSBTAG00000014737.ENSBTAG00000037649",4.41068407780444,"vivo",28
"ENSBTAG00000015089.ENSBTAG00000023144",90.1457901750062,"vivo",28
"ENSBTAG00000001941.ENSBTAG00000023144",100,"vivo",28
"ENSBTAG00000001492.ENSBTAG00000007213",0,"vivo",28
"ENSBTAG00000008300.ENSBTAG00000008165",30.0489274897725,"vitro",28
"ENSBTAG00000004148.ENSBTAG00000003255",33.6742423238507,"vitro",28
"ENSBTAG00000013103.ENSBTAG00000010682",0,"vitro",28
"ENSBTAG00000021466.ENSBTAG00000010682",2.28018020881497,"vitro",28
"ENSBTAG00000000575.ENSBTAG00000015296",63.7676780994793,"vitro",28
"ENSBTAG00000021945.ENSBTAG00000011741",2.6992077296098,"vitro",28
"ENSBTAG00000005947.ENSBTAG00000015910",100,"vitro",28
"ENSBTAG00000015991.ENSBTAG00000024015",50.9562234681536,"vitro",28
"ENSBTAG00000021217.ENSBTAG00000010682",5.30186327831937,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000011741",32.3181809650356,"vitro",28
"ENSBTAG00000014583.ENSBTAG00000011515",82.8272037095968,"vivo",21
"ENSBTAG00000025644.ENSBTAG00000011515",88.8689366731827,"vivo",21
"ENSBTAG00000017745.ENSBTAG00000015361",0,"vivo",21
"ENSBTAG00000014906.ENSBTAG00000011515",80.1317603915685,"vivo",21
"ENSBTAG00000010452.ENSBTAG00000011515",98.3323483505326,"vivo",21
"ENSBTAG00000010562.ENSBTAG00000011515",100,"vivo",21
"ENSBTAG00000014737.ENSBTAG00000037649",0,"vivo",21
"ENSBTAG00000015089.ENSBTAG00000023144",0,"vivo",21
"ENSBTAG00000001941.ENSBTAG00000023144",0,"vivo",21
"ENSBTAG00000001492.ENSBTAG00000007213",0,"vivo",21
"ENSBTAG00000008300.ENSBTAG00000008165",100,"vitro",21
"ENSBTAG00000004148.ENSBTAG00000003255",0,"vitro",21
"ENSBTAG00000013103.ENSBTAG00000010682",0,"vitro",21
"ENSBTAG00000021466.ENSBTAG00000010682",0.36723217871966,"vitro",21
"ENSBTAG00000000575.ENSBTAG00000015296",0.744665251292644,"vitro",21
"ENSBTAG00000021945.ENSBTAG00000011741",0.357668840732169,"vitro",21
"ENSBTAG00000005947.ENSBTAG00000015910",0,"vitro",21
"ENSBTAG00000015991.ENSBTAG00000024015",0,"vitro",21
"ENSBTAG00000021217.ENSBTAG00000010682",0.397834860279632,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000011741",93.5147817327493,"vitro",21
"ENSBTAG00000014583.ENSBTAG00000011515",8.06913547510274,"vivo",94
"ENSBTAG00000025644.ENSBTAG00000011515",5.94197846758078,"vivo",94
"ENSBTAG00000017745.ENSBTAG00000015361",100,"vivo",94
"ENSBTAG00000014906.ENSBTAG00000011515",4.95678060874159,"vivo",94
"ENSBTAG00000010452.ENSBTAG00000011515",7.18222380425017,"vivo",94
"ENSBTAG00000010562.ENSBTAG00000011515",8.3852593833748,"vivo",94
"ENSBTAG00000014737.ENSBTAG00000037649",7.82836836643928,"vivo",94
"ENSBTAG00000015089.ENSBTAG00000023144",4.93875076238484,"vivo",94
"ENSBTAG00000001941.ENSBTAG00000023144",4.74637236913515,"vivo",94
"ENSBTAG00000001492.ENSBTAG00000007213",0,"vivo",94
"ENSBTAG00000008300.ENSBTAG00000008165",100,"vitro",94
"ENSBTAG00000004148.ENSBTAG00000003255",97.1028043409573,"vitro",94
"ENSBTAG00000013103.ENSBTAG00000010682",0,"vitro",94
"ENSBTAG00000021466.ENSBTAG00000010682",0,"vitro",94
"ENSBTAG00000000575.ENSBTAG00000015296",0.400435901238707,"vitro",94
"ENSBTAG00000021945.ENSBTAG00000011741",0,"vitro",94
"ENSBTAG00000005947.ENSBTAG00000015910",0,"vitro",94
"ENSBTAG00000015991.ENSBTAG00000024015",0,"vitro",94
"ENSBTAG00000021217.ENSBTAG00000010682",0,"vitro",94
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",94
"ENSBTAG00000014583.ENSBTAG00000011515",21.6633852262476,"vivo",41
"ENSBTAG00000025644.ENSBTAG00000011515",18.699422769603,"vivo",41
"ENSBTAG00000017745.ENSBTAG00000015361",44.567358147834,"vivo",41
"ENSBTAG00000014906.ENSBTAG00000011515",14.1132442564841,"vivo",41
"ENSBTAG00000010452.ENSBTAG00000011515",13.8002324228706,"vivo",41
"ENSBTAG00000010562.ENSBTAG00000011515",16.6179212312578,"vivo",41
"ENSBTAG00000014737.ENSBTAG00000037649",100,"vivo",41
"ENSBTAG00000015089.ENSBTAG00000023144",32.957502182989,"vivo",41
"ENSBTAG00000001941.ENSBTAG00000023144",33.446541954174,"vivo",41
"ENSBTAG00000001492.ENSBTAG00000007213",0,"vivo",41
"ENSBTAG00000008300.ENSBTAG00000008165",3.34326122548761,"vitro",41
"ENSBTAG00000004148.ENSBTAG00000003255",9.36015824835379,"vitro",41
"ENSBTAG00000013103.ENSBTAG00000010682",9.58527535792727,"vitro",41
"ENSBTAG00000021466.ENSBTAG00000010682",9.09489456853713,"vitro",41
"ENSBTAG00000000575.ENSBTAG00000015296",100,"vitro",41
"ENSBTAG00000021945.ENSBTAG00000011741",0,"vitro",41
