"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000000575.ENSBTAG00000015296",38.9650001045059,39.3288857557572
"vitro","ENSBTAG00000008300.ENSBTAG00000008165",37.4174412641557,43.8773502112163
"vitro","ENSBTAG00000005947.ENSBTAG00000015910",36.2152418432556,44.5771779450429
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",23.0651765162972,31.5244084689873
"vitro","ENSBTAG00000021466.ENSBTAG00000010682",20.4476246892,31.1135234033154
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",19.8984607020494,30.6151585095646
"vitro","ENSBTAG00000004148.ENSBTAG00000003255",19.249365603369,30.2385424556111
"vitro","ENSBTAG00000015991.ENSBTAG00000024015",18.1548972603401,32.7238560719751
"vitro","ENSBTAG00000021945.ENSBTAG00000011741",16.1688251612236,27.1588865739367
"vitro","ENSBTAG00000021217.ENSBTAG00000010682",10.5662148746261,16.4450745879112
"vivo","ENSBTAG00000010452.ENSBTAG00000011515",53.1089256137681,38.363139805793
"vivo","ENSBTAG00000017745.ENSBTAG00000015361",50.831588790429,45.7648113570912
"vivo","ENSBTAG00000025644.ENSBTAG00000011515",44.4206324387019,31.167883651244
"vivo","ENSBTAG00000014583.ENSBTAG00000011515",43.0994321952387,29.9260068274708
"vivo","ENSBTAG00000014906.ENSBTAG00000011515",41.7704547820077,31.6501569378414
"vivo","ENSBTAG00000010562.ENSBTAG00000011515",41.1178314987382,31.911685273338
"vivo","ENSBTAG00000001941.ENSBTAG00000023144",37.4861932556032,38.349267915712
"vivo","ENSBTAG00000014737.ENSBTAG00000037649",35.5566237759211,43.394603021801
"vivo","ENSBTAG00000015089.ENSBTAG00000023144",33.9526426518631,34.1739424478788
"vivo","ENSBTAG00000001492.ENSBTAG00000007213",10,31.6227766016838
