"feature","importance","dataset","seed"
"ENSBTAG00000014583.ENSBTAG00000011515",12.4711716280117,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011515",9.69330354324943,"vivo",64
"ENSBTAG00000010452.ENSBTAG00000011515",30.0085557985485,"vivo",64
"ENSBTAG00000014906.ENSBTAG00000011515",7.63425702901153,"vivo",64
"ENSBTAG00000010562.ENSBTAG00000011515",1.40137015296943,"vivo",64
"ENSBTAG00000014737.ENSBTAG00000037649",8.22510472240588,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000015361",37.8447659082114,"vivo",64
"ENSBTAG00000003329.ENSBTAG00000002081",100,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000002081",83.5436023893257,"vivo",64
"ENSBTAG00000026236.ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000000575.ENSBTAG00000015296",0,"vitro",64
"ENSBTAG00000005947.ENSBTAG00000015910",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000008165",0,"vitro",64
"ENSBTAG00000021945.ENSBTAG00000011741",1.94047394842288,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",64
"ENSBTAG00000000476.ENSBTAG00000003781",0,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000012897",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",64
"ENSBTAG00000013103.ENSBTAG00000010682",100,"vitro",64
"ENSBTAG00000021466.ENSBTAG00000010682",96.8210776514291,"vitro",64
"ENSBTAG00000014583.ENSBTAG00000011515",46.3872473188708,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000011515",50.3324248141927,"vivo",28
"ENSBTAG00000010452.ENSBTAG00000011515",100,"vivo",28
"ENSBTAG00000014906.ENSBTAG00000011515",51.5565343022564,"vivo",28
"ENSBTAG00000010562.ENSBTAG00000011515",41.6915037002415,"vivo",28
"ENSBTAG00000014737.ENSBTAG00000037649",0,"vivo",28
"ENSBTAG00000017745.ENSBTAG00000015361",5.34009758900282,"vivo",28
"ENSBTAG00000003329.ENSBTAG00000002081",11.5158091717676,"vivo",28
"ENSBTAG00000003835.ENSBTAG00000002081",34.1754151592151,"vivo",28
"ENSBTAG00000026236.ENSBTAG00000019929",55.0627190995889,"vivo",28
"ENSBTAG00000000575.ENSBTAG00000015296",56.5033569415455,"vitro",28
"ENSBTAG00000005947.ENSBTAG00000015910",100,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000008165",34.7852648213156,"vitro",28
"ENSBTAG00000021945.ENSBTAG00000011741",4.2283736588471,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",28
"ENSBTAG00000000476.ENSBTAG00000003781",24.3627921611048,"vitro",28
"ENSBTAG00000000575.ENSBTAG00000012897",31.0868945985181,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000011741",37.6029311319824,"vitro",28
"ENSBTAG00000013103.ENSBTAG00000010682",0.84200816795705,"vitro",28
"ENSBTAG00000021466.ENSBTAG00000010682",5.61231841857351,"vitro",28
"ENSBTAG00000014583.ENSBTAG00000011515",78.993224312425,"vivo",21
"ENSBTAG00000025644.ENSBTAG00000011515",85.7206672765739,"vivo",21
"ENSBTAG00000010452.ENSBTAG00000011515",100,"vivo",21
"ENSBTAG00000014906.ENSBTAG00000011515",70.6486934644634,"vivo",21
"ENSBTAG00000010562.ENSBTAG00000011515",89.2832637657957,"vivo",21
"ENSBTAG00000014737.ENSBTAG00000037649",0,"vivo",21
"ENSBTAG00000017745.ENSBTAG00000015361",0,"vivo",21
"ENSBTAG00000003329.ENSBTAG00000002081",0,"vivo",21
"ENSBTAG00000003835.ENSBTAG00000002081",0,"vivo",21
"ENSBTAG00000026236.ENSBTAG00000019929",0,"vivo",21
"ENSBTAG00000000575.ENSBTAG00000015296",0,"vitro",21
"ENSBTAG00000005947.ENSBTAG00000015910",0,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000008165",83.6849278367328,"vitro",21
"ENSBTAG00000021945.ENSBTAG00000011741",0.653488182464151,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000001462",85.684997728517,"vitro",21
"ENSBTAG00000000476.ENSBTAG00000003781",100,"vitro",21
"ENSBTAG00000000575.ENSBTAG00000012897",0.726874555895955,"vitro",21
"ENSBTAG00000008300.ENSBTAG00000011741",84.829988234883,"vitro",21
"ENSBTAG00000013103.ENSBTAG00000010682",0.726874555895955,"vitro",21
"ENSBTAG00000021466.ENSBTAG00000010682",0.670961128519343,"vitro",21
"ENSBTAG00000014583.ENSBTAG00000011515",6.2595728566903,"vivo",94
"ENSBTAG00000025644.ENSBTAG00000011515",5.07836044019488,"vivo",94
"ENSBTAG00000010452.ENSBTAG00000011515",6.00174132250137,"vivo",94
"ENSBTAG00000014906.ENSBTAG00000011515",3.5962627067246,"vivo",94
"ENSBTAG00000010562.ENSBTAG00000011515",5.1155131792109,"vivo",94
"ENSBTAG00000014737.ENSBTAG00000037649",8.02749488872755,"vivo",94
"ENSBTAG00000017745.ENSBTAG00000015361",100,"vivo",94
"ENSBTAG00000003329.ENSBTAG00000002081",0,"vivo",94
"ENSBTAG00000003835.ENSBTAG00000002081",0.29284689913432,"vivo",94
"ENSBTAG00000026236.ENSBTAG00000019929",4.18914343268421,"vivo",94
"ENSBTAG00000000575.ENSBTAG00000015296",0.220790579601937,"vitro",94
"ENSBTAG00000005947.ENSBTAG00000015910",0,"vitro",94
"ENSBTAG00000008300.ENSBTAG00000008165",100,"vitro",94
"ENSBTAG00000021945.ENSBTAG00000011741",0,"vitro",94
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",94
"ENSBTAG00000000476.ENSBTAG00000003781",0.221857200759434,"vitro",94
"ENSBTAG00000000575.ENSBTAG00000012897",8.04161244675782,"vitro",94
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",94
"ENSBTAG00000013103.ENSBTAG00000010682",0,"vitro",94
"ENSBTAG00000021466.ENSBTAG00000010682",0.414204549494777,"vitro",94
"ENSBTAG00000014583.ENSBTAG00000011515",7.85543878383628,"vivo",41
"ENSBTAG00000025644.ENSBTAG00000011515",9.38826507329587,"vivo",41
"ENSBTAG00000010452.ENSBTAG00000011515",6.55126681978483,"vivo",41
"ENSBTAG00000014906.ENSBTAG00000011515",4.16134056071402,"vivo",41
"ENSBTAG00000010562.ENSBTAG00000011515",7.77749361134209,"vivo",41
"ENSBTAG00000014737.ENSBTAG00000037649",100,"vivo",41
"ENSBTAG00000017745.ENSBTAG00000015361",17.5738544945472,"vivo",41
"ENSBTAG00000003329.ENSBTAG00000002081",10.5592739097828,"vivo",41
"ENSBTAG00000003835.ENSBTAG00000002081",0,"vivo",41
"ENSBTAG00000026236.ENSBTAG00000019929",42.9086280035511,"vivo",41
"ENSBTAG00000000575.ENSBTAG00000015296",100,"vitro",41
"ENSBTAG00000005947.ENSBTAG00000015910",3.20929976051617,"vitro",41
"ENSBTAG00000008300.ENSBTAG00000008165",0,"vitro",41
"ENSBTAG00000021945.ENSBTAG00000011741",1.68808975101104,"vitro",41
"ENSBTAG00000008300.ENSBTAG00000001462",0.695433589485377,"vitro",41
"ENSBTAG00000000476.ENSBTAG00000003781",46.1284575815763,"vitro",41
"ENSBTAG00000000575.ENSBTAG00000012897",80.4045032686343,"vitro",41
"ENSBTAG00000008300.ENSBTAG00000011741",4.81246896548107,"vitro",41
"ENSBTAG00000013103.ENSBTAG00000010682",9.63806056520162,"vitro",41
"ENSBTAG00000021466.ENSBTAG00000010682",12.5721098676107,"vitro",41
"ENSBTAG00000014583.ENSBTAG00000011515",11.4993949527667,"vivo",12
"ENSBTAG00000025644.ENSBTAG00000011515",11.2030842355784,"vivo",12
"ENSBTAG00000010452.ENSBTAG00000011515",18.3497896852626,"vivo",12
"ENSBTAG00000014906.ENSBTAG00000011515",3.51508215161532,"vivo",12
"ENSBTAG00000010562.ENSBTAG00000011515",0,"vivo",12
"ENSBTAG00000014737.ENSBTAG00000037649",0.690115737997912,"vivo",12
"ENSBTAG00000017745.ENSBTAG00000015361",49.0958523893145,"vivo",12
"ENSBTAG00000003329.ENSBTAG00000002081",4.80680536178183,"vivo",12
"ENSBTAG00000003835.ENSBTAG00000002081",3.10395202310829,"vivo",12
"ENSBTAG00000026236.ENSBTAG00000019929",100,"vivo",12
"ENSBTAG00000000575.ENSBTAG00000015296",38.8772703457934,"vitro",12
"ENSBTAG00000005947.ENSBTAG00000015910",100,"vitro",12
"ENSBTAG00000008300.ENSBTAG00000008165",0,"vitro",12
"ENSBTAG00000021945.ENSBTAG00000011741",59.7331582451731,"vitro",12
"ENSBTAG00000008300.ENSBTAG00000001462",43.2984113961925,"vitro",12
"ENSBTAG00000000476.ENSBTAG00000003781",5.44923858348311,"vitro",12
"ENSBTAG00000000575.ENSBTAG00000012897",30.4802367000747,"vitro",12
"ENSBTAG00000008300.ENSBTAG00000011741",41.9414776261766,"vitro",12
"ENSBTAG00000013103.ENSBTAG00000010682",5.40626246830349,"vitro",12
"ENSBTAG00000021466.ENSBTAG00000010682",8.67765204519224,"vitro",12
"ENSBTAG00000014583.ENSBTAG00000011515",12.7113669456717,"vivo",53
"ENSBTAG00000025644.ENSBTAG00000011515",15.8588607287925,"vivo",53
"ENSBTAG00000010452.ENSBTAG00000011515",21.5893240306257,"vivo",53
"ENSBTAG00000014906.ENSBTAG00000011515",4.73635797066701,"vivo",53
"ENSBTAG00000010562.ENSBTAG00000011515",0,"vivo",53
"ENSBTAG00000014737.ENSBTAG00000037649",13.8026508751046,"vivo",53
"ENSBTAG00000017745.ENSBTAG00000015361",38.8314472077998,"vivo",53
"ENSBTAG00000003329.ENSBTAG00000002081",100,"vivo",53
"ENSBTAG00000003835.ENSBTAG00000002081",90.8685333298185,"vivo",53
"ENSBTAG00000026236.ENSBTAG00000019929",27.1365213249309,"vivo",53
"ENSBTAG00000000575.ENSBTAG00000015296",100,"vitro",53
"ENSBTAG00000005947.ENSBTAG00000015910",19.7854710096168,"vitro",53
"ENSBTAG00000008300.ENSBTAG00000008165",8.60944609068507,"vitro",53
"ENSBTAG00000021945.ENSBTAG00000011741",15.9615365251098,"vitro",53
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",53
"ENSBTAG00000000476.ENSBTAG00000003781",30.8723861535259,"vitro",53
"ENSBTAG00000000575.ENSBTAG00000012897",42.8807615747834,"vitro",53
"ENSBTAG00000008300.ENSBTAG00000011741",1.40576965239275,"vitro",53
"ENSBTAG00000013103.ENSBTAG00000010682",12.5017720733972,"vitro",53
"ENSBTAG00000021466.ENSBTAG00000010682",15.6649750313379,"vitro",53
"ENSBTAG00000014583.ENSBTAG00000011515",18.4225462769682,"vivo",22
"ENSBTAG00000025644.ENSBTAG00000011515",21.9820546791006,"vivo",22
"ENSBTAG00000010452.ENSBTAG00000011515",19.7708454697923,"vivo",22
"ENSBTAG00000014906.ENSBTAG00000011515",19.2876274760245,"vivo",22
"ENSBTAG00000010562.ENSBTAG00000011515",14.1687972667124,"vivo",22
"ENSBTAG00000014737.ENSBTAG00000037649",37.78738978272,"vivo",22
"ENSBTAG00000017745.ENSBTAG00000015361",100,"vivo",22
"ENSBTAG00000003329.ENSBTAG00000002081",2.67461660590377,"vivo",22
"ENSBTAG00000003835.ENSBTAG00000002081",4.88862182315483,"vivo",22
"ENSBTAG00000026236.ENSBTAG00000019929",0,"vivo",22
"ENSBTAG00000000575.ENSBTAG00000015296",60.599826870296,"vitro",22
"ENSBTAG00000005947.ENSBTAG00000015910",95.8125904173782,"vitro",22
"ENSBTAG00000008300.ENSBTAG00000008165",100,"vitro",22
"ENSBTAG00000021945.ENSBTAG00000011741",0,"vitro",22
"ENSBTAG00000008300.ENSBTAG00000001462",53.6927159990349,"vitro",22
"ENSBTAG00000000476.ENSBTAG00000003781",31.3107514396763,"vitro",22
"ENSBTAG00000000575.ENSBTAG00000012897",66.1618373044934,"vitro",22
"ENSBTAG00000008300.ENSBTAG00000011741",17.6813254457463,"vitro",22
"ENSBTAG00000013103.ENSBTAG00000010682",39.7803680918216,"vitro",22
"ENSBTAG00000021466.ENSBTAG00000010682",42.6047468511795,"vitro",22
"ENSBTAG00000014583.ENSBTAG00000011515",28.6009248750667,"vivo",17
"ENSBTAG00000025644.ENSBTAG00000011515",27.106200318844,"vivo",17
"ENSBTAG00000010452.ENSBTAG00000011515",31.3653919406692,"vivo",17
"ENSBTAG00000014906.ENSBTAG00000011515",23.2307787235082,"vivo",17
"ENSBTAG00000010562.ENSBTAG00000011515",29.5651794509436,"vivo",17
"ENSBTAG00000014737.ENSBTAG00000037649",100,"vivo",17
"ENSBTAG00000017745.ENSBTAG00000015361",36.1100945424924,"vivo",17
"ENSBTAG00000003329.ENSBTAG00000002081",0,"vivo",17
"ENSBTAG00000003835.ENSBTAG00000002081",10.4267896456351,"vivo",17
"ENSBTAG00000026236.ENSBTAG00000019929",15.3748792704149,"vivo",17
"ENSBTAG00000000575.ENSBTAG00000015296",2.5152230678803,"vitro",17
"ENSBTAG00000005947.ENSBTAG00000015910",12.6795110017612,"vitro",17
"ENSBTAG00000008300.ENSBTAG00000008165",4.140561423585,"vitro",17
"ENSBTAG00000021945.ENSBTAG00000011741",0.719278781826665,"vitro",17
"ENSBTAG00000008300.ENSBTAG00000001462",2.89889322801302,"vitro",17
"ENSBTAG00000000476.ENSBTAG00000003781",87.8490130313582,"vitro",17
"ENSBTAG00000000575.ENSBTAG00000012897",0.105326423022829,"vitro",17
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",17
"ENSBTAG00000013103.ENSBTAG00000010682",100,"vitro",17
"ENSBTAG00000021466.ENSBTAG00000010682",88.1634582886339,"vitro",17
"ENSBTAG00000014583.ENSBTAG00000011515",86.2473484251752,"vivo",62
"ENSBTAG00000025644.ENSBTAG00000011515",85.384189836271,"vivo",62
"ENSBTAG00000010452.ENSBTAG00000011515",86.404885858634,"vivo",62
"ENSBTAG00000014906.ENSBTAG00000011515",77.3801891181934,"vivo",62
"ENSBTAG00000010562.ENSBTAG00000011515",100,"vivo",62
"ENSBTAG00000014737.ENSBTAG00000037649",0,"vivo",62
"ENSBTAG00000017745.ENSBTAG00000015361",0,"vivo",62
"ENSBTAG00000003329.ENSBTAG00000002081",0,"vivo",62
"ENSBTAG00000003835.ENSBTAG00000002081",0,"vivo",62
"ENSBTAG00000026236.ENSBTAG00000019929",0,"vivo",62
"ENSBTAG00000000575.ENSBTAG00000015296",4.81283764416629,"vitro",62
"ENSBTAG00000005947.ENSBTAG00000015910",100,"vitro",62
"ENSBTAG00000008300.ENSBTAG00000008165",0.82852753953906,"vitro",62
"ENSBTAG00000021945.ENSBTAG00000011741",47.7532789490646,"vitro",62
"ENSBTAG00000008300.ENSBTAG00000001462",15.7565747319965,"vitro",62
"ENSBTAG00000000476.ENSBTAG00000003781",0,"vitro",62
"ENSBTAG00000000575.ENSBTAG00000012897",27.762757448938,"vitro",62
"ENSBTAG00000008300.ENSBTAG00000011741",27.179370543575,"vitro",62
"ENSBTAG00000013103.ENSBTAG00000010682",1.57886060516675,"vitro",62
"ENSBTAG00000021466.ENSBTAG00000010682",1.39586329884179,"vitro",62
