"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.75,0.5,0.91796875
"vitro",64,0.4375,-0.125,0.515625
"vivo",28,0.75,0.5,0.890625
"vitro",28,0.78125,0.5625,0.8359375
"vivo",21,0.75,0.5,0.7265625
"vitro",21,0.71875,0.4375,0.8046875
"vivo",94,0.59375,0.1875,0.6640625
"vitro",94,0.71875,0.4375,0.96875
"vivo",41,1,1,1
"vitro",41,0.6875,0.375,0.84375
"vivo",12,0.78125,0.5625,0.9375
"vitro",12,0.8125,0.625,0.953125
"vivo",53,0.75,0.5,0.96875
"vitro",53,0.71875,0.4375,0.7890625
"vivo",22,0.6875,0.375,0.875
"vitro",22,0.71875,0.4375,0.8125
"vivo",17,0.71875,0.4375,0.8125
"vitro",17,0.75,0.5,0.9140625
"vivo",62,0.875,0.75,0.875
"vitro",62,0.65625,0.3125,0.84765625
