"feature","shap_importance","dataset","seed"
"ENSBTAG00000014583.ENSBTAG00000011515",0.0441535877559098,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011515",0.0446865235050554,"vivo",64
"ENSBTAG00000010452.ENSBTAG00000011515",0.0580952066982807,"vivo",64
"ENSBTAG00000014906.ENSBTAG00000011515",0.0401952404293023,"vivo",64
"ENSBTAG00000010562.ENSBTAG00000011515",0.0342578837754158,"vivo",64
"ENSBTAG00000014737.ENSBTAG00000037649",0.0523744591013263,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000015361",0.0683234643955392,"vivo",64
"ENSBTAG00000003329.ENSBTAG00000002081",0.0969547409078094,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000002081",0.0872111820258341,"vivo",64
"ENSBTAG00000026236.ENSBTAG00000019929",0.0177870280371314,"vivo",64
"ENSBTAG00000000575.ENSBTAG00000015296",0,"vitro",64
"ENSBTAG00000005947.ENSBTAG00000015910",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000008165",0,"vitro",64
"ENSBTAG00000021945.ENSBTAG00000011741",0.005095,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",64
"ENSBTAG00000000476.ENSBTAG00000003781",0,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000012897",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",64
"ENSBTAG00000013103.ENSBTAG00000010682",0.2438125,"vitro",64
"ENSBTAG00000021466.ENSBTAG00000010682",0.238275,"vitro",64
"ENSBTAG00000014583.ENSBTAG00000011515",0.0570516452382793,"vivo",28
"ENSBTAG00000025644.ENSBTAG00000011515",0.0620886768902367,"vivo",28
"ENSBTAG00000010452.ENSBTAG00000011515",0.0850211450166146,"vivo",28
"ENSBTAG00000014906.ENSBTAG00000011515",0.0645584822806714,"vivo",28
"ENSBTAG00000010562.ENSBTAG00000011515",0.0575166647414707,"vivo",28
"ENSBTAG00000014737.ENSBTAG00000037649",0.023329264297785,"vivo",28
"ENSBTAG00000017745.ENSBTAG00000015361",0.0406961966787225,"vivo",28
"ENSBTAG00000003329.ENSBTAG00000002081",0.0271250486632096,"vivo",28
"ENSBTAG00000003835.ENSBTAG00000002081",0.0404965526986789,"vivo",28
"ENSBTAG00000026236.ENSBTAG00000019929",0.0571556967817744,"vivo",28
"ENSBTAG00000000575.ENSBTAG00000015296",0.0710349490752403,"vitro",28
"ENSBTAG00000005947.ENSBTAG00000015910",0.181751523578536,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000008165",0.0516864216199545,"vitro",28
"ENSBTAG00000021945.ENSBTAG00000011741",0.00423996490366832,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000001462",0.00775928930708388,"vitro",28
"ENSBTAG00000000476.ENSBTAG00000003781",0.0364478844039625,"vitro",28
"ENSBTAG00000000575.ENSBTAG00000012897",0.0399242985171024,"vitro",28
"ENSBTAG00000008300.ENSBTAG00000011741",0.0631930653515221,"vitro",28
