"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000008300.ENSBTAG00000008165",0.0720059453802879,0.138343813928936
"vitro","ENSBTAG00000005947.ENSBTAG00000015910",0.063494101505902,0.0824368278111565
"vitro","ENSBTAG00000013103.ENSBTAG00000010682",0.0621220562869856,0.0837196825067875
"vitro","ENSBTAG00000021466.ENSBTAG00000010682",0.0613109149975559,0.0779363061656377
"vitro","ENSBTAG00000000575.ENSBTAG00000015296",0.0503179222007459,0.05807821967799
"vitro","ENSBTAG00000000476.ENSBTAG00000003781",0.0465223425778296,0.0499770869778813
"vitro","ENSBTAG00000000575.ENSBTAG00000012897",0.0435805498404436,0.041359158242023
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",0.0325795784757892,0.0385805894469363
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",0.0259360703311511,0.0384169531490939
"vitro","ENSBTAG00000021945.ENSBTAG00000011741",0.0257852240878753,0.0380896167467839
"vivo","ENSBTAG00000017745.ENSBTAG00000015361",0.0900675642690746,0.113354371318195
"vivo","ENSBTAG00000014737.ENSBTAG00000037649",0.0662558736384113,0.0657649773799361
"vivo","ENSBTAG00000010452.ENSBTAG00000011515",0.0612281443467616,0.0308425031081605
"vivo","ENSBTAG00000025644.ENSBTAG00000011515",0.0526393855092964,0.0284271007292347
"vivo","ENSBTAG00000014583.ENSBTAG00000011515",0.0516991762592947,0.0246491382370206
"vivo","ENSBTAG00000010562.ENSBTAG00000011515",0.0512834118789988,0.0326649567962891
"vivo","ENSBTAG00000014906.ENSBTAG00000011515",0.0469158513093444,0.0249056958385683
"vivo","ENSBTAG00000026236.ENSBTAG00000019929",0.0351299814250665,0.0304693153329525
"vivo","ENSBTAG00000003835.ENSBTAG00000002081",0.0327807706882716,0.0309578680691679
"vivo","ENSBTAG00000003329.ENSBTAG00000002081",0.0309809000537166,0.033174489257254
