"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.875,0.75,0.791015625
"vitro",64,0.4375,-0.125,0.580078125
"vivo",28,0.75,0.5,0.65625
"vitro",28,0.75,0.5,0.79296875
"vivo",21,0.75,0.5,0.71875
"vitro",21,0.75,0.5,0.78125
"vivo",94,0.59375,0.1875,0.68359375
"vitro",94,0.71875,0.4375,1
"vivo",41,0.875,0.75,1
"vitro",41,0.71875,0.4375,0.91015625
"vivo",12,0.65625,0.3125,0.86328125
"vitro",12,0.8125,0.625,0.89453125
"vivo",53,0.84375,0.6875,1
"vitro",53,0.78125,0.5625,0.77734375
"vivo",22,0.875,0.75,1
"vitro",22,0.875,0.75,0.94140625
"vivo",17,0.78125,0.5625,0.859375
"vitro",17,0.71875,0.4375,0.91796875
"vivo",62,0.875,0.75,0.875
"vitro",62,0.65625,0.3125,0.765625
