"feature","shap_importance","dataset","seed"
"ENSBTAG00000014583.ENSBTAG00000011515",0.0405495843710891,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011515",0.0368083233435359,"vivo",64
"ENSBTAG00000017745.ENSBTAG00000015361",0.0478450230117574,"vivo",64
"ENSBTAG00000014906.ENSBTAG00000011515",0.0320119531440552,"vivo",64
"ENSBTAG00000010452.ENSBTAG00000011515",0.044443852414421,"vivo",64
"ENSBTAG00000010562.ENSBTAG00000011515",0.0417961813325321,"vivo",64
"ENSBTAG00000014737.ENSBTAG00000037649",0.0385553216290348,"vivo",64
"ENSBTAG00000015089.ENSBTAG00000023144",0.0087174420595928,"vivo",64
"ENSBTAG00000001941.ENSBTAG00000023144",0.00930669090866995,"vivo",64
"ENSBTAG00000001492.ENSBTAG00000007213",0.000693189706306234,"vivo",64
"ENSBTAG00000001292.ENSBTAG00000032007",0.00161762227531046,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000003848",0.00106560632233253,"vivo",64
"ENSBTAG00000017246.ENSBTAG00000010444",0.00484581152433458,"vivo",64
"ENSBTAG00000003329.ENSBTAG00000002081",0.0632480340173804,"vivo",64
"ENSBTAG00000012519.ENSBTAG00000031753",0.0758707497121634,"vivo",64
"ENSBTAG00000034077.ENSBTAG00000017846",0.00150745028776944,"vivo",64
"ENSBTAG00000026236.ENSBTAG00000019929",0.0204284104154199,"vivo",64
"ENSBTAG00000021105.ENSBTAG00000014031",0.0859899683035097,"vivo",64
"ENSBTAG00000014465.ENSBTAG00000019929",0.000223609039991843,"vivo",64
"ENSBTAG00000005077.ENSBTAG00000015910",0.00272054687800682,"vivo",64
"ENSBTAG00000008300.ENSBTAG00000008165",0,"vitro",64
"ENSBTAG00000004148.ENSBTAG00000003255",0,"vitro",64
"ENSBTAG00000013103.ENSBTAG00000010682",0.162365,"vitro",64
"ENSBTAG00000021466.ENSBTAG00000010682",0.1594,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000015296",0,"vitro",64
"ENSBTAG00000021945.ENSBTAG00000011741",0.0020275,"vitro",64
"ENSBTAG00000005947.ENSBTAG00000015910",0,"vitro",64
"ENSBTAG00000015991.ENSBTAG00000024015",0,"vitro",64
"ENSBTAG00000021217.ENSBTAG00000010682",0.162995,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000011741",0,"vitro",64
"ENSBTAG00000008300.ENSBTAG00000001462",0,"vitro",64
"ENSBTAG00000000476.ENSBTAG00000003781",0,"vitro",64
"ENSBTAG00000000575.ENSBTAG00000012897",0,"vitro",64
"ENSBTAG00000005339.ENSBTAG00000000782",0,"vitro",64
