"feature","importance","dataset","seed"
"ENSBTAG00000009761.ENSBTAG00000002144",0,"vivo",12
"ENSBTAG00000009761.ENSBTAG00000012314",0,"vivo",12
"ENSBTAG00000005481.ENSBTAG00000003166",3.48728463638828,"vivo",12
"ENSBTAG00000012444.ENSBTAG00000015910",0.0602161112426467,"vivo",12
"ENSBTAG00000012444.ENSBTAG00000015127",0,"vivo",12
"ENSBTAG00000010663.ENSBTAG00000013745",0.579621501650268,"vivo",12
"ENSBTAG00000010663.ENSBTAG00000019929",0.12506423104242,"vivo",12
"ENSBTAG00000010663.ENSBTAG00000015910",1.11055932249875,"vivo",12
"ENSBTAG00000001141.ENSBTAG00000013745",0,"vivo",12
"ENSBTAG00000001141.ENSBTAG00000015910",0,"vivo",12
"ENSBTAG00000001141.ENSBTAG00000022799",0,"vivo",12
"ENSBTAG00000019694.ENSBTAG00000013745",1.95365294607731,"vivo",12
"ENSBTAG00000017455.ENSBTAG00000017266",0,"vivo",12
"ENSBTAG00000017455.ENSBTAG00000019929",0,"vivo",12
"ENSBTAG00000017455.ENSBTAG00000015910",0,"vivo",12
"ENSBTAG00000017455.ENSBTAG00000013755",0,"vivo",12
"ENSBTAG00000021048.ENSBTAG00000002144",0,"vivo",12
"ENSBTAG00000021048.ENSBTAG00000017981",0.180309406272541,"vivo",12
"ENSBTAG00000021048.ENSBTAG00000008483",3.29139562934217,"vivo",12
"ENSBTAG00000021048.ENSBTAG00000016948",0.124892675169934,"vivo",12
"ENSBTAG00000021048.ENSBTAG00000019903",0,"vivo",12
"ENSBTAG00000021048.ENSBTAG00000020704",0.0576427731553541,"vivo",12
"ENSBTAG00000021048.ENSBTAG00000017489",0.70076762103847,"vivo",12
"ENSBTAG00000013191.ENSBTAG00000015910",0,"vivo",12
"ENSBTAG00000014556.ENSBTAG00000026676",0,"vivo",12
"ENSBTAG00000013201.ENSBTAG00000020319",0,"vivo",12
"ENSBTAG00000014051.ENSBTAG00000013745",2.90583852724376,"vivo",12
"ENSBTAG00000014051.ENSBTAG00000015910",4.97969417717665,"vivo",12
"ENSBTAG00000014051.ENSBTAG00000020148",0,"vivo",12
"ENSBTAG00000014051.ENSBTAG00000003777",0,"vivo",12
"ENSBTAG00000011034.ENSBTAG00000020148",0,"vivo",12
"ENSBTAG00000011034.ENSBTAG00000003777",0,"vivo",12
"ENSBTAG00000021811.ENSBTAG00000020148",0,"vivo",12
"ENSBTAG00000021811.ENSBTAG00000003777",0,"vivo",12
"ENSBTAG00000011810.ENSBTAG00000003777",0,"vivo",12
"ENSBTAG00000002473.ENSBTAG00000003777",0,"vivo",12
"ENSBTAG00000015978.ENSBTAG00000039292",0.497661961392579,"vivo",12
"ENSBTAG00000015978.ENSBTAG00000013290",0.2779205134276,"vivo",12
"ENSBTAG00000015978.ENSBTAG00000011628",0,"vivo",12
"ENSBTAG00000019993.ENSBTAG00000039292",0,"vivo",12
"ENSBTAG00000019993.ENSBTAG00000027516",0,"vivo",12
"ENSBTAG00000009212.ENSBTAG00000012314",0,"vivo",12
"ENSBTAG00000019770.ENSBTAG00000012314",0,"vivo",12
"ENSBTAG00000012398.ENSBTAG00000012314",0.284530970983823,"vivo",12
"ENSBTAG00000012398.ENSBTAG00000014357",0.122067049034868,"vivo",12
"ENSBTAG00000012398.ENSBTAG00000008008",0.124292229616232,"vivo",12
"ENSBTAG00000020556.ENSBTAG00000018517",0,"vivo",12
"ENSBTAG00000023600.ENSBTAG00000005910",0.515364624460449,"vivo",12
"ENSBTAG00000010123.ENSBTAG00000012314",0.0605249118131218,"vivo",12
"ENSBTAG00000010123.ENSBTAG00000005903",0.0636690630761413,"vivo",12
"ENSBTAG00000010123.ENSBTAG00000000736",0,"vivo",12
"ENSBTAG00000010123.ENSBTAG00000014269",1.29422809726861,"vivo",12
"ENSBTAG00000010123.ENSBTAG00000014611",0.43147159709635,"vivo",12
"ENSBTAG00000010123.ENSBTAG00000018517",0,"vivo",12
"ENSBTAG00000017753.ENSBTAG00000039292",0.234688433561085,"vivo",12
"ENSBTAG00000017753.ENSBTAG00000015228",0,"vivo",12
"ENSBTAG00000017753.ENSBTAG00000015996",0,"vivo",12
"ENSBTAG00000017753.ENSBTAG00000004334",0,"vivo",12
"ENSBTAG00000017753.ENSBTAG00000020979",0.34045262894881,"vivo",12
"ENSBTAG00000017753.ENSBTAG00000020054",0,"vivo",12
"ENSBTAG00000018134.ENSBTAG00000011628",0,"vivo",12
"ENSBTAG00000018134.ENSBTAG00000010444",0.182633480252423,"vivo",12
"ENSBTAG00000007725.ENSBTAG00000012687",0,"vivo",12
"ENSBTAG00000045582.ENSBTAG00000002144",0,"vivo",12
"ENSBTAG00000045582.ENSBTAG00000012314",0.0589528361816122,"vivo",12
"ENSBTAG00000034077.ENSBTAG00000003848",0.482619660817544,"vivo",12
"ENSBTAG00000034077.ENSBTAG00000017846",1.02610018132158,"vivo",12
"ENSBTAG00000034077.ENSBTAG00000023731",0,"vivo",12
"ENSBTAG00000034077.ENSBTAG00000018999",0.631299254624444,"vivo",12
"ENSBTAG00000008027.ENSBTAG00000002144",0,"vivo",12
"ENSBTAG00000008027.ENSBTAG00000017981",0,"vivo",12
"ENSBTAG00000008027.ENSBTAG00000007175",0,"vivo",12
"ENSBTAG00000008027.ENSBTAG00000047138",0.0567421048248017,"vivo",12
"ENSBTAG00000008027.ENSBTAG00000012314",0.124057272660436,"vivo",12
"ENSBTAG00000008027.ENSBTAG00000016948",0,"vivo",12
"ENSBTAG00000008027.ENSBTAG00000019903",0,"vivo",12
"ENSBTAG00000008027.ENSBTAG00000020704",0,"vivo",12
"ENSBTAG00000008027.ENSBTAG00000017489",0.0633041169473977,"vivo",12
"ENSBTAG00000026236.ENSBTAG00000019929",13.1500557708577,"vivo",12
"ENSBTAG00000015789.ENSBTAG00000011628",0,"vivo",12
"ENSBTAG00000015789.ENSBTAG00000006732",0,"vivo",12
"ENSBTAG00000005250.ENSBTAG00000008008",0.124802041878809,"vivo",12
"ENSBTAG00000005250.ENSBTAG00000006240",0,"vivo",12
"ENSBTAG00000005111.ENSBTAG00000011909",0,"vivo",12
"ENSBTAG00000005111.ENSBTAG00000018105",0,"vivo",12
"ENSBTAG00000005111.ENSBTAG00000000231",0,"vivo",12
"ENSBTAG00000005111.ENSBTAG00000002081",1.05874481305752,"vivo",12
"ENSBTAG00000005111.ENSBTAG00000006420",0,"vivo",12
"ENSBTAG00000005111.ENSBTAG00000008997",0,"vivo",12
"ENSBTAG00000003835.ENSBTAG00000000231",0.05558410268552,"vivo",12
"ENSBTAG00000003835.ENSBTAG00000002081",0.40467211901583,"vivo",12
"ENSBTAG00000003835.ENSBTAG00000006420",0,"vivo",12
"ENSBTAG00000015362.ENSBTAG00000011909",0,"vivo",12
"ENSBTAG00000015362.ENSBTAG00000018114",0,"vivo",12
"ENSBTAG00000015362.ENSBTAG00000018105",0,"vivo",12
"ENSBTAG00000015362.ENSBTAG00000000231",0.0567421048248017,"vivo",12
"ENSBTAG00000015362.ENSBTAG00000002081",0,"vivo",12
"ENSBTAG00000015362.ENSBTAG00000006420",0,"vivo",12
"ENSBTAG00000015362.ENSBTAG00000008997",0.063468372569991,"vivo",12
"ENSBTAG00000004237.ENSBTAG00000011628",0.29181653909898,"vivo",12
"ENSBTAG00000004237.ENSBTAG00000010444",0.178579386752487,"vivo",12
"ENSBTAG00000007153.ENSBTAG00000012219",0.155635487519456,"vivo",12
"ENSBTAG00000006276.ENSBTAG00000047138",0,"vivo",12
"ENSBTAG00000017280.ENSBTAG00000039292",0.614447432996434,"vivo",12
"ENSBTAG00000017280.ENSBTAG00000037735",0,"vivo",12
"ENSBTAG00000017280.ENSBTAG00000005397",0,"vivo",12
"ENSBTAG00000017280.ENSBTAG00000047793",0,"vivo",12
"ENSBTAG00000017280.ENSBTAG00000017060",0,"vivo",12
