"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000020457.ENSBTAG00000001060",0.0303554696558887,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000015910",0.0196095668798665,NA
"vitro","ENSBTAG00000020457.ENSBTAG00000019832",0.0156640054091153,NA
"vitro","ENSBTAG00000021945.ENSBTAG00000011741",0.0151238848408137,NA
"vitro","ENSBTAG00000019866.ENSBTAG00000000782",0.0148495657726692,NA
"vitro","ENSBTAG00000000575.ENSBTAG00000012119",0.0127594791666667,NA
"vitro","ENSBTAG00000003837.ENSBTAG00000011761",0.0115166263760062,NA
"vitro","ENSBTAG00000011238.ENSBTAG00000017256",0.0100926940247253,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",0.00980966838153504,NA
"vitro","ENSBTAG00000011238.ENSBTAG00000002951",0.00955065270935961,NA
"vitro","ENSBTAG00000014737.ENSBTAG00000001462",0.00752879914705346,NA
"vitro","ENSBTAG00000003300.ENSBTAG00000002804",0.00745491099276195,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000017489",0.0074292025862069,NA
"vitro","ENSBTAG00000000575.ENSBTAG00000015296",0.00737928317091454,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000017060",0.00725948904454023,NA
"vitro","ENSBTAG00000017246.ENSBTAG00000010444",0.00701541788856305,NA
"vitro","ENSBTAG00000017448.ENSBTAG00000011628",0.0069425641025641,NA
"vitro","ENSBTAG00000007153.ENSBTAG00000012219",0.00676821994018758,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000027464",0.00612895702198504,NA
"vitro","ENSBTAG00000015089.ENSBTAG00000023144",0.00585062558826682,NA
"vitro","ENSBTAG00000017246.ENSBTAG00000006161",0.00564551459293395,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000006161",0.00564354166666667,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000010444",0.00542842069892473,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000026676",0.005357671107628,NA
"vitro","ENSBTAG00000020221.ENSBTAG00000002107",0.005339791434411,NA
"vitro","ENSBTAG00000020638.ENSBTAG00000000782",0.00518630195319007,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",0.00516439655172414,NA
"vitro","ENSBTAG00000014113.ENSBTAG00000003220",0.00514,NA
"vitro","ENSBTAG00000000575.ENSBTAG00000012897",0.00511020833333333,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000014064",0.0051054525862069,NA
"vitro","ENSBTAG00000000575.ENSBTAG00000026676",0.00506081831243469,NA
"vitro","ENSBTAG00000000575.ENSBTAG00000020679",0.00491866687192118,NA
"vitro","ENSBTAG00000021048.ENSBTAG00000017489",0.00463924964936886,NA
"vitro","ENSBTAG00000012519.ENSBTAG00000031753",0.00457231481481481,NA
"vitro","ENSBTAG00000000310.ENSBTAG00000022799",0.00438090773809524,NA
"vitro","ENSBTAG00000011810.ENSBTAG00000003777",0.00433328088458476,NA
"vitro","ENSBTAG00000013066.ENSBTAG00000002402",0.00426871569048967,NA
"vitro","ENSBTAG00000020457.ENSBTAG00000008997",0.00403951947637292,NA
"vitro","ENSBTAG00000032436.ENSBTAG00000010444",0.00398425409226191,NA
"vitro","ENSBTAG00000012817.ENSBTAG00000022799",0.00396873292099741,NA
"vitro","ENSBTAG00000019336.ENSBTAG00000002107",0.00395794205293867,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000015739",0.00370302493842365,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000000782",0.00361009214142929,NA
"vitro","ENSBTAG00000025257.ENSBTAG00000019428",0.0034660839093702,NA
"vitro","ENSBTAG00000011412.ENSBTAG00000017266",0.0034285775862069,NA
"vitro","ENSBTAG00000009357.ENSBTAG00000012119",0.00337642857142857,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000013745",0.00328764330322438,NA
"vitro","ENSBTAG00000016800.ENSBTAG00000000782",0.00323568347546657,NA
"vitro","ENSBTAG00000003835.ENSBTAG00000002081",0.00315659347203613,NA
"vitro","ENSBTAG00000031998.ENSBTAG00000015708",0.003111762895434,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000015457",0.00309700721153846,NA
"vitro","ENSBTAG00000020342.ENSBTAG00000007047",0.00283234510418588,NA
"vitro","ENSBTAG00000014737.ENSBTAG00000000782",0.00265168103448276,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000027464",0.00262935344225667,NA
"vitro","ENSBTAG00000000575.ENSBTAG00000015910",0.00258466664800717,NA
"vitro","ENSBTAG00000011412.ENSBTAG00000019929",0.00235977822580645,NA
"vitro","ENSBTAG00000021302.ENSBTAG00000015910",0.00231892451298701,NA
"vitro","ENSBTAG00000013760.ENSBTAG00000019929",0.00227377420328814,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000015457",0.00221364333472853,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000004356",0.0021,NA
"vitro","ENSBTAG00000011034.ENSBTAG00000020148",0.0020624226764306,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000000570",0.002007890625,NA
"vitro","ENSBTAG00000020457.ENSBTAG00000015910",0.00199333733974359,NA
"vitro","ENSBTAG00000020457.ENSBTAG00000014357",0.00198740384615385,NA
"vitro","ENSBTAG00000014737.ENSBTAG00000011971",0.00193606401660281,NA
"vitro","ENSBTAG00000012829.ENSBTAG00000017745",0.00189011711790034,NA
"vitro","ENSBTAG00000025471.ENSBTAG00000010497",0.00187894450029948,NA
"vitro","ENSBTAG00000021048.ENSBTAG00000020704",0.00186776939655172,NA
"vitro","ENSBTAG00000021105.ENSBTAG00000000477",0.00182552332970225,NA
"vitro","ENSBTAG00000017060.ENSBTAG00000010303",0.00175103160225443,NA
"vitro","ENSBTAG00000005710.ENSBTAG00000015457",0.00170249640804598,NA
"vitro","ENSBTAG00000008121.ENSBTAG00000011761",0.00167974621212121,NA
"vitro","ENSBTAG00000010820.ENSBTAG00000002107",0.00161060500248674,NA
"vitro","ENSBTAG00000026236.ENSBTAG00000019929",0.00159286290322581,NA
"vitro","ENSBTAG00000023907.ENSBTAG00000020644",0.00154296490147783,NA
"vitro","ENSBTAG00000040333.ENSBTAG00000013290",0.00145952868485196,NA
"vitro","ENSBTAG00000014113.ENSBTAG00000019428",0.00145166666666667,NA
"vitro","ENSBTAG00000001292.ENSBTAG00000032719",0.00144388006008855,NA
"vitro","ENSBTAG00000025644.ENSBTAG00000012687",0.00141737909226191,NA
"vitro","ENSBTAG00000012228.ENSBTAG00000001814",0.00139663254310345,NA
"vitro","ENSBTAG00000002880.ENSBTAG00000012687",0.00137660117056856,NA
"vitro","ENSBTAG00000032436.ENSBTAG00000006161",0.00134455357142857,NA
"vitro","ENSBTAG00000032436.ENSBTAG00000014064",0.0013155303030303,NA
"vitro","ENSBTAG00000014921.ENSBTAG00000017745",0.00125812847316346,NA
"vitro","ENSBTAG00000000442.ENSBTAG00000007348",0.00123955766908213,NA
"vitro","ENSBTAG00000004777.ENSBTAG00000017753",0.00122473806366048,NA
"vitro","ENSBTAG00000025644.ENSBTAG00000010785",0.00121955965909091,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000013320",0.0012032337487781,NA
"vitro","ENSBTAG00000011563.ENSBTAG00000010497",0.00118238244514107,NA
"vitro","ENSBTAG00000025868.ENSBTAG00000013755",0.00118062278447359,NA
"vitro","ENSBTAG00000000130.ENSBTAG00000010785",0.00115802321061691,NA
"vitro","ENSBTAG00000015509.ENSBTAG00000012687",0.00115361111111111,NA
"vitro","ENSBTAG00000010303.ENSBTAG00000007626",0.00114806851851852,NA
"vitro","ENSBTAG00000030710.ENSBTAG00000020979",0.00112606458787219,NA
"vitro","ENSBTAG00000013162.ENSBTAG00000002144",0.00112350436839661,NA
"vitro","ENSBTAG00000014575.ENSBTAG00000019929",0.00111580972906404,NA
"vitro","ENSBTAG00000008096.ENSBTAG00000019733",0.00111571614583333,NA
"vitro","ENSBTAG00000013191.ENSBTAG00000019929",0.00110853852747996,NA
"vitro","ENSBTAG00000007446.ENSBTAG00000003060",0.00109355264208174,NA
"vitro","ENSBTAG00000014737.ENSBTAG00000037649",0.00108696965474139,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000020644",0.00108020833333333,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000014064",0.00107355204342273,NA
"vitro","ENSBTAG00000009565.ENSBTAG00000002804",0.0010413141025641,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000018517",0.00102611268939394,NA
"vitro","ENSBTAG00000038045.ENSBTAG00000018572",0.001006875,NA
"vitro","ENSBTAG00000012066.ENSBTAG00000019929",0.000993663340336134,NA
"vitro","ENSBTAG00000001368.ENSBTAG00000015910",0.000982034583669703,NA
"vitro","ENSBTAG00000015114.ENSBTAG00000019929",0.000969474676724138,NA
"vitro","ENSBTAG00000014583.ENSBTAG00000012687",0.00095741935483871,NA
"vitro","ENSBTAG00000017753.ENSBTAG00000039292",0.000909490740740741,NA
"vitro","ENSBTAG00000010663.ENSBTAG00000019929",0.000909021682340648,NA
"vitro","ENSBTAG00000013066.ENSBTAG00000012687",0.000904464285714286,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000015127",0.000893863146551724,NA
"vitro","ENSBTAG00000011851.ENSBTAG00000002699",0.000893409090909091,NA
"vitro","ENSBTAG00000020194.ENSBTAG00000011628",0.000890700757575758,NA
"vitro","ENSBTAG00000012066.ENSBTAG00000013569",0.000850277777777778,NA
"vitro","ENSBTAG00000021302.ENSBTAG00000019289",0.000836666666666667,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000013125",0.000825170454545455,NA
"vitro","ENSBTAG00000039355.ENSBTAG00000011578",0.000815857279693486,NA
"vitro","ENSBTAG00000021697.ENSBTAG00000007173",0.000814093365476717,NA
"vitro","ENSBTAG00000002473.ENSBTAG00000003777",0.000798333333333333,NA
"vitro","ENSBTAG00000013103.ENSBTAG00000019929",0.000782124017957351,NA
"vitro","ENSBTAG00000037533.ENSBTAG00000005397",0.000778917624521073,NA
"vitro","ENSBTAG00000012817.ENSBTAG00000007909",0.000767168481028775,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000009851",0.000757401057993731,NA
"vitro","ENSBTAG00000017122.ENSBTAG00000011741",0.000750625,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000026676",0.000748583458766648,NA
