"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000021945.ENSBTAG00000011741",0.0522775,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000015739",0.041045,NA
"vitro","ENSBTAG00000017753.ENSBTAG00000039292",0.040895,NA
"vitro","ENSBTAG00000012817.ENSBTAG00000022799",0.03965,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000015910",0.038925,NA
"vitro","ENSBTAG00000017753.ENSBTAG00000014420",0.037925,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000015910",0.0201425,NA
"vitro","ENSBTAG00000019336.ENSBTAG00000002107",0.0191425,NA
"vitro","ENSBTAG00000014737.ENSBTAG00000001462",0.0188125,NA
"vitro","ENSBTAG00000005710.ENSBTAG00000015457",0.0143425,NA
"vitro","ENSBTAG00000003835.ENSBTAG00000006420",0.013635,NA
"vitro","ENSBTAG00000007737.ENSBTAG00000022799",0.01333,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000001462",0.01226,NA
"vitro","ENSBTAG00000000575.ENSBTAG00000026676",0.0107,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000000782",0.009755,NA
"vitro","ENSBTAG00000020457.ENSBTAG00000019832",0.00897,NA
"vitro","ENSBTAG00000016800.ENSBTAG00000000782",0.00841,NA
"vitro","ENSBTAG00000008300.ENSBTAG00000011741",0.0077875,NA
"vitro","ENSBTAG00000020457.ENSBTAG00000015910",0.0076,NA
"vitro","ENSBTAG00000015978.ENSBTAG00000039292",0.00592,NA
"vitro","ENSBTAG00000017122.ENSBTAG00000011741",0.00568,NA
"vitro","ENSBTAG00000011034.ENSBTAG00000020148",0.005445,NA
"vitro","ENSBTAG00000005111.ENSBTAG00000006420",0.0046625,NA
"vitro","ENSBTAG00000012004.ENSBTAG00000019832",0.0046525,NA
"vitro","ENSBTAG00000032436.ENSBTAG00000022799",0.003835,NA
"vitro","ENSBTAG00000003300.ENSBTAG00000002804",0.0037975,NA
"vitro","ENSBTAG00000012519.ENSBTAG00000031753",0.00363,NA
"vitro","ENSBTAG00000005280.ENSBTAG00000048246",0.003275,NA
"vitro","ENSBTAG00000017455.ENSBTAG00000015910",0.0029375,NA
"vitro","ENSBTAG00000000575.ENSBTAG00000012897",0.0028125,NA
"vitro","ENSBTAG00000017060.ENSBTAG00000010303",0.0027975,NA
"vitro","ENSBTAG00000010138.ENSBTAG00000011971",0.00204,NA
"vitro","ENSBTAG00000003329.ENSBTAG00000006420",0.0019175,NA
"vitro","ENSBTAG00000023907.ENSBTAG00000015910",0.00105,NA
"vitro","ENSBTAG00000010963.ENSBTAG00000002414",0.001015,NA
"vitro","ENSBTAG00000001725.ENSBTAG00000039292",0.0010075,NA
"vitro","ENSBTAG00000003835.ENSBTAG00000002081",0.001,NA
"vitro","ENSBTAG00000011966.ENSBTAG00000015910",0.001,NA
"vitro","ENSBTAG00000021048.ENSBTAG00000020704",0.000995,NA
"vitro","ENSBTAG00000000575.ENSBTAG00000020679",0.000985,NA
