"feature","importance","dataset","seed"
"`ENSBTAG00000009761-ENSBTAG00000002144`",28.4065024819089,"vivo",64
"`ENSBTAG00000009761-ENSBTAG00000012314`",14.9414495482022,"vivo",64
"`ENSBTAG00000005481-ENSBTAG00000003166`",6.69039426310967,"vivo",64
"`ENSBTAG00000012444-ENSBTAG00000015910`",2.14770431493964,"vivo",64
"`ENSBTAG00000012444-ENSBTAG00000015127`",16.6710600968378,"vivo",64
"`ENSBTAG00000010663-ENSBTAG00000013745`",25.7556025439409,"vivo",64
"`ENSBTAG00000010663-ENSBTAG00000019929`",16.8152957321296,"vivo",64
"`ENSBTAG00000010663-ENSBTAG00000015910`",10.0361637483637,"vivo",64
"`ENSBTAG00000001141-ENSBTAG00000013745`",2.36857279885136,"vivo",64
"`ENSBTAG00000001141-ENSBTAG00000015910`",20.7399696885967,"vivo",64
"`ENSBTAG00000001141-ENSBTAG00000022799`",0,"vivo",64
"`ENSBTAG00000019694-ENSBTAG00000013745`",0,"vivo",64
"`ENSBTAG00000017455-ENSBTAG00000017266`",5.54376386932339,"vivo",64
"`ENSBTAG00000017455-ENSBTAG00000019929`",10.2964764932089,"vivo",64
"`ENSBTAG00000017455-ENSBTAG00000015910`",11.2441497552386,"vivo",64
"`ENSBTAG00000017455-ENSBTAG00000013755`",5.29091540178594,"vivo",64
"`ENSBTAG00000021048-ENSBTAG00000002144`",12.923961572892,"vivo",64
"`ENSBTAG00000021048-ENSBTAG00000017981`",33.8055266149586,"vivo",64
"`ENSBTAG00000021048-ENSBTAG00000008483`",17.1915913968892,"vivo",64
"`ENSBTAG00000021048-ENSBTAG00000016948`",6.66345658934397,"vivo",64
"`ENSBTAG00000021048-ENSBTAG00000019903`",5.58536106671608,"vivo",64
"`ENSBTAG00000021048-ENSBTAG00000020704`",8.62164555136055,"vivo",64
"`ENSBTAG00000021048-ENSBTAG00000017489`",17.9743842542498,"vivo",64
"`ENSBTAG00000013191-ENSBTAG00000015910`",21.6568366940219,"vivo",64
"`ENSBTAG00000014556-ENSBTAG00000026676`",17.9941519373732,"vivo",64
"`ENSBTAG00000013201-ENSBTAG00000020319`",13.3131969390708,"vivo",64
"`ENSBTAG00000014051-ENSBTAG00000013745`",7.45859045817426,"vivo",64
"`ENSBTAG00000014051-ENSBTAG00000015910`",9.20444411862752,"vivo",64
"`ENSBTAG00000014051-ENSBTAG00000020148`",0,"vivo",64
"`ENSBTAG00000014051-ENSBTAG00000003777`",18.3158898021807,"vivo",64
"`ENSBTAG00000011034-ENSBTAG00000020148`",8.5013295799694,"vivo",64
"`ENSBTAG00000011034-ENSBTAG00000003777`",6.45216759377351,"vivo",64
"`ENSBTAG00000021811-ENSBTAG00000020148`",35.7911465100037,"vivo",64
"`ENSBTAG00000021811-ENSBTAG00000003777`",1.18986388639315,"vivo",64
"`ENSBTAG00000011810-ENSBTAG00000003777`",13.48438038086,"vivo",64
"`ENSBTAG00000002473-ENSBTAG00000003777`",27.9843585965604,"vivo",64
"`ENSBTAG00000015978-ENSBTAG00000039292`",15.0863853151247,"vivo",64
"`ENSBTAG00000015978-ENSBTAG00000013290`",0,"vivo",64
"`ENSBTAG00000015978-ENSBTAG00000011628`",5.79419643640635,"vivo",64
"`ENSBTAG00000019993-ENSBTAG00000039292`",0,"vivo",64
"`ENSBTAG00000019993-ENSBTAG00000027516`",2.17378979244903,"vivo",64
"`ENSBTAG00000009212-ENSBTAG00000012314`",40.8179755294128,"vivo",64
"`ENSBTAG00000019770-ENSBTAG00000012314`",15.6736362851287,"vivo",64
"`ENSBTAG00000012398-ENSBTAG00000012314`",73.5297040257204,"vivo",64
"`ENSBTAG00000012398-ENSBTAG00000014357`",13.4959409902108,"vivo",64
"`ENSBTAG00000012398-ENSBTAG00000008008`",45.1339400197408,"vivo",64
"`ENSBTAG00000020556-ENSBTAG00000018517`",8.71139013357972,"vivo",64
