"dataset","feature","mean_importance","sd_importance"
"vitro","`ENSBTAG00000014737-ENSBTAG00000015910`",28.4106219872639,26.3545863958178
"vitro","`ENSBTAG00000008300-ENSBTAG00000001462`",26.8351333146495,28.5812333047426
"vitro","`ENSBTAG00000017745-ENSBTAG00000015361`",26.7776760201273,28.476404123414
"vitro","`ENSBTAG00000025644-ENSBTAG00000010986`",25.4891868526423,19.5159041981614
"vitro","`ENSBTAG00000017745-ENSBTAG00000018474`",23.8322169160764,30.441809757471
"vitro","`ENSBTAG00000008300-ENSBTAG00000033669`",22.704088750531,28.9732879484905
"vitro","`ENSBTAG00000015043-ENSBTAG00000022799`",22.6980899675629,33.0599039292603
"vitro","`ENSBTAG00000022120-ENSBTAG00000019929`",22.6824247255577,29.4235499694451
"vitro","`ENSBTAG00000017745-ENSBTAG00000010423`",22.4621646000954,29.2758985438322
"vitro","`ENSBTAG00000009212-ENSBTAG00000012314`",22.1740716494529,25.1828239451969
"vitro","`ENSBTAG00000012817-ENSBTAG00000022799`",21.9962912396196,30.4601876951251
"vitro","`ENSBTAG00000020645-ENSBTAG00000014944`",21.373375473282,22.0314224460686
"vitro","`ENSBTAG00000010738-ENSBTAG00000019428`",21.1467976166503,23.742388818627
"vitro","`ENSBTAG00000017745-ENSBTAG00000016933`",21.1399436598352,28.5802210317496
"vitro","`ENSBTAG00000020645-ENSBTAG00000011461`",21.0121846961067,24.6470937443576
"vitro","`ENSBTAG00000001292-ENSBTAG00000034385`",19.8928174626988,24.1198103650689
"vitro","`ENSBTAG00000000016-ENSBTAG00000016455`",19.5998691025031,30.4473049889619
"vitro","`ENSBTAG00000015978-ENSBTAG00000011628`",18.8547700876066,27.9178635703621
"vitro","`ENSBTAG00000015043-ENSBTAG00000007909`",18.7539397491605,29.7907030824732
"vitro","`ENSBTAG00000019665-ENSBTAG00000005273`",18.6280926871609,21.1019302161641
"vitro","`ENSBTAG00000020645-ENSBTAG00000011628`",18.089040448676,29.9710921990862
"vitro","`ENSBTAG00000020645-ENSBTAG00000012848`",17.4555711293084,20.9953498190115
"vitro","`ENSBTAG00000008300-ENSBTAG00000015910`",17.446559107076,18.5816610618805
"vitro","`ENSBTAG00000020645-ENSBTAG00000006208`",17.4464114210492,20.3005295043279
"vitro","`ENSBTAG00000010303-ENSBTAG00000017060`",17.2745990882721,24.8335491345521
"vitro","`ENSBTAG00000005850-ENSBTAG00000022799`",17.0748175102136,14.0570440576296
"vitro","`ENSBTAG00000010303-ENSBTAG00000007103`",16.9944026286985,22.6695684835562
"vitro","`ENSBTAG00000020645-ENSBTAG00000039292`",16.9625826720705,21.9831298846785
"vitro","`ENSBTAG00000005250-ENSBTAG00000008008`",16.7142867210337,13.0817112925925
"vitro","`ENSBTAG00000004630-ENSBTAG00000019929`",16.5424097599258,32.7019878021045
"vitro","`ENSBTAG00000025775-ENSBTAG00000016948`",16.5216133291662,12.2857228550946
"vitro","`ENSBTAG00000031998-ENSBTAG00000015708`",16.214679201819,17.6276519353729
"vitro","`ENSBTAG00000034501-ENSBTAG00000005397`",16.1797474698922,22.100557507818
"vitro","`ENSBTAG00000012398-ENSBTAG00000012314`",15.8657692618265,20.354283489886
"vitro","`ENSBTAG00000020645-ENSBTAG00000021527`",15.8594164566196,22.9211267166568
"vitro","`ENSBTAG00000015742-ENSBTAG00000007103`",15.6305826541759,27.3422491147953
"vitro","`ENSBTAG00000013066-ENSBTAG00000002402`",15.5583029459865,30.6703659589124
"vitro","`ENSBTAG00000009357-ENSBTAG00000012771`",15.3998602980146,21.5884440724341
"vitro","`ENSBTAG00000020645-ENSBTAG00000005990`",15.3041875083244,14.3135352053644
"vitro","`ENSBTAG00000032436-ENSBTAG00000010444`",15.2058888841528,30.4760929455063
"vitro","`ENSBTAG00000014583-ENSBTAG00000010986`",14.9890732109985,11.6197746330095
"vitro","`ENSBTAG00000021457-ENSBTAG00000023147`",14.9860668514999,21.2153220950904
"vitro","`ENSBTAG00000004362-ENSBTAG00000014357`",14.8548376019556,23.666703082573
"vitro","`ENSBTAG00000020406-ENSBTAG00000021527`",14.7257799766746,30.2367527117245
"vitro","`ENSBTAG00000010673-ENSBTAG00000000815`",14.6356656676119,23.9676533502867
"vitro","`ENSBTAG00000046421-ENSBTAG00000007213`",14.440648467685,22.7764513230548
"vitro","`ENSBTAG00000015978-ENSBTAG00000039292`",14.1364375382564,17.0145942136839
"vitro","`ENSBTAG00000015978-ENSBTAG00000013290`",14.0814112538014,22.6737740173031
"vitro","`ENSBTAG00000015114-ENSBTAG00000019929`",14.0202216850242,21.9345100709934
"vitro","`ENSBTAG00000012817-ENSBTAG00000007909`",14.0039014663136,17.9254758897355
"vitro","`ENSBTAG00000025257-ENSBTAG00000019428`",13.9189473551264,17.7188991382134
"vitro","`ENSBTAG00000021316-ENSBTAG00000003585`",13.8717822083159,31.1121021393121
"vitro","`ENSBTAG00000000073-ENSBTAG00000014611`",13.7874899663248,13.9307610760294
"vitro","`ENSBTAG00000017473-ENSBTAG00000018169`",13.6623279013645,17.7048603797412
"vitro","`ENSBTAG00000014737-ENSBTAG00000037649`",13.5630495117165,9.40954457938012
"vitro","`ENSBTAG00000003300-ENSBTAG00000002804`",13.5506768835069,23.9574159008641
"vitro","`ENSBTAG00000014737-ENSBTAG00000000782`",13.4905523293263,8.46910552172063
