"dataset","seed","accuracy","kappa"
"vivo",663,0.84375,0.6875
"vitro",663,0.5625,0.125
"vivo",608,0.6875,0.375
"vitro",608,0.6875,0.375
"vivo",131,0.5625,0.125
"vitro",131,0.5625,0.125
"vivo",866,0.71875,0.4375
"vitro",866,0.96875,0.9375
"vivo",262,0.6875,0.375
"vitro",262,0.5625,0.125
"vivo",513,0.59375,0.1875
"vitro",513,0.78125,0.5625
"vivo",737,0.53125,0.0625
"vitro",737,0.5,0
"vivo",914,0.875,0.75
"vitro",914,0.75,0.5
"vivo",800,0.4375,-0.125
"vitro",800,0.125,-0.75
"vivo",134,0.6875,0.375
"vitro",134,0.625,0.25
