"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000020406-ENSBTAG00000021527",0.0340241844534922,0.107136235647641
"vitro","ENSBTAG00000000283-ENSBTAG00000012771",0.0112020939631008,0.0234060204906014
"vitro","ENSBTAG00000000016-ENSBTAG00000016455",0.00954244968911807,0.0204775108675453
"vitro","ENSBTAG00000004630-ENSBTAG00000019929",0.00828519785902407,0.0176541144452335
"vitro","ENSBTAG00000000470-ENSBTAG00000019929",0.00821382184626317,0.0153162126367615
"vitro","ENSBTAG00000022120-ENSBTAG00000019929",0.00769199897032621,0.0122551574624135
"vitro","ENSBTAG00000009761-ENSBTAG00000012314",0.00758851615692327,0.0225960150701498
"vitro","ENSBTAG00000009357-ENSBTAG00000012771",0.0074522747034922,0.0175536987701839
"vitro","ENSBTAG00000015043-ENSBTAG00000022799",0.00737430375394701,0.0148960012649662
"vitro","ENSBTAG00000010123-ENSBTAG00000018517",0.00712655967054577,0.0221297632627153
"vitro","ENSBTAG00000008300-ENSBTAG00000001462",0.00708397472707924,0.0166794430997299
"vitro","ENSBTAG00000021316-ENSBTAG00000019929",0.00683892203423607,0.0141646636727359
"vitro","ENSBTAG00000031998-ENSBTAG00000015708",0.0067164487297246,0.0117905984581518
"vitro","ENSBTAG00000008300-ENSBTAG00000011741",0.0062541748602296,0.0169535459867374
"vitro","ENSBTAG00000020556-ENSBTAG00000018517",0.00605571428571429,0.0191297804779299
"vitro","ENSBTAG00000007737-ENSBTAG00000019832",0.00597005664282532,0.0179187315080202
"vitro","ENSBTAG00000008300-ENSBTAG00000015910",0.00588925643763858,0.0121993732745095
"vitro","ENSBTAG00000017280-ENSBTAG00000037735",0.00576594284798772,0.0143637937566674
"vitro","ENSBTAG00000020645-ENSBTAG00000021527",0.00505587402976126,0.00721113765445189
"vitro","ENSBTAG00000026236-ENSBTAG00000019929",0.00493391893779731,0.0100902724662721
"vitro","ENSBTAG00000020645-ENSBTAG00000011628",0.00468834538832232,0.0115215505820807
"vitro","ENSBTAG00000014113-ENSBTAG00000019428",0.00468370662037037,0.0112697096816846
"vitro","ENSBTAG00000012817-ENSBTAG00000022799",0.00457288044763851,0.0113719274420427
"vitro","ENSBTAG00000017122-ENSBTAG00000011741",0.00452525379857863,0.0141050143991892
"vitro","ENSBTAG00000000016-ENSBTAG00000015312",0.00439706484268865,0.0134780659548711
"vitro","ENSBTAG00000013760-ENSBTAG00000019929",0.00397865135903691,0.0122495879512562
"vitro","ENSBTAG00000032436-ENSBTAG00000012314",0.00382279539085123,0.0118089859032475
"vitro","ENSBTAG00000017280-ENSBTAG00000039292",0.00370504406272117,0.0106890000457799
"vitro","ENSBTAG00000017280-ENSBTAG00000005397",0.00361954825505041,0.00816467292122881
"vitro","ENSBTAG00000032436-ENSBTAG00000019832",0.00360012754297395,0.010031383190236
"vitro","ENSBTAG00000010738-ENSBTAG00000019428",0.00356371076510267,0.00718536418202259
"vitro","ENSBTAG00000001292-ENSBTAG00000034385",0.00343938674048072,0.00698731246145026
"vitro","ENSBTAG00000017280-ENSBTAG00000047793",0.00342455304720666,0.0078378500062713
"vitro","ENSBTAG00000008300-ENSBTAG00000033669",0.00322913218123452,0.00563996898027365
"vitro","ENSBTAG00000014575-ENSBTAG00000019929",0.00313411607142857,0.0096181187484729
"vitro","ENSBTAG00000020645-ENSBTAG00000014944",0.00299404155791205,0.00547427364892016
"vitro","ENSBTAG00000012398-ENSBTAG00000008008",0.00293800091901918,0.00839845763566949
"vitro","ENSBTAG00000017745-ENSBTAG00000015361",0.00278232166331628,0.00574335232993879
"vitro","ENSBTAG00000025644-ENSBTAG00000010986",0.00277113058357937,0.00357950923827875
"vitro","ENSBTAG00000020645-ENSBTAG00000012848",0.00266466761378763,0.00448169839568683
"vitro","ENSBTAG00000010663-ENSBTAG00000019929",0.00258058266478455,0.00536124205594117
"vitro","ENSBTAG00000017745-ENSBTAG00000016933",0.00254424396109455,0.00520352129359183
"vitro","ENSBTAG00000010303-ENSBTAG00000007103",0.00242415693435775,0.00387550124686619
"vitro","ENSBTAG00000008817-ENSBTAG00000019929",0.00241663182419433,0.00666566270990289
"vitro","ENSBTAG00000005250-ENSBTAG00000008008",0.00235677146002059,0.00372907209255401
"vitro","ENSBTAG00000016800-ENSBTAG00000007338",0.0023168761596621,0.00693403952323731
"vitro","ENSBTAG00000000442-ENSBTAG00000007348",0.00228617036792365,0.0061588805899046
"vitro","ENSBTAG00000017745-ENSBTAG00000010423",0.00222063435058021,0.00446599253096689
"vitro","ENSBTAG00000014465-ENSBTAG00000019929",0.00218274571562009,0.00507124139467831
"vitro","ENSBTAG00000020645-ENSBTAG00000005990",0.00207562484888715,0.00324020009005607
"vitro","ENSBTAG00000020645-ENSBTAG00000014600",0.00207153896074136,0.0032119638690111
"vitro","ENSBTAG00000014737-ENSBTAG00000015910",0.0020205135331704,0.00256583605121852
"vitro","ENSBTAG00000021466-ENSBTAG00000004885",0.00199143097099296,0.00555662940463254
"vitro","ENSBTAG00000017745-ENSBTAG00000018474",0.00193919164781043,0.00396920616813395
