"seed","dataset","train_accuracy","test_accuracy","train_kappa","test_kappa","sensitivity","specificity","balanced_accuracy","auc"
64,"vitro_lig-endo",1,0.5,1,0,0.75,0.25,0.5,0.65625
28,"vitro_lig-endo",1,0.75,1,0.5,0.875,0.625,0.75,0.8984375
21,"vitro_lig-endo",1,0.84375,1,0.6875,0.75,0.9375,0.84375,0.90234375
94,"vitro_lig-endo",1,0.96875,1,0.9375,1,0.9375,0.96875,1
41,"vitro_lig-endo",0.96,1,0.92,1,1,1,1,1
12,"vitro_lig-endo",1,0.84375,1,0.6875,1,0.6875,0.84375,0.78515625
53,"vitro_lig-endo",0.98,0.90625,0.96,0.8125,0.9375,0.875,0.90625,0.9140625
22,"vitro_lig-endo",0.9,0.84375,0.8,0.6875,0.8125,0.875,0.84375,0.94140625
17,"vitro_lig-endo",0.98,0.6875,0.96,0.375,0.6875,0.6875,0.6875,0.765625
62,"vitro_lig-endo",1,0.625,1,0.25,1,0.25,0.625,0.75
