"seed","dataset","train_accuracy","test_accuracy","train_kappa","test_kappa","sensitivity","specificity","balanced_accuracy","auc"
64,"vivo_lig-endo",1,0.875,1,0.75,0.75,1,0.875,0.88671875
28,"vivo_lig-endo",1,0.75,1,0.5,0.75,0.75,0.75,0.859375
21,"vivo_lig-endo",1,0.75,1,0.5,0.75,0.75,0.75,0.8125
94,"vivo_lig-endo",1,0.625,1,0.25,0.5,0.75,0.625,0.81640625
41,"vivo_lig-endo",0.989795918367347,0.6875,0.979591836734694,0.375,0.75,0.625,0.6875,0.8671875
12,"vivo_lig-endo",0.928571428571429,0.875,0.857142857142857,0.75,1,0.75,0.875,0.984375
53,"vivo_lig-endo",1,0.875,1,0.75,0.75,1,0.875,0.88671875
22,"vivo_lig-endo",1,1,1,1,1,1,1,1
17,"vivo_lig-endo",1,1,1,1,1,1,1,1
62,"vivo_lig-endo",1,0.96875,1,0.9375,1,0.9375,0.96875,0.9921875
