"feature","importance"
"ENSBTAG00000005339-ENSBTAG00000000782",0.125
"ENSBTAG00000008300-ENSBTAG00000011741",0.09375
"ENSBTAG00000012004-ENSBTAG00000013843",0.03125
"ENSBTAG00000003253-ENSBTAG00000011434",0.03125
"ENSBTAG00000010963-ENSBTAG00000009024",0.03125
"ENSBTAG00000016208-ENSBTAG00000015127",0
"ENSBTAG00000000476-ENSBTAG00000003781",0
"ENSBTAG00000025257-ENSBTAG00000014162",0
"ENSBTAG00000017753-ENSBTAG00000020979",0
"ENSBTAG00000018255-ENSBTAG00000015127",0
"ENSBTAG00000009357-ENSBTAG00000012771",0
"ENSBTAG00000012849-ENSBTAG00000019929",0
"ENSBTAG00000005111-ENSBTAG00000011909",0
"ENSBTAG00000002006-ENSBTAG00000003585",0
"ENSBTAG00000007740-ENSBTAG00000026676",0
