"Seed","Gene","Accuracy"
64,"ENSBTAG00000015362-ENSBTAG00000002081",0.75
64,"ENSBTAG00000014583-ENSBTAG00000011515",0.75
64,"ENSBTAG00000047567-ENSBTAG00000019866",0.75
64,"ENSBTAG00000039355-ENSBTAG00000011515",0.75
64,"ENSBTAG00000017866-ENSBTAG00000014031",0.75
64,"ENSBTAG00000000310-ENSBTAG00000022799",0.75
64,"ENSBTAG00000010123-ENSBTAG00000012314",0.75
64,"ENSBTAG00000003835-ENSBTAG00000002081",0.75
64,"ENSBTAG00000012519-ENSBTAG00000031753",0.75
64,"ENSBTAG00000005111-ENSBTAG00000002081",0.75
64,"ENSBTAG00000017246-ENSBTAG00000022799",0.75
64,"ENSBTAG00000026236-ENSBTAG00000019929",0.75
64,"ENSBTAG00000038221-ENSBTAG00000006359",0.75
64,"ENSBTAG00000021105-ENSBTAG00000014031",0.75
64,"ENSBTAG00000014737-ENSBTAG00000011971",0.75
64,"ENSBTAG00000007740-ENSBTAG00000007909",0.75
64,"ENSBTAG00000034077-ENSBTAG00000018999",0.75
64,"ENSBTAG00000045582-ENSBTAG00000012314",0.75
64,"ENSBTAG00000001292-ENSBTAG00000032719",0.75
64,"ENSBTAG00000004086-ENSBTAG00000019712",0.75
64,"ENSBTAG00000013472-ENSBTAG00000019929",0.75
64,"ENSBTAG00000013103-ENSBTAG00000017866",0.75
64,"ENSBTAG00000005947-ENSBTAG00000018517",0.75
64,"ENSBTAG00000012004-ENSBTAG00000019929",0.75
64,"ENSBTAG00000017746-ENSBTAG00000009851",0.75
64,"ENSBTAG00000024394-ENSBTAG00000019866",0.75
64,"ENSBTAG00000000277-ENSBTAG00000011238",0.75
64,"ENSBTAG00000012849-ENSBTAG00000003585",0.75
64,"ENSBTAG00000016542-ENSBTAG00000019289",0.75
64,"ENSBTAG00000014583-ENSBTAG00000011050",0.75
64,"ENSBTAG00000011757-ENSBTAG00000022799",0.75
64,"ENSBTAG00000031998-ENSBTAG00000039292",0.75
64,"ENSBTAG00000014575-ENSBTAG00000019929",0.75
64,"ENSBTAG00000010963-ENSBTAG00000009024",0.75
64,"ENSBTAG00000010562-ENSBTAG00000011515",0.75
64,"ENSBTAG00000007737-ENSBTAG00000022799",0.75
64,"ENSBTAG00000015043-ENSBTAG00000022799",0.75
64,"ENSBTAG00000010138-ENSBTAG00000011971",0.75
64,"ENSBTAG00000012817-ENSBTAG00000007909",0.75
64,"ENSBTAG00000025868-ENSBTAG00000013755",0.75
64,"ENSBTAG00000005850-ENSBTAG00000022799",0.75
64,"ENSBTAG00000025644-ENSBTAG00000011515",0.75
64,"ENSBTAG00000020638-ENSBTAG00000000782",0.75
64,"ENSBTAG00000005339-ENSBTAG00000000570",0.75
64,"ENSBTAG00000020221-ENSBTAG00000012314",0.75
64,"ENSBTAG00000009761-ENSBTAG00000012314",0.75
64,"ENSBTAG00000023907-ENSBTAG00000000782",0.75
64,"ENSBTAG00000009478-ENSBTAG00000002081",0.75
64,"ENSBTAG00000009476-ENSBTAG00000015910",0.75
64,"ENSBTAG00000014906-ENSBTAG00000011515",0.75
64,"ENSBTAG00000016177-ENSBTAG00000011628",0.75
64,"ENSBTAG00000019866-ENSBTAG00000009851",0.75
64,"ENSBTAG00000023652-ENSBTAG00000003166",0.75
64,"ENSBTAG00000009615-ENSBTAG00000013290",0.75
64,"ENSBTAG00000001492-ENSBTAG00000003585",0.75
64,"ENSBTAG00000047567-ENSBTAG00000000570",0.75
64,"ENSBTAG00000006685-ENSBTAG00000005215",0.75
64,"ENSBTAG00000021316-ENSBTAG00000019289",0.75
64,"ENSBTAG00000000073-ENSBTAG00000012314",0.75
